x,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_9,mask_11,mask_13,mask_15,mask_21,mask_23,mask_29,mask_31,mask_63
123,2,3,3,2,3,2,3,3,3,3,3,2,3,3,2,3,3
124,1,3,3,2,3,1,3,3,3,3,3,1,3,1,1,2,3
125,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
126,3,3,3,3,3,1,2,3,1,2,3,3,3,1,3,3,3
127,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
128,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
129,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
130,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
131,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
132,1,3,3,3,3,1,3,2,3,3,2,1,2,1,1,2,3
133,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
134,3,2,3,3,3,1,3,3,1,3,2,3,3,1,3,2,3
135,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
136,1,2,3,3,2,1,3,3,3,2,3,1,3,1,1,3,3
137,3,1,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3
138,3,3,3,3,2,1,3,3,1,2,3,3,3,1,3,3,3
139,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3
140,1,3,3,3,3,1,2,3,3,3,3,1,3,1,1,3,3
141,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
142,3,3,3,3,3,1,3,2,1,3,2,3,2,1,3,2,3
143,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
144,1,3,3,3,3,1,3,3,3,3,3,1,3,1,1,3,3
145,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
146,3,2,3,3,2,1,3,3,1,2,3,3,3,1,3,3,3
147,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3
148,1,3,3,3,2,1,3,3,2,3,3,1,3,1,1,2,3
149,2,1,3,3,3,2,3,3,3,3,1,3,3,3,2,3,3
150,3,3,3,3,3,1,3,2,1,3,3,3,3,1,3,2,3
151,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3
152,1,3,3,2,3,1,3,3,3,3,3,1,3,1,1,2,3
153,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
154,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
155,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3
156,1,3,3,3,3,1,2,3,3,3,3,1,3,1,1,3,3
157,3,1,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3
158,3,3,3,3,3,1,3,3,1,3,3,2,3,1,3,3,3
159,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
160,1,3,3,3,3,1,3,2,3,3,2,1,2,1,1,2,3
161,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
162,3,3,3,3,3,1,3,3,1,3,2,3,3,1,3,2,3
163,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
164,1,2,3,3,3,1,3,3,3,2,3,1,3,1,1,3,3
165,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
166,3,3,3,3,2,1,3,3,1,2,3,3,3,1,3,3,3
167,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3
168,1,3,3,3,3,1,2,3,3,3,2,1,3,1,1,3,3
169,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
170,3,3,3,3,3,1,3,3,1,3,2,3,3,1,3,2,3
171,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
172,1,2,3,3,3,1,3,3,3,2,2,1,3,1,1,3,3
173,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
174,3,2,3,3,2,1,3,3,1,2,3,3,3,1,3,3,3
175,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3
176,1,3,3,3,3,1,2,3,2,3,3,1,3,1,1,3,3
177,2,1,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3
178,3,3,3,3,3,1,3,2,1,3,2,3,2,1,3,2,3
179,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3
180,1,3,3,2,3,1,3,3,3,3,3,1,3,1,1,2,3
181,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
182,3,2,3,3,2,1,3,3,1,2,3,3,3,1,3,3,3
183,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3
184,1,3,3,3,3,1,2,3,3,2,3,1,3,1,1,3,3
185,2,1,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3
186,3,3,3,3,3,1,2,3,1,3,3,3,3,1,3,3,3
187,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
188,1,3,3,3,3,1,3,2,3,3,3,1,3,1,1,2,3
189,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
190,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
191,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
192,1,3,3,2,3,1,2,3,3,3,3,1,3,1,1,3,3
193,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
194,3,3,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3
195,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3
196,1,3,3,3,2,1,3,2,3,3,3,1,3,1,1,2,3
197,3,1,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3
198,3,2,3,3,3,1,3,2,1,2,2,3,3,1,3,3,3
199,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
200,1,3,3,2,3,1,2,3,3,3,3,1,3,1,1,3,3
201,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3
