x,shape_mask,exact_grundy,capped_grundy
36,1,1,1
36,2,14,3
36,3,11,3
36,4,19,3
36,5,11,3
36,6,2,2
36,7,1,1
36,15,14,3
37,0,11,3
37,1,20,3
37,2,21,3
37,3,11,3
37,4,21,3
37,5,11,3
37,6,11,3
37,7,19,3
37,15,21,3
38,0,2,2
38,1,1,1
38,2,22,3
38,3,2,2
38,4,21,3
38,5,2,2
38,6,2,2
38,7,1,1
38,15,21,3
39,0,1,1
39,1,2,2
39,2,2,2
39,3,1,1
39,4,21,3
39,5,1,1
39,6,1,1
39,7,14,3
39,15,21,3
40,0,2,2
40,1,22,3
40,2,23,3
40,3,21,3
40,4,22,3
40,5,1,1
40,6,2,2
40,7,23,3
40,15,24,3
41,0,14,3
41,1,21,3
41,2,1,1
41,3,23,3
41,4,22,3
41,5,14,3
41,6,23,3
41,7,24,3
41,15,25,3
42,0,2,2
42,1,11,3
42,2,11,3
42,3,2,2
42,4,11,3
42,5,2,2
42,6,2,2
42,7,11,3
42,15,22,3
43,0,11,3
43,1,2,2
43,2,2,2
43,3,11,3
43,4,14,3
43,5,23,3
43,6,23,3
43,7,24,3
43,15,25,3
44,0,2,2
44,1,1,1
44,2,24,3
44,3,11,3
44,4,21,3
44,5,11,3
44,6,2,2
44,7,1,1
44,15,25,3
45,0,11,3
45,1,25,3
45,2,23,3
45,3,11,3
45,4,24,3
45,5,11,3
45,6,11,3
45,7,26,3
45,15,27,3
46,0,2,2
46,1,1,1
46,2,26,3
46,3,2,2
46,4,25,3
46,5,2,2
46,6,2,2
46,7,1,1
46,15,23,3
47,0,1,1
47,1,2,2
47,2,2,2
47,3,1,1
47,4,26,3
47,5,1,1
47,6,1,1
47,7,24,3
47,15,26,3
48,0,2,2
48,1,23,3
48,2,23,3
48,3,26,3
48,4,23,3
48,5,1,1
48,6,2,2
48,7,23,3
48,15,27,3
49,0,23,3
49,1,27,3
49,2,1,1
49,3,23,3
49,4,26,3
49,5,28,3
49,6,28,3
49,7,26,3
49,15,29,3
50,0,2,2
50,1,11,3
50,2,11,3
50,3,2,2
50,4,11,3
50,5,2,2
50,6,2,2
50,7,11,3
50,15,26,3
