n,M_n_A001006,T_n_A002426,U_n_A005717_extended,D_n_A005773
152,2563418464703119093350893076965160483064933478264967204211985883342207,131804003433140099179045418184269603956422891254323434348526791989449623,131158436698000142017946697484095506479153973144158080751592242055800632,87941774861033589482370062015516649764664117021301202578880889072223332
153,7615772766179728952984285594068327662828364498450446283534557370022319,394120876829140383214938813152460616914730837542639595851711276101050887,392203025099577221282686640775669553908934822174539982244433840151357671,262962440131140241196992115668365110435576864398481515100119034045250255
154,22627454231078640450770539557013601984235699336825691335547947101224164,1178526927028294825780312094703799724732600481891719560340578956403766229,1172829005991678258759579981486522460075568132761368727664321834983437126,786323901928717604497625453928130170823665659717179578096145116252408558
155,67233282062678292716359093927966863677222973834629912027696669130133926,3524184939011651343299472057676844644883736747414457015669222626370640481,3507255405817189269869433631337108307556533397207982157009931800689745420,2351355933019973084539892076190322184808168614653088288004900791387203355
156,199783439892847300188789223376360463630635386087741195795562359745576931,10538695750646029883038339320351061259996803541830421329689086227750131321,10488392001777813663752018652762830733646783918202266276320680384300892456,7031440344828840613168905689013952952440270144622439172679154427060385901
157,593691569632580758180658247307182630469122631271982864808579776558235287,31515479754201657210542376625876722727290371378234953882330446996351916233,31366000063177026129639908070088592790009755615775367739903290480055578167,21027087752423843546790357973113891993643587460032687606009766612051023777
158,1764363923519119867076177428791516701429632131003404196025185378807045753,94247479880555709469822192766053908307309882609785689362137027956463072567,93803268001947759792544003074534855614121375740973292639755604696201175346,62881479817378683340182284695965315517300126994010321622233737476407494400
159,5243738482040015633384674590112412388810042093248483331995658074087274045,281854015884451229054910198915123619535552634091732274641648237348865423259,280533863839540058865112211177851155527311508829541267168004475230320274727,188050747882503469262366195840588763921431258350758982001892632652664247913
160,15585442248478180215505044302219986687592333570502388586880368317734418473,842921743563531346785134621270825930590175651750814808977657187809505972713,838998157126402501341547934417985982209606734919757333119305291853963847200,562387879723991287920022410092974775062864142921273541809652712579185697986
161,46325719740108341801428055907184132801970208270132168790921931547178581033,2520918057816336349468230490106797895009389121590329475216267771517433667113,2509256202004987014696312132657417856702365704850884562487739299155241374153,1681919900689933848126682555688811912799782386670572142096962479663469819913
162,137705045863110805668006430291506687382606187819180539905566132014016847306,7539430461826310378860854755421633608414120531292098600191746369827916415419,7504766597897551371831345056963829513919173739761411344129352910642930127346,5030174259821323364164542622764215751711754826441214037704007070672675041266
163,409356665399575076175346290158873789793149967491856185342473841821286663340,22548963657621413122523544869349292636252468010814921288450452191113776670111,22445922475687061323885048137515590043364808614526428004607279518284746110878,15044197059723861750692199812385463122333294271053509944321099280470846542765
164,1216964520141695084538217312498893054048438344267469692719853810325647895009,67440808608995535770293641144380472722982085239867777297665011227683268891867,67134493125530312492756791586055301526076594668664414396165710058691012787760,44994886133308474446408593006864882679617276625341349293057731709398522780989
165,3618076260739473116529462905361074883043490275200752763345920607148877195277,201709794860056160755807224316491075775135274577196606089996431345065294467387,200799145823379688948805856562317353917992326804132499298775878703731902676485,134575301734525848263050432730435774249058679908532191693830721286374281679627
166,10757243049383235801492432840310654748853924059846715286253090466022451274147,603308086506815538653418937441125783611119928185461604687548188752529099820357,600600659282752537343890842289938430585219385683324958715422820786713614415982,402508940683435849704613080878808429693127601381329105388772310048797197143872
167,31985079286341074588944600759608784808412560456204878680716294488033503077439,1804509405072320613341200622021002644781558699552111522118393830325956328652321,1796459589247000378849236284331879343058605317994401452804266107825749362782549,1203908745789568075997309779731064214196339313868786563402971009539242714236339
168,95107944042576136900129642994022344174181463692495579257730526858497286032027,5397428583566321371039673190684761330898769335540914427726926045977455054217419,5373493320105300530942692927614275847813310156642419618360337473989628517009752,3600968994319320992190436906352881987840164017546512974922659938151705691434870
169,282819140296779017555391975191908784903435360594638948675155912438593365589979,16144415223776922432925059045913313026525389648825753664447600993956712088236923,16073242543195367136121909665989776165436667364031752894556459039086041339412563,10770921903671621901982366118299037178712079492183334046087263519967083571227171
170,841052642272021781364851119409361768304543372412018256871497344528014312118724,48290900310167656705168878377892865357398724376889259453560519072128794767062049,48079253850452432984416635782624493433584011301088621274776505114560872150296430,32217657766972289569046968711903089191962057012857506559004060033042753427649486
