tower_level_m,mu_2m,mu_2m_plus_2_over_mu_2m,gap,leading_gap,gap_over_leading
57,4.4770786089161033e-09,0.88251419658675823,0.11748580341324177,0.11987526340639898,0.9800671137208975
58,3.951085431603356e-09,0.88400506842611781,0.11599493157388219,0.11824105164013055,0.98100388963822416
59,3.4927795473219621e-09,0.88545491354440087,0.11454508645559913,0.11665496693833631,0.98191349637214798
60,3.0926988121036197e-09,0.88686546571494795,0.11313453428505205,0.11511484326014197,0.98279710140755061
61,2.742807772312343e-09,0.88823836045053317,0.11176163954946683,0.11361864487808011,0.9836558046383499
62,2.4362670787096947e-09,0.88957514193541887,0.11042485806458113,0.11216445661914315,0.98449064340882186
63,2.1672426323357649e-09,0.89087726937948286,0.10912273062051714,0.11075047497618916,0.98530259706766965
64,1.9307471983780888e-09,0.89214612284072492,0.10785387715927508,0.109375,0.98609259117051506
65,1.7225086272186039e-09,0.89338300857689579,0.10661699142310421,0.10803642789274545,0.9868615012794536
66,1.5388599396842151e-09,0.89458916396359656,0.10541083603640344,0.10673324423270385,0.98761015646243044
67,1.3766474268991726e-09,0.89576576202531277,0.10423423797468723,0.10546401776802646,0.9883393424661272
68,1.2331536313965233e-09,0.89691391560916878,0.10308608439083122,0.1042273947242697,0.98904980464629499
69,1.1060326520835213e-09,0.89803468123777519,0.10196531876222481,0.10302209357649521,0.98974225064174481
70,9.9325568015239617e-10,0.8991290626684415,0.1008709373315585,0.10184690024207095,0.99041735282867938
71,8.9306504868552933e-10,0.90019801418643675,0.099801985813563254,0.10070066365499553,0.99107575055799857
72,8.0393538336602695e-10,0.90124244364949446,0.098757556350505538,0.099582291686698785,0.99171805225382847
73,7.2454068944109126e-10,0.90226321531409159,0.097736784685908407,0.098490747381918042,0.99234483729638079
74,6.5372641208100766e-10,0.90326115245330052,0.09673884754669948,0.097425045481472294,0.99295665779387998
75,5.9048567236545225e-10,0.9042370397893047,0.095762960210695303,0.096384249206611747,0.99355404019815896
76,5.3393901641773378e-10,0.9051916257533108,0.094808374246689198,0.095367467282152438,0.99413748680344927
77,4.8331712632429213e-10,0.90612562458657875,0.093874375413421252,0.094373851177855864,0.99470747714328933
78,4.3794603296398957e-10,0.90703971829904861,0.092960281700951386,0.093402592549516009,0.99526446925624534
79,3.9723444636984297e-10,0.9079345584894728,0.092065441510527202,0.092452920863001303,0.9958089009102451
80,3.6066288168161355e-10,0.90881076804837324,0.091189231951626759,0.091524101186092027,0.99634119067955229
81,3.2777431050760679e-10,0.90966894274210242,0.090331057257897585,0.090615432134378088,0.99686173900204122
82,2.9816611049747625e-10,0.91050965269593542,0.089490347304064577,0.089726243958757126,0.99737092912525149
83,2.7148312171475499e-10,0.91133344377725245,0.08866655622274755,0.088855896763215966,0.99786912802227434
84,2.4741164823970665e-10,0.91214083889293784,0.087859161107062156,0.088003778842604283,0.99835668720770754
85,2.2567426837725047e-10,0.91293233919906458,0.08706766080093542,0.087169305131031799,0.99883394355451627
86,2.0602533772668075e-10,0.91370842523915696,0.086291574760843037,0.086351915752349975,0.9993012200021133
87,1.8824708689361095e-10,0.91446955800690655,0.085530441993093453,0.085551074664927909,0.99975882626939205
88,1.7214623034768813e-10,0.91521617994641269,0.084783820053587311,0.08476626839360564,1.0002070594862118
89,1.5755101533098636e-10,0.9159487158873042,0.084051284112695801,0.083997004842319076,1.0006462048316915
90,1.4430865017915794e-10,0.91666757392786968,0.083332426072130317,0.083242812181440834,1.0010765360797056
