k,real,imag,abs,minus_log_abs_over_k
19,2.3443555334687580047871291117618375e-118,-4.9928399363128303921561140470004576e-119,2.3969329096998080175542173304231143e-118,14.254255316185010271474259649975239
20,-9.3835679252475044854799237784706478e-125,4.4067336237278059463743061469101547e-125,1.0366805112387661545476381295169196e-124,14.274226386946755352920375094217666
21,5.7971967173186958952287761594958508e-131,-4.8051406388674419282249142512080698e-131,7.52973215583303943392927842136517e-131,14.267608938634062684185046830636933
22,-7.9184360016928032170945391598804915e-139,6.7265033463969652496395996197995202e-137,6.7269694091738563774853980195885909e-137,14.252183318573656995239107485688242
23,-1.3773387887901151229831616827964445e-143,-1.257716809058727888526374201607201e-143,1.8651846318514127041282764942691865e-143,14.288969923984391912332895012485045
24,1.9498848329460141115256973571606854e-149,-1.8335052824195208770516929116292707e-149,2.6765261968479203306409376105546638e-149,14.254194129065986499206060813057045
25,9.1667914374298588990904788117777214e-156,7.1356854003206354324643079076859703e-156,1.1616715172099488377306832372961544e-155,14.270033179321515125588963565702368
26,-3.8598225319690819980082121158513229e-162,7.6254046557624689239423749706524701e-162,8.5466382948162812848352773781482207e-162,14.264355655434455072586527402942363
27,8.5952920794664164691870388192255503e-169,4.9517959223995809227270539671605977e-168,5.0258405581958623838951373114348053e-168,14.267396403991874965987874041534382
28,-1.8568221072234512106300462694301623e-174,2.2712014267296329164325134614975859e-174,2.9336230600832919314383645672746635e-174,14.270484570805087159867058471499078
29,-1.9375650325265253747130952990298464e-180,1.3243208878298443995591459078862895e-180,2.3469094718825314429413905060406658e-180,14.262490254987830316080816346642612
30,7.1854908307682819027769869552875474e-188,9.051037804850022605215363909435555e-187,9.0795153025706645606171816878191273e-187,14.279246385982410036689401365065002
31,2.5189547671483234663152527292515215e-193,1.3366151352453894942187258860203735e-192,1.360143871418183280815483004559048e-192,14.251249915254724467626924811976518
32,4.4079718186563601933743763546109413e-199,-1.3894292753096561939559017878784232e-199,4.6217668986174731117933158485767311e-199,14.271364263382716225618460525622636
33,1.9075655437234850276467527054627117e-205,-2.2921893654053148877854490329365442e-205,2.9821030147327733192615657625512693e-205,14.270827736439883007481027739266697
34,-3.1947504026193805715625339913939737e-211,-2.5891763278109496379209914464287812e-212,3.2052251832908183684818984662603472e-211,14.255313890407117315935179097669403
35,-6.9712596438330593832369204983225523e-218,8.1200906600067056992796405593620399e-218,1.0702071451287529660315390881630991e-217,14.274088941611218383472485346728432
36,1.3170117926655290318816648036217026e-223,-1.7338318519537733791859038099079009e-224,1.3283756211736817874476114632842582e-223,14.25534774664839873279406125249822
37,-7.1864488332415139524476011685865813e-230,-1.2033082063715397476956637476529695e-230,7.2864941825489306639818525610329701e-230,14.259690509892615873322750426204555
38,-1.2120981561600157168423441707374586e-237,2.9586039918606602349481648952966681e-236,2.961085848140087071229850551724808e-236,14.271698050130013227809095488066678
39,-8.1424966364800107786323579240973217e-243,-1.5497358910247741974425713575387287e-242,1.7506238449996143288745785664080422e-242,14.273477443520298139265802835441984
40,-3.6596793738586173816923751151192455e-249,1.4894450776118001925808147600177131e-248,1.5337467751935074621265614640144715e-248,14.265334736201146905077224512681979
