n,a_n,reduced_core_r_n
74,31045313734316006978163653700319199473,10176073617809858947897794775658285697
75,107925509358145172919598312205369178363,35367724316538172254051090643247678673
76,375289096935854245002661967106297635806,122956199056447999790964871876952277427
77,1305324905953545106685271282818311160010,427569901859073166826721889072886063623
78,4541290695167341775358721008959650724919,1487216767735261190942386227485684195907
79,15803207880186652013950993803255880642955,5174269554649389468879105380203513498853
80,55006479330599150744745390798821378841733,18006476586811255540633648706786291260441
81,191506077606985021002328181133071416298001,62677365451479181287579396498058022712565
82,666881934328326239081641326895411671560292,218218974635376508336587885510164925245223
83,2322793885280372040063667174411455831976698,759926603037627772455119736021683234164831
84,8092178614237600686723873382299793229073917,2646950429537092581989682479869629639359527
85,28197533755284361293126880375350460982698345,9221737082449600074915543363825054937746665
86,98275567374130208288358920569253263345778217,32134404545434251654278538577202037506332065
87,342583724819480935134181964860312760359987359,111999548236012473326544989176193218281499753
88,1194462883947280762672091853163186575066947874,390435007682982651801053352420031988636410491
89,4165445486626877557597585155609170007189180998,1361337282805373686297761173605881393414729575
90,14528851228015228842841801740907518395761784899,4747504020195594065929616271546662457771485707
91,50685104493359857988506519818888316243188491763,16559443158261693861937235018242519976510568493
92,176850765441388767285333230718031657348899953469,57770367691332094649925831625474692071825592825
93,617176534312878804329447066321546582987604786013,201577399374690777994597536334021304677571749437
94,2154200485406801588983088237502201749122468178272,703483944817428100612069224954243915295444872639
95,7520306226760620662243805799913841797306794683870,2455503651805630097398399184729917482428498581503
96,26257665502859439959415208110112407510486125759393,8572341548274703472434503667020114286093037889471
97,91695159989592286167532850510052339005144582224385,29931558508433698342355046040091502772759331248065
98,320261702654171330776338793329200281851670503771201,104527055959787903107860833537727119304211045935105
99,1118743489529476390742286094556468970965961839329187,365086870755893751297942453876094461377815261019585
100,3908603483077029299249403795038863601123127529378086,1275353119665111408825642149541492528359080673789507
101,13657681883694078571036764615008057380758060236358962,4455845140448190654846868785599257728394379614953991
102,47730435504106257618543397625833509693046145361990031,15570187548392788932694895854216634252397924104796243
103,166830559089956734983322067723791555104949255742472715,54415228889596403146666433635561279768277607418153589
104,583198543765552520861099484988980038301634746223048149,190199215459959055247144932455492408699398547740762265
105,2038997630809194592390508652225396139499978145748748073,664901701744215114665098371646021016787021887246706181
106,7129767302016659927997096158796909806023496066959271932,2324692324705984608144598586057302406190647861304297239
107,24933959280264840150504172659502566019117680218397066162,8128898802009759975387442647385563578117878552354629215
108,87209406876636608023220138306843072898554768414404577701,28428573331457071942974421150070927667928221506115969687
109,305063737634601042842946437732989590067119192504791067625,99433899722770224334879231822547451250976936149424032601
110,1067264359461121534626847375183856118574611925330550646457,347831502033214136615765241298840822646627647141182149537
111,3734277755649853494189348050085092842172385924294055920199,1216906992831349800821823271116877090027603099828677358681
112,13067528960941170315455420911525369463356605107988062667818,4257933998084645658179966701397523190067782750737952441227
113,45733205666552167620278228243243190496978981245646465529166,14900216627703172382285806356112452060583149091870011595751
114,160073793680939294234847791768212898924821338381442928810459,52147973791124281391108532712371485449452939068150034122651
115,560348709061739324285031942160289443293320495412042165400915,182529303935547089360891870042618159459784478025245798383165
116,1961756975516883519167852791173663308053697323994508062185165,638965172500618248627983684262849028708064001993187116935673
117,6868784574987004250710611624756254633615995732182005142701109,2237022523958617680436909547326315900795988929878339842427597
118,24052578274871207044502568924747976188774320971462598145594104,7832696136573948142900442080941747744663587857773722163490479
119,84234429388646101686938487239352269557760490713201088676120246,27428316064201495595304534081993956221815779531943820831100287
120,295027929021308069226767718369331700331434304281992123928780105,96057918065495936268780370721829818044132253740387306989288495
121,1033430709935353847340360192071970434231954498086453166859662497,336443842416045168905206144914530944371434043915630831547352881
122,3620292020014418671567400909346613524767675733926228935015342353,1178519141893641961824566848823574666117417578718413232809239169
123,12683792710520864196697963670568377631068444889881835626491496651,4128617122638278365867668005547310520346666330181010470635490225
124,44442375465438511442787085245559235647228886521178205046801551982,14464911389018699227299517147699945785164577755202930886680221907
125,155735387341974064111096469651838015516244994217777692272135571546,50683832878701909351858313973487804555673256846014832596378531591
126,545781236716447406715169396854203285965016577027035114450149760743,177608991815707352076314377524816678696788220323515498469058538083
127,1912892200893960687463165239180059539487583572117256656225916256587,622445901425482404523877754808864669295143975505219633982490035717
128,6705055237619910740885399242682257663035578189049141153809869174949,2181618417166171000672545130855970425545964166242517804774251784217
129,23504638317120004805845261905995709077057038721605939452522801643841,7647083922266382768502551506120184004355894079315927527429797589781
130,82403096212022216287952221530447922815828602407424466602194460345620,26807245396820525781245780644418325504348344359932722327802481180679
131,288916031901845138545982669103206664511267432107573131902344834697002,93982542403399957566819493005854238681814982879047361684142281488223
132,1013065041675291783301400438418534606622751687061207149261897719911373,329518851680549701906798772286976276798320293101606954423214430516231
133,3552548609654528777030170646107799767952026392517380757398371863752617,1155449164500799740096239691882076487287553342762679663618918594788041
134,12458885351671337313172064258458176718232381899071673602401955171899081,4051896643711577946312762368802659595021008437133115451374423643399841
135,43697266527125402635544474338179109498594196137597191379167837761027951,14210267820748258296382962694122843827448345879309320172903423776939849
136,153272677866342367867281978371006685015979424538055667524876552174795826,49840457255911363455546192849044088711681191437665247870129209734536347
137,537662933072017647514548809877854481898985505139692508819640079521311254,174822407824522002145730627965799963557480059878325292030876029097891175
138,1886209035885979750629124089368978521779896011229077804500707954295149171,613263315791639562447707940105800253720259409293900332451185723853478699
139,6617644353528988278875023312635282490641069256786226818894444331403867507,2151449629683089926063473756164176927518916319709084766331529162300185677
140,23219369410841048650842258294656828330514421385298005909184154669630608861,7548300697817594308417170962363453052789673354740631443157259202480553209
141,81476120236950433157616187121235562741919876598385825771763488081205419277,26485033979569695416906599287062333697718226491641562976732190276478317917
142,285918803988178086391849229250127289127797559126616323061615661682184418576,92936162665166618613627871421964814249452128707262293465657453472823989919
143,1003430047732731697943564734375180832412493684683608628400923251960754937678,326137949865037096570938569696188334177963624290685188342832380470987027967
144,3521786679287948597750413737953477923972558127916218700759994535832659591793,1144589831631095678624445044866108667007298241693403856890112099581332765087
145,12361469951630243000937660864746138111572578739375813672661428736921727574657,4017259933354068564360916698429301118775250805880534947950092757598669088161
146,43391822277619023330112083633002931678383535084954365941596503281930694949729,14100712341757109298107756624595283293765665066024016965681705734480956819969
147,152326668547953169755156065334285254625919720924225888332389007381186870068851,49497449091619150089766426056530187190740293053773366226891035548468745636513
148,534778419510712702501670940982186867093211547368690755861449566462116683631030,173762001834145304198044236320635508656581964567276722998601719725215191690595
149,1877592218849546468679829827261415798596029764284026200671381237370767622969410,610037631324105939315773472535393585467624985760503198518484887066223170236679
150,6592615718637360187789021896921994943916380571229472083658114584770298896200255,2141844131662120561316363824658935742254086117747025036846765686758402061175923
151,23149570778977582083610647374225637232537417422047092166830015682613080602917707,7520524486770972626659271433634523557770528589186121584855223322568677533520789
152,81293616436912940301161049575181504907423172870051748471737188907352493483129077,26408093141647595130328652030586325058236154303142874680276546256643909422563993
153,285494597732954103705135757755881916318653365966903890979784750035723213201022553,92737252889517713753594752070354139903630353687831622522676954584691357232615461
154,1002690574524398918756928818143157590558326277223045029952871000032931105531608492,325686166363410670708961605647298886775972744201840523504142145530734043716988407
155,3521787939180598919892597463532128780866975898721761232815621629258395755875145570,1143857534774280340849951841096436484574808166020920481229078439345418566370988895
156,12370474372802813167617694597826192939891362029373843194456873955738606722375267957,4017646738195059659879794771857221392017065043157594040474812058302493523351694455
157,43454629026937445042580698002156799568578773156783316274628796604114191803642542249,14112319340728023236597414181683581146124406110191175675162281203043374576624064313
158,152655320210820598091787683653491547453993071623044198503831402038041683678068247129,49573723385708618999308901573218947637080481716838388486685488055297275899199741601
159,536307312063101385412591711253759497966537187197044419701500872547108185260430995991,174152953560587018101443868191605022919586854808308980335083691029697915951406795065
160,1884260936122071866236534931645799443205630940121427631788359353813696210006028397370,611837345969014741503663112365920039815702093173990394219741718378937540032587751851
161,6620542937359791803335429397725138351448838962932988605111020911462378234282267786910,2149644436445010760325582380525676847563525062865209084841882874172943988317164006375
162,23263287760598190448808557026948405939869346192570734762526771005010082257025639772171,7553051988577795378385427434163148966994850734905876376389454990620213431844925651131
163,81747258696274242673034297141596125292425711344341287544848570370055717849997330985555,26540139470832647118774408715784251827578320628206767501254003279538610272563279324765
164,287276183229274611229276037461426508528140601720580072081415039501016818441626717498477,93262812161582900505037981887031238941431258757236125115613964703983311877810186918649
165,1009601694101390485645869767607898206473841852172607472458901393163420160109053697084389,327746522474482755321759006753716696249176879281766015141910204228278325168293993339373
166,3548332054122187866562696739945290538508091822420866282852982339929823292746032991356328,1151838694929554570128916734873894713273538053468894659112033581604124325494480501571983
167,12471591853557834065473031242933630687787328349184383539968172008143062908409497780771238,4048264998590685934289307783029854905770289183915885236848485606708024619593216750854527
168,43837188940172475902274854671878986339104993363067613944885764602435020000849980439840025,14228843980945701162189152093830838554352232237790892815976718592382432460387186277555215
169,154094239311175255781972931388018279360183172559143565932614296407578262385863189103914913,50014212757200682708585491802355473476679278825379213540894555957897381571836254914604817
170,541692395266254233870491674854529401445431044472087784585568092663359354695403339516254001,175808601746147270677291511044660285619801345774719252996516915219394596409094739108146817
171,1904326622613279514677804850188014959412609507727436851924315021184202040768138559000357531,618029772273926974171605125981511273882256953475316641183083474742960034902585388008445585
172,6695025635930942133695522623956141561887308396074713917600820305619195208340969527400978686,2172706202800784284219289653072653596133692031882265362375866055485350270310715304972023795
173,23538831469533091379638465045830313914656769039409649482728924843965562681055963258501096170,7638616082633012732741752168410615610216318167440653208346042518347959203326756810912260103
174,82763558173950700648232605933510067036538141798982270037095992297720402958767528545409997207,26856547268630095368469300061340030086320342290950640732404300650371295090214410594691658371
175,291014588072602868439494959697332800877054952273924382050783827509677536235505914793783630859,94429402049383892845465343814083585920987204577124607069644040932179809301631719143757940517
176,1023320033199473725644534416235175937492501907204439771474575292442271944070121963704566123205,332036342490221572251704747797204503987705337038350977423631591306107138392906922347764383769
177,3598562617299011937546568434935920923444946903692178489596094497477622541546980826889724265585,1167575790195938207410709473643309615872904516048192373304544827448360806652115061036939718965
178,12655149768374207142084058694701433844878737183092263731113354416902944359394524219387197147076,4105871769508010014486386429556878286799189108769053400112107810377222256938309644948232858855
179,44506754011350502367517823171486041295170188617674765242432094237714382718555095473455305225818,14439304968318962679559955632373906007808628762414769836324237259395931837474118966443193879135
180,156532576486507243178963707644837805862528553031077965645000693622399606090270523878776777096093,50781739502598671542040454291107830744784456760741737770816166837037475622496524764735269079015
181,550558540134157285003306002389169334851289846818996449740773248967786080065523249660300273955561,178603106503372887265387965392460776299688018009629154953108693331957548428448578206269596671145
182,1936520113941839658288461016157385600424274462744918341559661286973152719975972970760793240157545,628189064821065001620032852960872283537349684197136716335578712287972508952811892786741650590625
183,6811771068590346104345249884818812661721995960729438568055068486243341165749676051683149149531199,2209588728565096625933838614663132515705273599753448809523578629663978368991158946514798735609385
184,23961686735655416849924671445686539783873881084811700046343436150517329811558798543388125328438082,7772344007494064973081872559209419395507121336977682291501815744086037062997996488138344743372475
185,84293450327478642158797255632197986467845559695495182182605539023533168883886569621311669982748902,27340840816982543441912161303770393429714209299174231396853787065649506741750918997692858486468455
186,296544021501192936958572504851656333555892192606440076786768530280862908751129561277629568390824099,96181333386709817950748343077825572820933198429459563213341716541289474670009627060732181356344395
187,1043285592664153112318328706659480860826515719703280048806042014849243799965031166330704953522853875,338367459854718227757941721747506340853523602587089662804644635815162476816088489764803729408700525
188,3670588872404731131421043319805301057364841367395686423054457311635580130047899256272462634965249661,1190433274667027746789049298076397166813693479291324208378225761634441658704730278182862419751621625
189,12914767089693601996000118641035159278596418276773224693934963749702214521558919466110610980467480253,4188321342361893337751433297909878499281145783117385060915407953983974983237327269911184841928535165
190,45441799533050139717734502305384813242406903324553505821684909372735055606569090389627581258923506368,14736461287305612691379477351912017226875205393932464985000806237932287343845302753931169277445540735
191,159897761420603564217911324160929368271709377502912847785024604902242567232221881147254620402187876286,51851879570695003353429887909403308483452037884175737358853351115367889603349399461128579242802569215
192,562661213278818283969313130241755554212493063280559183871404530000029328173939453754183144509344198465,182454128224611395428018129655442722137443242831684754215856831761712918664857195362651580384329047935
193,1980017925379805357380058635655880912023870241589099834675346912908793968175225685772691641332749559809,642037792701311804085125760474707590255380503697096206062526343228385032899003321110454859493893496705
194,6968007891458919092313836821740681676977589588930352667782231422818924052969500322002341127432466280577,2259357820967774716514613377187188397177035819387156763219505741243885034078928919064191088504859500545
195,24522533466234987040566065017428316212977231347062016984974474657354496170617995452603503655618938709827,7951092123271570804039129727725200259955093240481643329223419431154353960428418704889573591014224120705
196,86305615251143823713840130583600650696388769248913010006999835022371783624575864938617490392527305531974,27982448997816665264936448446954267287622260574058035067230073807892675352709653551637106696209879952515
197,303759320207788381433562384764573147936278763639735945394574503844459001167688203673079753011462080624210,98483085919053448629634470147206443646465868757709429767507816749429129485599585033936289706840451027975
198,1069145577668089922814360968479140213709190593085905210394374451750098300814175311765099778763776945890031,346620621080881637392167087403236236336906175730663545900509399304094938796116231908490139461848469844115
199,3763228425909598221789261683272644155180659354473605181961978517740595053201141661984491758148971056918411,1220011133393350527133741168603821940416960226497179154628580336369441794820424439058777046694957768602805
200,13246485158663996395275136257825847947754959786036229506570395713162972849609437826217967520684506974192149,4294273242087706101784539225528263845712564160673827416794000265603823167721009822598663591571451566125209
201,46629086943622219181325290680274703469100373265944415898807753161823591253283352830389142277957996813343113,15115825664820832477400384822716275747587565177391007505176971753075237992605614800252580703593898841737797
202,164145576399004209517279613581231010058497470423340565996775042117741284182103790508261801734235648218569052,53209628947650997939205081471097521027923647386764572226277912156322081093607359600855624028343023125108951
203,577852923712800545055590541159529160366444531605921723546432982207202495557960611051386876121482633472869906,187311560989143297540331274955939657741061857548642019648588216194524619426968720183357691734488521886788703
204,2034328817360567205317536067560355888070538803758882478709403250977983353636422734179445096770763119632346437,659408855517950510883539720904081623988845024329024829234537701390276646910602215240316876240695831402234455
205,7162102609544151027401636427215442127000906081791796192345751800571976248362171857619564091701161691190995561,2321457041904858383178158851801064138687548787421816881067356069864945180932517861512795272877005111174301465
206,25215949548373232368031192871906648936807873566384623349454620516430013748140540755235387029927750935540837369,8173010547525543501367451999731263247619730193588201816549767385161611952140395614797247837753992618673208737
207,88782090501562808953840836535243127687364208912451899816142127635917585005252726787709438446057008128694960103,28775232950712319230571966115343661292816306279114284067795098757444985014792118171973590008289560767462328857
208,312601107444306646837430200572315276029991294737040023120746732339977574834669805741750112684690797600022017610,101314328299552341877753611684049845594995689442062156835620577145667952662490694565704701341579079933652778955
209,1100704187022253753855269574953372991897376457240374185313570029512470690317378781223644359970363707251584507630,356728639111667931515248041298213575200542420369514207833885818472598630344148179705780369268935420826380562407
210,3875837347973722234264707464447831741906718593570128096179631303163304095394292087207816897961089935504828781115,1256087884669449867772268427975878450037254405540007879244072459300377318741654251588990447644653945113623503323
211,13648192718587322631823226170063758065467549771700586982714039287364618238986930090093935503827281131171719164499,4422999359174995560701105992142404369943188585057485173972852405242871306264754678691704141411203141543718358653
212,48061717801149199505346458694578339345046470862162600064221793426219299201539321278547585836363991084082011549709,15575011861899917264357978716452819643247958710085142188822115958865651829153153688053166150817604871291325495289
213,169253569014631468227070864266877671266593544700889676064480897299142415722482316900222697025329907951699166643093,54847194470090502222062579961387295685291033466656517356553299551588179770024827451869516821755287121004859007245
214,596060922295370122365123604153514400322650023226931644151827191489066195319475594792448716261837396828190478830168,193150054350256747518332804440811581458952312069613791847740716394880103005603087255893460395727185222269697413231
215,2099218291099468081238050356973878957787586659342613779026517943108192040095439527793164804194515157326138159602582,680220166339544040851683757172041027792307225965519934756658491208948583123263794346449611449426001962401745273215
216,7393303909976177324094500464742129587034205890376540115385539634594161117149370424872487474211763100957895642057449,2395621989177125287545314751402852237340152762793656075694115788649803307679246143784770854727517673861012043317231
217,26039545044719871279015443408549588666394969093136669497284375474214742926987681680439092191770817677633414294501281,8437252897359137047583981924225910654931366386314271754806997625450482502486581765797435076179366220622891081593585
218,91715338812877616833481840130618653391239962563073228803459552134373766341097551703940168276427929642634072384111441,29716503114270461295658183706878155833906571746562607866983518839777800118812017816158124142768658112463257431649921
219,323045861149491846102243815564823713778513695723686798650528338649897503458238732023202104746234671734041731585257067,104666588987226169641371411232685426135358500501904094037750372870004851325264754230309662027590777499376922824869233
220,1137888970369811325520504659066799846798996712840692769213701656384473384742036801487474525651249735047231160232724366,368665117266358847413462460970488060722771852963652343920072059982427674150736448646954219269975953299118448107159315
221,4008196203406138648260027061554788048954482924705975243955210709197942708211589138880893663476231587238184383392481402,1298582383586064093260770060813789504186941289645784152606269769118446776907385045525875254404155694376707467970419975
222,14119239803534058479821899413684278234578884860222087521543388759880415608859846982424764689810875469195455862491028551,4574254553302373527134938039148972000452146749664699648574742852251667604375614028399047421739723621319668795513854627
223,49737825605774712353948972938807317059936301234079525818496332847386311872460804833884450471401787188914402277340520907,16113296292554285594464081881465871875895265367247656222171471281978882823166763099233840350015218141586503179331448901
224,175216619689913434836591071909708032168803327119419938766930313985471226655668279513591099588380471472583477502088622821,56762508540387093945209380654496016599377423597101157533575595722306942735024392580222870491011612101062415955718366233
225,617272182443098980649775061822031292378213668265695922209737456890358783473644017005851546118801097773689280325616894881,199963980729420944480549731413371814014058710020414804817219045812638852538075870463184669144685251999697645386597764949
226,2174657693920798839184176327248613996203735679066247282102703994932857288095544228250242754500120894956776316010539051124,704457598781519281865835499068534070506132335947096087429000086239272945030615147060541455538096134961846796140704959943
227,7661570192431180557678684333382758987223593955100648858994737129005927976040069146330601413961729115663291147909440620682,2481822510272857975175359443175512995927692333190625858429182110094620236195200458419495085213507348037643586418167073119
228,26993377717179391469359862280999215533228240159132778294364967033761274025335764408850514436105889910874251942815304324461,8743780465087369476569603309193130961188241511589119728271617953014255643511945353055119930747255722443401709149459453895
229,95106267334009151944061880770824506912625330398810101435563734387385639958339889814994900015287848827667302953716813351721,30806355600910860916710270156128910093312812188599161371217181591967636517249468999009789553773563381965173410244505145993
230,335099201113507535294424968323236306860468957156075684154928743152695857428961006323582883443766094657569971025329089958409,108541007245037499864522006039152402785220659925728864111785759923911739234981108849092530035319960773965650275252161840289
231,1180728078037187223855630994108955507977479523759636647246142852655227887109179060306800096727524660974181432430809354059535,382436827321322796238209032008117443690987012800766553477274642982933218952349523769946231368614135563051890376559432964361
232,4160432949989736463516853666910796913596641933897642610393125890690424662910334935385513761096160133147979387422366569518674,1347527990917042518514885561216342546037212733244429231368709136131039048051943846274236077935590794645926837222168149803227
233,14660176437260228803812124462081697220702633666601732727050717354699066458813703191761072405265526833545324033579536547260086,4748189110067053120225767268663059837473145050535401440078751549914827246955329075876042936749390355898652400975101170777447
234,51659690250260493136613411257922999349460504463192490746387255228206695358817438677919629245397479288384006923690860673348307,16731321335915850983224063537146111601264721472025354972670968698617596401355854427643964634588068430878008280636646154474859
235,182043940615406040285003930744154993469749480861404493410913055726826222758050686714067361407698072812437342510711206612004211,58958223653478859908452019308541722812285266702838239196772765096206746005596655421542313497654097325809543341641085646427277
236,641523230069946955953027524949363062678349088651910848717781600753880165493613597694212764645095918133510268360232091191903517,207764027953118661053661735976152415204716295437390461890888816546826782012711123344197476829841217781119890916255398251599609
237,2260789756130952649388755980073090281298234187430655163399665773082018077655584974587703786354429032159226670128916831039936621,732163439774113273258455041194922808585509178054490273287853926030828298979168288496863602188105259184127148520285038103735197
238,7967452790284681666707639833814554903304158620120833235168893723722376796915680426522177526059808584907207861138601451684440688,2580223572659971131340399026046348972591356972873474073379877016214208231896080574433050238742577429156397373479638366719028319
239,28079557343671200740912318401691671081285451519733898610059232744045926547773248019850271520119801611175703439068230357602666286,9093229627529522778141711028041304355622425729261364318028999660038570013275163481259136817918652687766541369717198753066210815
240,98962887024540070665935822381736577477717437387371487933327837188973142631928601490491047587543213889310774684992484681801867793,32047222941838648202810292925257344395884984980079543905795876851555385026827938601587020618794199972114180326253898368366115167
241,348791347281333500590759118172699349899594229841600366455524700989586827499450723528891652998061663160609388245165878236826839681,112946811045374107278399795826461655966988068332920820775513298604753593857130847184057012172920803151202823165085389854240449889
242,1229334876108076398102790550146838132666368398280702866754201677389355341765976707339522507388229181863140366905700413559367912353,398078553018261700143990163386726028426140447423734589924015927612972175404345041851886240286340430823850785189650868011648821761
243,4332970827740426747072587609749488663736972706660121420551860804882142788207651315479446396738915540808944525308258772548746899987,1403055105806985662258616020172686044055386735679206387481104192282051402060951222343389475980180140941514090496708479090764816481
244,15272576148041895022291476484472833117442819846984549078385350245052827055633945687213797429245119785155134546658315094333231721174,4945289577780274189754814125111716978970096764647843540631571013354254444728470312569013998773779251718972777060881160322328781731
245,53833140389685752425869901665596575148311680304083917350136697669113453625032982604662417871706139815443412022432529993652426526562,17430894969473643488807856577052672061937766551886752635036628313562185249887695075194838611362354968106646104021727062275168586503
246,189757052290399433578284878524930132384490381253541243584900375806454002038961824945817720705281437996961722421777539348477892203423,61441033908587366052950471863300851924786357026730752999424493025166647342833589159653884716073161436713994326397954626748153758899
247,668893293634142544484624475549398648726949525261480631505071110446586858724384064113525316778153681278402240813883169678190611906251,216574902069310090087686301622849966148446231514986708702663066820958133563974529776152097372074049699314640013609592390835112512981
248,2357905406112479541538080208652813636499039440373077887036873453122161342639007944157563167972018641400649700095455682882687826161973,763428613147676698586751812106588147259580703819474401282382039294068709296892439398985926119099022389389552849398973175250100038297
249,8312017511972257393080546241497165697176584494468013211678072275961222040091455769719065643298601091655721752400262289726659531729081,2691158943726264920356457791551019479485868703975291786351068330327897041801710435437757403677706709689981786458916983992142713189477
250,29301980265776600883840664335275320016130247507126187125688178357228305873242852501923980991493342518016812929617585059838878076152588,9486822780186648812701821676912743930004523838556143687274019741799993204205470079639580766858282120462062441612962665767141921859511
251,103299414740124888949679571302438623655292696945905210114801846495884019304949103744779560400075978716825164895940503009043676547358658,33443572755445308041273092043658401241239613369873597042247945164476749530169390750978841767066219042229948244515886361811432703013215
252,364174083220235300776011732793031751371487686365184284232597694055582047920738327555996204379129879208734398633372465745174629960154645,117900297822064256771671220218550341516496395708067153354482117949421853285905133717426791988029302535918702546013319266901971019039799
253,1283897680296235788422093452729460679559308750618137108642913289101403122843910412809671651883054004812407054415409840421110108103008553,415649643325224722334378674415157130427799980444716204524979875764759417647684888621663419136536899993471597714223130773517312743947001
254,4526493660308089480835589666554078965310295833624895754406994006728661016469754588434031170806492524743926394260656215980024228430031769,1465379513205898829449618716598544576689229816667212465174220811951573913844755128212309179126007244527096373692666750510216805837959329
255,15958918726447828580478793982604552195429453857757812436031618466115288598565584882157487373862427725797362594090539003574541229337951159,5166339384354194069149420073242092855201489757730450973934515082599209190127733158430533991997204331865460109508902447426645334732805881
256,56267157425574194962255184599810844815379440116455889920081976477244661244267562055054674494205976784857194433036654094641845698948969818,18214857704015601023353605171275171930087440053403788475635884555476059531885978987333698346521217366103586344055867296858272783856647659
257,198388446353482162815020577879676716375198527976557202920489203220668977632138707898300574245791780917677824191617591278460534303822775870,64221225567885298328339489466681211845865628624035138690780147304486764173924986551249873915890108960078278759573511153715846153043879911
258,699499790842921737469150395481705746050983131253728078198881961171943646057633280022865097571796004545754901352144098002181117659393044587,226433809857594446148017332471089671200965429732824296477582699237914891701371389356612642344673089547881698118897852808990672154003645179
259,2466428543062197404383920509152527385832859228436885201185845190214594142791734154047394301498395604712319186779424374101374578985169360211,798387557976586024022752580541133427284677953210994834466263671358796424026102006116783200543698528384748044273661327307965800309933725341
260,8696793289027196931609001455420153161352759720398910017994279519563976164193767689546006516034651783046797391052459120414663602345095463341,2815113911959984000383501127786725239970338080991551549576669183171418047855196105446836317072533568520224811013023133021801037624859115769
261,30666156293627209246906946932133745461009777625317646032769560173631690652424364514250792251360979321786751800532992102471939099213378018117,9926310070193690439343809879605320853868702479058142764790296417299464854879974947007546161408607726683531403996252328549060578962276663341
262,108135690070316315606874494676539506185411326953001037280386053346948080015174954949896011068649112728214066388003108579069965378845476540680,35001711355896396172320414341467421660045432968861319609842402501037974981405819324900875981822317405798771645115840038593102291265883831119
263,381318792516798765508057098075349871952839591128241547762113995547244478135428222615608905567292296875036313346601298298928765601063045110918,123424172868699476038059961615916859143862850329969997479540048386609914302829402095025095736506724481441961041522983401551015292314574138751
264,1344673148106961836911829997851380065289725868254879966438931005335146747584022124119029929023140968961588995655414731260403583869563334803129,435231784883022182699035382862168598391214662568753011054152517047560895368953293487331103959803232866664314028562290155215581722265110693839
265,4741923632797508327026284452389595199194316108838398742715058400012304846971695758313849961030157374367549608129612471068332976021544875158689,1534794888403744006715437169260053299290108558119583668017959123301716837243401839135624907608736724843912568274576561353233491326288464016081
266,16722515543728150063171162648559178137022786683073690320953668307396112499148832165760041827959156299580410829705219865332213352655976210023793,5412393632238712813158745523933821987698136818402147828490669829277887098878969680188687972736568838743442419912887904131187733736908469691009
267,58973624712021156630259081818500969089624899644694553305082682233542116979544069125766385245629833304263880761553889033103516438553869798695995,19086997885501775162760207871621976702362539505839344481401199519980839017614620485405500794888557925743572361166771087864337718233084509419601
268,207980744050679449607155392977008425424507716858395636845806832183641675921001189920360292354517923643122143069564420861934320802645720033930782,67312392654416546048920397662065627802359970321158034756216244911523611909273177686296505449058866649305287379763230750096680946645684339363379
