m,d,epsilon,order,scaled_cumulant,cumulant_limit,scaled_moment,moment_limit,moment_abs_error
4,2,0.065,4,0.133047492724713887+0.00112665656823885746j,0.133333333333333333-5.62250556972294572e-82j,0.131639209883293316+0.0011147311190572823j,0.133333333333333333-5.62250556972294572e-82j,0.00202797429267981366
4,2,0.065,6,-3.54331855302794748e-6+0.000278946620891186217j,0.0+0.0j,0.00054375569700680723-0.0428069935007009878j,0.0+0.0j,0.0428104468888971535
4,2,0.065,8,-0.00899288192269812842-0.000152315776438234285j,0.0+0.0j,0.597597425677532425+0.010121729237856337j,0.622222222222222222-5.24767186507474934e-81j,0.0266238616213321392
4,2,0.045,2,0.0000304057546243154606-0.0149999691829712012j,0.0+0.0j,0.0000304057546243154606-0.0149999691829712012j,0.0+0.0j,0.015
4,2,0.045,4,0.13319737555220322+0.000539998890586963244j,0.133333333333333333-5.62250556972294572e-82j,0.132522381099262705+0.000537262378292864948j,0.133333333333333333-5.62250556972294572e-82j,0.000972776638840102891
4,2,0.045,6,-5.62930805223407038e-7+0.0000925685758360743728j,0.0+0.0j,0.000181378214145123279-0.0298259090021574921j,0.0+0.0j,0.0298264604983820667
4,2,0.045,8,-0.00431547084067735854-0.0000349914967733481212j,0.0+0.0j,0.61037902594893265+0.00494918781878713176j,0.622222222222222222-5.24767186507474934e-81j,0.0128357219521650183
4,2,0.032,2,0.0000109282590690649651-0.0106666610685317782j,0.0+0.0j,0.0000109282590690649651-0.0106666610685317782j,0.0+0.0j,0.0106666666666666667
4,2,0.032,4,0.133264821873672696+0.000273066523354413523j,0.133333333333333333-5.62250556972294572e-82j,0.132923489256900441+0.000272367115141060575j,0.133333333333333333-5.62250556972294572e-82j,0.000492093499649603717
4,2,0.032,6,-1.02313018394602815e-7+0.0000332878649283982558j,0.0+0.0j,0.000065377642653661492-0.0212708233237596949j,0.0+0.0j,0.0212709237953305259
4,2,0.032,8,-0.00218339479886489456-8.94781566099371296e-6j,0.0+0.0j,0.616224122066163763+0.00252536089807133024j,0.622222222222222222-5.24767186507474934e-81j,0.00650804526318126882
4,2,0.023,2,4.05673939034982452e-6-0.00766666559337521233j,0.0+0.0j,4.05673939034982452e-6-0.00766666559337521233j,0.0+0.0j,0.00766666666666666667
4,2,0.023,4,0.133298001353163135+0.000141066646918103907j,0.133333333333333333-5.62250556972294572e-82j,0.133121668118572609+0.000140880036932272197j,0.133333333333333333-5.62250556972294572e-82j,0.000254262360458133992
4,2,0.023,6,-1.96206860230155139e-8+0.0000123601010288985064j,0.0+0.0j,0.0000243036401579570139-0.0153101398885835494j,0.0+0.0j,0.0153101591786278312
4,2,0.023,8,-0.00112823207220067869-2.38797419320862336e-6j,0.0+0.0j,0.619121249356838576+0.00131040909256144629j,0.622222222222222222-5.24767186507474934e-81j,0.00336648254142411615
4,2,0.016,2,1.36550809599427191e-6-0.0053333331585259217j,0.0+0.0j,1.36550809599427191e-6-0.0053333331585259217j,0.0+0.0j,0.00533333333333333333
4,2,0.016,4,0.133316251372976027+0.0000682666644291317977j,0.133333333333333333-5.62250556972294572e-82j,0.133230918050830368+0.0000682229681714921866j,0.133333333333333333-5.62250556972294572e-82j,0.000123057967951248892
4,2,0.016,6,-3.19606832708539849e-9+4.16101382727017649e-6j,0.0+0.0j,8.1870553654516642e-6-0.0106588617932762399j,0.0+0.0j,0.0106588649375080993
4,2,0.016,8,-0.000546063115051921677-5.59240405024146425e-7j,0.0+0.0j,0.620720938815090529+0.000635699829674291474j,0.622222222222222222-5.24767186507474934e-81j,0.00163032700461498487
6,3,0.24,2,0.000742399560576946594-0.0461850382616440124j,0.0+0.0j,0.000742399560576946594-0.0461850382616440124j,0.0+0.0j,0.0461910047123578621
6,3,0.24,4,0.00028481921405391175-0.00442431948390848584j,0.0+0.0j,-0.00611270059231201785-0.00463004599657252972j,0.0+0.0j,0.00766827454266140655
6,3,0.24,6,0.041937077446842378+0.00303852797086391475j,0.042328042328042328-3.50410062019308324e-83j,0.0388039337082827236+0.00426852781259253535j,0.042328042328042328-3.50410062019308324e-83j,0.00553531130567558583
6,3,0.24,8,-0.00013118741621674603+0.00203635531605103227j,0.0+0.0j,0.00427340055199938311-0.0502129908707996291j,0.0+0.0j,0.0503945076815800982
6,3,0.24,10,-0.000569168151831820439+0.00351247972034495719j,0.0+0.0j,-0.0460427218164710952-0.039451633678570526j,0.0+0.0j,0.0606330242704177136
6,3,0.24,12,-0.0978064624312639574-0.0142478233550682707j,0.0+0.0j,0.603425834981483091+0.138199248167744001j,0.827748383303938859-1.37049268700885033e-81j,0.263476066996625326
6,3,0.18,2,0.000233961566860188808-0.0346406211126567989j,0.0+0.0j,0.000233961566860188808-0.0346406211126567989j,0.0+0.0j,0.0346414111878458501
6,3,0.18,4,0.0000673699828634286351-0.00249318622778404385j,0.0+0.0j,-0.00353238369630420022-0.00254181367173920778j,0.0+0.0j,0.00435184458818971123
6,3,0.18,6,0.0421871677696819167+0.00128256106822850212j,0.042328042328042328-3.50410062019308324e-83j,0.0408792879629196683+0.00186223698285231993j,0.042328042328042328-3.50410062019308324e-83j,0.00235941005142490498
6,3,0.18,8,-0.0000174609551492845931+0.000646101210688715036j,0.0+0.0j,0.00141119658520974816-0.0396440708456066029j,0.0+0.0j,0.0396691798379243415
6,3,0.18,10,-0.0000570868263004856921+0.000844041058209450844j,0.0+0.0j,-0.0293527633120574339-0.0222849604208733269j,0.0+0.0j,0.0368538217151702679
6,3,0.18,12,-0.0417886247152562943-0.00254323999563059109j,0.0+0.0j,0.731174104039678745+0.0674627090286022059j,0.827748383303938859-1.37049268700885033e-81j,0.117804110814899608
6,3,0.13,2,0.0000635386605219516872-0.0250184713231254238j,0.0+0.0j,0.0000635386605219516872-0.0250184713231254238j,0.0+0.0j,0.0250185520066096175
6,3,0.13,4,0.0000132157377181686844-0.00130089128359333879j,0.0+0.0j,-0.00186454387283583612-0.00131042912453040829j,0.0+0.0j,0.0022789796717275016
6,3,0.13,6,0.042279073538613632+0.000483206890753206267j,0.042328042328042328-3.50410062019308324e-83j,0.0417891018025194346+0.000711897818815459568j,0.042328042328042328-3.50410062019308324e-83j,0.00089289159167566442
6,3,0.13,8,-1.78674829144289238e-6+0.000175875396639856882j,0.0+0.0j,0.000391230654775609362-0.0292702841352123254j,0.0+0.0j,0.0292728986398904216
6,3,0.13,10,-4.22261551989817174e-6+0.000166233129814291048j,0.0+0.0j,-0.0161650398786833996-0.0115966845942908026j,0.0+0.0j,0.019894512003537213
6,3,0.13,12,-0.0157961753763253518-0.000361115667525165504j,0.0+0.0j,0.791129792071169034+0.0270651112354499155j,0.827748383303938859-1.37049268700885033e-81j,0.0455350575936823035
