n,a_m1,a_m2,a_m3,a_m4,a_m5,a_m6,a_m7,a_m8,a_m9,a_m10,a_m11,a_m12
38,2,3066032,25027154667,8279545183440,320539431849558,3692781992692789,21274936194933918,79853049918996546,225422455101092218,520702849032156651,1037793100313707123,1851277163123411498
39,2,4493473,45860956334,17780102023209,766319511889531,9498413175786007,57708471557678229,225601446231035229,657840175832994946,1560576891516104896,3180106995829401145,5778971721146089622
40,2,6585489,84016871718,38160495726675,1831066307055603,24418980321112601,156457612584041946,637062556197358319,1918847981329609525,4674782448731997415,9741088223966607670,18033107766611786250
41,2,9651487,153882872222,81857267917196,4372956990861855,62747118141246862,423984289133137940,1798132273875834184,5594572477198182753,13996836110277656869,29825823301381980054,56256945295785876857
42,2,14144925,281787884179,175499010129453,10438394708181509,161160963484134410,1148440396141354626,5073060015619186067,16304525976675643461,41889604877958486194,91282353034478370070,175455297877051728111
43,2,20730378,515905103232,376076577464747,24905159854376918,413747229847633369,3109437811930892088,14306592250076172638,47497540887145350645,125316011017773252302,279247405058550336662,547047284658858345080
44,2,30381828,944364011515,805510938030173,59395176150529892,1061764753607400484,8415472389547827025,40330031050041358766,138312677850444162442,374750766852785405863,853897777907582797110,1705033416164121930738
45,2,44526715,1728371938130,1724522637434542,141588433750491034,2723627477228878968,22767023775527140843,113646146411042776616,402612605254212813801,1120265753055337084942,2610053014728406060385,5312233769218707071660
46,2,65257054,3162778218960,3690429163687186,337386075191981471,6983948510889695753,61570485919789466823,320126541857261507035,1171532365774038822399,3347710933948608915436,7975067728190399559074,16544436683782439452136
47,2,95638842,5786809094689,7894108280861475,803631276032296206,17901751522836335364,166450245570824720150,901438626654437674737,3407766697115480373383,10000628203416133200213,24359872312916823688571,51506197333033864124939
48,2,140165516,10586518731678,16879313177995204,1913479817275159328,45870980367418950249,449830006015504912635,2537490965452649989368,9909249504627424771150,29865025860176811258108,74384214721367176469131,160290725725955641782256
49,2,205422528,19364893925603,36077694780690322,4554440020497645240,117499212043783074126,1215264286587513565854,7140567568276173812457,28805344886087165616012,89157777021126858994670,227068434511141205249568,498668027707834662042443
50,2,301061327,35418405412851,77083521125320772,10836684273155926540,300879354195443719512,3282141142858713439421,20087530857727294294983,83709022210121948634688,266085662483438167864751,692957504548550934074270,1550896626939110854169262
51,2,441226799,64773668485561,164637643480260218,25775916710764036015,770222237284011067519,8861628148295915477708,56492573577945707235277,243188658716369911566208,793880707931530427073205,2114133755013725116634411,4822081800688653805537142
52,2,646649282,118447794379589,351517790726772360,61290574515091138076,1971112278570574045539,23919097125800775999144,158829882299307452832223,706302890991377895431476,2367915216697146580498708,6448169287114673448681410,14989062523523401683622467
53,2,947710563,216579615384589,750276735555330401,145693589022557897345,5042935821346488713393,64544016825166575969060,446430557329039242221652,2050783590520018438406898,7060888059459986475243896,19661711791641581578348782,46580713627214506695160472
54,2,1388937315,395979927821242,1600872672325459377,346225770555232293894,12898438503103211506617,174121275536807703651639,1254472092002412987848193,5952977989333295490983271,21049379994688325659466308,59936430523169109100174347,144721019669545098174185242
55,2,2035586549,723929733039056,3414743706923515481,822536725461409554790,32982004727917554334792,469609406169723461068354,3524177736039885408984323,17275815612438644622429107,62735026214384749333136977,182662548186563488645082658,449522731388330016212144940
56,2,2983297063,1323395802157304,7281654467470034057,1953586651973458120335,84315523258238692413038,1266237177175805213682757,9898022164981972548234884,50122963022581361720659083,186928385574875037333562193,556547128681892836875841408,1395940957207143184767894219
57,2,4372234328,2419109054089315,15523049319727250035,4638695040511258774366,215492792326477784680039,3413427455679232560974496,27793086029132171890414723,145389365057371118803769052,556850051144135175757241122,1695324022250276651302804853,4333904590101975849376674659
58,2,6407820826,4421764229998338,33082871106399253086,11011558738915071089100,550625870882531766930750,9199568503739375018710328,78023705462066896644595745,421628430802169797175488576,1658450287018377434329867490,5163044362165163799935692866,13452131758315229695092669776
59,2,9391117837,8081874153805530,70487563236012877844,26133374255074204355353,1406639712383324693778674,24788430795069656637963914,218988525731715399126676326,1222452257405599605872197851,4938227980041227048350792725,15720443616162027323002707837,41745126588537431676799464264
60,2,13763352112,14770892216706149,150144256324307249830,62006836514559702470156,3592651540893703131917611,66778839764756361181920332,614503702597377592721911890,3543577673843668120625090648,14701022379540054215543767971,47855568410677233605052208285,129517157572369687387211179332
61,2,20171172884,26994865051000968,319738891409103944502,147090483015320680381416,9173956386067976305818725,179862347167357709926307103,1724007754224075292630870675,10269827600800061447685144700,43755717243182890606128473386,145650347345561653008248180199,401753540006625892614726239247
62,2,29562290666,49332928347052943,680731971858866813765,348846070310550976742902,23421291191312049656638734,484346694893511597686279883,4835802512697444769411580633,29757639768780117670738754581,130207481192103337636709507238,443204790708366783374242017486,1245967568511502808313705003959
63,2,43325642722,90151993557865707,1448952148409586093250,827161959610803079522693,59783407950082968545153862,1304037620178970617608028246,13561741308002269673870783811,86208642120767362226171840272,387394774556457690512242493875,1348384428623863519933885713556,3863416916498438682821782209714
64,2,63496815549,164739511628460577,3083417050626228377431,1960910535134330106410252,152569990685010426815029217,3510301830280140840299571033,38026180873753529819989399755,249702481558854904316222609695,1152367316497601412867816343857,4101492090285816115427226259062,11977242451976933346149566539826
65,2,93059106157,301026972364608623,6560150604501024069710,4647703652361204341371901,389295155995172848291666224,9447613032627660514373045744,106603875068967031783254463824,723131468617037537069135280434,3427283122682015729733323573040,12473588581561063516014416819139,37124849420814728216744655249603
66,2,136384748820,550046430686442080,13954089830786761634411,11013751826304101328447330,993145767555758311962888440,25422932505199848763180943586,298805687387160050797267223009,2093806358931816913525654463106,10191387548369582860030458071383,37928426856881035814371946229800,115052766060989110352393170667406
67,2,199881564309,1005033685019269226,29675504505941498896407,26094622449339680761537347,2533224493721278346340058058,68400236952324325971278339711,837399621830821074850111239788,6061540492038942684345049038488,30300043363190287481749407503078,115309351014506617211593630170853,356496907509603001292431728990523
68,2,292940670405,1836327584139648988,63096636729027517632496,61814188739086744459698421,6460460955053588680413035983,184001081884117344797594853925,2346426950010662018031822339992,17545229014019185771126089900712,90070384179024250942859878343145,350503847969520997722140582736334,1104441362915501837451244193380247
69,2,429325419163,3355126086322208057,134130737914165134842462,146402737757753722478327708,16473460270331160803508411016,494898626919035981975801051994,6573761418357646066861132999056,50776972593751999609087677052159,267702093414451224121024195983609,1065250524477127541850048945770027,3421052008430369678050479967075644
70,2,629206983409,6129957876503513286,285080044894052213226198,346686102068452247568630097,41999093213608619951640804526,1330906115097743055157442403217,18414316937147927648089287158883,146929299455442608058379603962669,795526374408378562269562649620856,3237005480996841404439878725273536,10595191086047401679657171678857855
71,2,922147653750,11199453726889275561,605792683259988215820332,820827920367053251083447896,107060905008921614553012223344,3578623405376611601767817004180,51574393584710709160940987193191,425094884771619646028881579831455,2363700545062690359705758302704283,9834894939969804677889012900321416,32808926689621135455393380544662626
72,2,1351473072848,20461034444910284690,1287069905070035134138813,1943114611336556902577896203,272872578370082146477839549441,9621083900862883435462880333349,144428024168573298005511091716188,1229705635928282674071973112194763,7022104668113235236256812701905703,29876687695144421786815931917074754,101580732229185152526880768909917593
73,2,1980680056191,37380953137828292686,2734029980590280654692887,4599148055139059334540378104,695390662766157698846512069425,25862670760145483638071074198326,404398500331184473457091430898165,3556772855186644973678132704876047,20858397802593738404321785991307962,90747226605236792766341101031692222,314462331905644216214135910429175660
74,2,2902827709874,68291363684123084108,5806701082273376980719629,10884062459798730888098435148,1771902006545789877370425429234,69512989634377205087052714698797,1132166128830822556650647623614257,10286143484742461295582522348544293,61949122184943758374106242176554362,275596803555729449722791910789416535,973342463123043698342717533408321666
75,2,4254300782654,124759715964339380641,12330556676185631628145429,25753794740032996406825657036,4514339969426200072420181805163,186811487289649718509921388612485,3169239730690515687981050736993522,29743511022047003958805959421580565,183963482695424877569281715663223262,836867217332193706243536204470195691,3012340820644996920534592761297120997
76,2,6234980838776,227916965877715318069,26179707805217631325900853,60929812091434643767551786533,11499906315599247460944705246289,501981742843098771205306986938866,8870457666594211411093278757988580,85995704083717630735822723906078879,546225502055270956608246132652069736,2540868047811503684446187399868155148,9321493050856916017493590879970412628
77,2,9137808548580,416363917979505777472,55574762300564641386652703,144131403586677179569410535012,29291493308344343565023922380791,1348716439250617965232554774275621,24824733264057783189421542212050484,248603792298548900608668213139153753,1621652426447951731802773811922966537,7713516327109929764301391587240847421,28841061900577043472129616324616112381
78,2,13392109331163,760613636061201452489,117956772914486231084636442,340901772433472124356443719471,74599775659602549364945867494764,3623292156181355194411190944638972,69466008563421843987423185124858692,718599236150903639887393529043515530,4813827777489894360990970602322727444,23413639571510056079203247426307249073,89224229581657453055501624873182631334
79,2,19627090169867,1389473019037965437427,250323878486588917785768336,806201131155261788588421579603,189969505961158539630596619368578,9732794619262353581926598220955208,194361748670097452274262830534254353,2076898376158671659447410537797665595,14288010178673704550342314170019336096,71061296694737370861537322598380680896,275995195784400093746995240913015635214
80,2,28764898718374,2538233030551871040416,531150286921433576293228282,1906349925927990934693521186102,483706735914104765954331426993727,26141152949438343256601724838304305,543752664253977350712386710938676582,6001981693613381872614236273731223417,42403606196461178540296553973830054667,215648471497169639732813341322415219425,853628150736924736769235361299894068421
81,2,42157008049463,4636695450931756564809,1126859745811899091498658041,4507216631901479994478969192739,1231497963330311983060003103116533,70204719434193410987385889434085487,1521057190684236988942429775577359263,17343086477122268301766608399975772630,125830242264528776219277713891163694898,654349880146193533599162241838997404304,2639889413032063945997922113619297483138
82,2,61784098219255,8469966185607791307933,2390347910712738085665472247,10655216939144437791057023015939,3135017565375945304892216479569723,188522692525474576280248047551610686,4254461340780831828004179466402635478,50108539710895368717896443188721806930,373353118075545129882370654637327696367,1985296328787345830432848518285974054654,8163075590394882474290785010436150402591
83,2,90548996937553,15472165481821750060960,5069820980178903246671229594,25186372620941832260210402190867,7979989559602654908220237335287357,506195209438623797135270711073252417,11898708120931520490568494835007959361,144761148700680459255375572846615045323,1107664679941183167624650440683078862270,6022732310654375374468665612208719956217,25239120819540008955077338355059585101391
84,2,132706004986939,28262925905914502749113,10751419038239440441500079223,59527792313232504199462669153821,20310566151002899729898690451537116,1359035392137955824417585936379323381,33274572552077487922862895171073154510,418165742269030187923027005754211132832,3285880983947553673655280862925508425460,18269046906645790106614512334429511468505,78027581920712570037805985160062904551436
85,2,194490103206116,51627367866441582074691,22797223753826444029293846425,140677961124886041378447716327341,51689264002264246297520040963830833,3648405190145881094189195072354192722,93043023022751249894007682735089049686,1207820046350021945104581021790226343140,9746563738926809256682305220714164514526,55410681560539399101746654953866058637030,241199692732165900061222736634072833605171
86,2,285039100143590,94306130863441891959725,48332854938943150695049785777,332418938958441429832529522011666,131534139108068505879465090465215278,9793458887016508901098713582049610223,260144686601541415149011646785542350735,3488305586736077296437817944985056168669,28907367459170531390797411054208948548650,168045733193206280668167851099599553654588,745523156763101673335153618944401423062311
87,2,417745105130449,172265046869772341786996,102458622348568339830432014182,785416609619753417039016310844755,334686048279274838118390396890997576,26286394655923107021385292380718949529,727289059457454616106241809230145845316,10073640259790374140539785921438181366840,85728254194665105081089813416888043428002,509587743215595513385064133101541477249676,2304105587321193826258558952718247590427985
88,2,612235208336484,314667509238124780600841,217170770056729054682576937307,1855539548477310481050698655324881,851527814202484548811080617051344944,70548684841323126012621973731557762282,2033111442765199679862230153602789387613,29088347845263843286633532990033353703853,254213672162373685132583101884329787781497,1545144133337982129317472643315148824227792,7120352533290168477236090589823729653802999
89,2,897274308479992,574783536621487831207800,460258911941357213184251956922,4383260723713499130002438505840290,2166323247347752527615610032664734257,189326261772399123341176082344350237042,5683009759113847930191116128611190286137,83987261081366724024964574856360478497657,753762190391142200233134474229479619595117,4684665433160242150807627286787657636195867,22001864703751497912377581755269640121307903
90,2,1315019413610358,1049916090973369771918508,975331294197620893238256554902,10353387121410486341027678111508031,5510765394539086610925674782581188479,508039947037184419543610714806906422995,15883994296291859925797833218474216252955,242476993105236980022283121534151394959141,2234762180794048906052245908303918416060440,14201973836690586263943310837408352134513609,67979399125101065899809802874546150974257410
91,2,1927254621946758,1917798064461347666013161,2066580532823507652493876200417,24452695011883008101960955798430506,14017347418329216815118735852832994105,1363172821964854940535615354917436055746,44392144870297196732461302175148988224349,699989279337052650787283783100121834539044,6625074461166752249682964212718725433733092,43050711750850516324705111854424202564700171,210017714851674693225366575943970772445671362
92,2,2824528930426665,3503074069121660127995995,4378282709653404843674347464966,57747232113765065349687596573651643,35652171182076544221140045808171144495,3657387590945572541713517229362880887459,124056227993289974133046976929966232542457,2020584028543123964071885574990790097215265,19638740762312292241246111813636404253906481,130489145624575155519134224791254583541484617,648778161272563933324365888504927934261127384
93,2,4139548344036937,6398734058303569585495199,9274864974467304600507277209059,136363072846242687264969524037916926,90672022942813448211779078269287572510,9812032810826743365885622613796240435779,346655400561812777819032426019812425095758,5832141252585913146689086565973023904064072,58210434459620298484485192743568748294515790,395486586998579445201254469655802715288759643,2004006327619743288176867071961267354879700477
94,2,6066802965983608,11687919813628759926659730,19645573992781891616801216316429,321976755064065628958477829631301704,230583760668240568526464937253145724009,26321814706700030230778859947916299909523,968601670858371616891869799058163951050215,16832383928074206909597196983113064670152317,172525483261977041273849431966870457372405076,1198542168546167798661515533030291262625844903,6189639943957475372886204661460545681425193558
95,2,8891331896410185,21349068245277869660534241,41607934128907099932261415112240,760178060528655033277314845028927222,586344837414890336656685191538987004779,70606122132863043988588002822968154881754,2706207934788443926128487131240398435789935,48576985076509271097648857707433802002984928,511295210635789636104715709685939507199346557,3631950400846341050261513328342243422664152505,19115952859816564941309131918053416268879381344
96,2,13030880240447033,38995929362726522324064133,88113576936246453915311980154690,1794610170261175786187666217840856061,1490895911496250936411100585241010131738,189382316705639418795247419936377223333402,7560432695089976934537652955803379886261038,140179223649950979121150893338836622812446896,1515155067138974247523966881706394643186017375,11005058309474121627297834906828801169474253233,59032556340783823305581608186375068480543650160
97,2,19097683206430551,71229250103599227490068473,186580250595802616624269834881727,4236329968529084404362979665269025357,3790637023046358720005939624753615831025,507934642297907177719041229520946108974935,21120416888119795477514916924853992362868725,404488067395715900136784834731974188734598432,4489625613527225563215799620044105200579889135,33343518717070133530004143252504782226450840220,182285904935155477008012481013280517572939437104
98,2,27989015102840645,130105695781016626028986490,395044083372128949895292898433568,9999427854137604027281731179572247011,9637148156667663310503998852573057448499,1362223505864800296238888064226876306962005,58996934910598134579009070008836582563983691,1167071675263740786025856340051485112263637718,13302449982276535564026632208095880540209935660,101017803484275534713006234540788588558803123715,562835141941963415853101792750159224967345760418
99,2,41019895343287586,237647457966303558329065048,836340949432916535888234445882683,23600818565836597558434793834055086716,24499493524697821245756969155347111413260,3653101953218223317774115068375326974683242,164789030045479947037743337483364498095591053,3367129744544813906634478302361106335135354546,39411445051864054275472935235872051567271343884,306021945845417124812018150918457603988070768094,1737707515091984883144972997604900400276714673797
100,2,60117578549718044,434079266353686763920326038,1770434675784576507224359379565512,55698862692951783648050824592787430573,62278574471460511974872797290276628395012,9796001384970868336479325897823644169524903,460256324777043269794721431027698283847285403,9713895234709914829095648331818001818180910934,116757027837526606912038447368317711612559519695,926992259730958552407362037832261857696036254024,5364635573996542237460287896317164035526852236454
101,2,88106593652558595,792873660925499794523341753,3747451405574684353520110557429904,131441865358965486779172476393457564898,158304745470618773340661936184063681612710,26266984439752244544565748010353789144784921,1285418552745885300521359010800923787715479585,28021987366293338352854261357158545491316598442,345871168321239029068908029367481082233773178744,2807819799611886615693019968737450673605162651114,16560465461114282315462926561198561932507836917441
102,2,129126488995846086,1448231824928460655910076157,7931447574670669201071357711011227,310162994280223479028458831143353285330,402368174832537185587668780201379397174786,70428205021478290397465934876402275821035042,3589743214426489790309247199232166014284517355,80830840573184723815325336404000412391235047500,1024511971594216579463785661902363318690621915586,8504183634903905902109267728915632791936299500887,51118052324758758427187369372015971354090917831634
103,2,189244067545564034,2645278446565081411801899496,16785335138751410982089732946467817,731839525600084883865597022453546094709,1022653275922939890768183238936351100213113,188824661800390268998189999971117574115078354,10024365477891513338787426209080213318886895009,233146323957797616660765499078997544285158203452,3034532060753186974587679962317451655563462905250,25755320868781756319868059715123922756515969367916,157777895960685875972099337222337831615450260763502
104,2,277350661198122532,4831744587257576957569609857,35519711572822762579998797827071864,1726680831887577698099430960043544138997,2599016091454291581230691129156674913824649,506229153045802693076789585494466855979778568,27991472132850850773595933331036154290504523680,672440736631003881465492577118309189815544842305,8987503845590376629184469511123494449544181997481,77996099443456159424963024572074437318327279056539,486954928561227665509857879983751170119509569906999
105,2,406477150193968520,8825429851476968924624137530,75157343680375934172335694728879176,4073608529073409630120559603439494196121,6604895158140944421589561983744467550296631,1357102209218445298462708742625011864525656742,78157481195748183373486679911119913877167535307,1939340450025570952269060025875998110215925479153,26617039307461158187798962091940648253074982011759,236184295171231499371611603784677684854687122858476,1502805368026043512467736552084262046278817788618586
106,2,595721217739532455,16120078004627783112068035642,159014487927359193892170201407406481,9609885273728481523524984190656374799517,16784171787016573704843493997129216305816795,3637940077496102327566914152251609637395283838,218218692203155985748420304427533990231054293682,5592800242490141780098424640725332866253090577200,78823245799720251852959131206280670924593991488918,715157951408460115780879762392849832985814601680618,4637550822686020881631441931353706520733999657531717
107,2,873071878937654887,29444069234730054893286844800,336407703844282410675696376792613806,22668848240226862160800124871618179828141,42649263389545767945736758582737591574745721,9751618312244838676348856209504684256216833360,609242952406280899157115475735438093197888776678,16127994530004842862689506849651862692069101024935,233412113516711904006344490215749655664168775161099,2165341226848890736060994769847849470586057909717877,14310248928349737369284210942543306808261012213857358
108,2,1279549029131623306,53780889888043521423607393506,711639098067382756811285003079281399,53470430572085081676161541147435049497459,108368077821227723378843420629853930451228179,26138254936825515212109837804078617061710363982,1700853180099146308709397707279417792485084146457,46505874316163925853089271802807641540360281668110,691142431110157489070591460299384233597566504272486,6555785168605498545717711300425976408177663745684559,44154892361898409876433815568417340225520814047855903
109,2,1875270246871155659,98233052617852483530585150507,1505285734521327604343561224969194475,126116380337289622782304319605486573318073,275340432414693370557461821692570711666115301,70057685133756402315657341473092793092650049658,4748117353152446826984953479972086080422806921458,134094884030624710433280764022459758132990951172696,2046385142658784050138271020539897419304129293646129,19847126613237611950784309610361406393466837557042024,136233579024183149927999955098423193213689295218788909
110,2,2748342125808810443,179426603134831559229366244031,3183786952250412624811912861790975863,297442828729606468101378225932033042314113,699548687034788002743874344293505915434561258,187765074874043498327428468056435364111233637631,13254242449475887460481745163696181236275846432760,386628710303808374739963195776365608821902546429943,6058755025944061017621591092000247997028347243990049,60082178680083499615419304550312740012660199053365883,420304209133334697109260721243530445879581338749776774
111,2,4027891154940433645,327729551490135471750215908336,6733417944187360877265513762235066437,701471900319055583638560599268324735102361,1777238742968130270555229894846356487105512504,503215729847187026405360307751753935499240049106,36997105843020572673330203497502517432043916174070,1114689782959911033125697181635167855410170331756966,17937261801962014195046197040632192320609227556432999,181873465856738869953306644279090161069631934348618754,1296636010197681750202035292729700352698561837921743996
112,2,5903161401811589199,598610012708653589944337261467,14239484374929479664435252793876093497,1654216665272038185315632304904074962117033,4514960843387320603119025203727443128927536826,1348573034798245937838609136366641888054123431177,103266743243391710269941352571658686970747921086799,3213604931288276723700851718425828634841995023976935,53101422478574025237453443490299975864355911402159873,550515017077441990143105823420793702584623244048582135,3999886792737786202088464232598772438907677570954063821
113,2,8651503527620399536,1093382161417317072770748185450,30110686298900131316600414147815198217,3900770438379115439815311340002261960776451,11469463356693879248320631560573533068719763389,3613899730568989273328240091562388439891379179902,288226291693253972862267618011188595918469781074500,9264244268478088078050035305787025213470537099063049,157193260802978801405571008877522120280125817583561919,1666271090354403585228463268582862665764761233680786955,12338236907836019163001747606700225789417789024798851047
114,2,12679394682560833074,1997099267803480741180323967384,63667135621499660565592535138185264278,9197818114534433279509624363641955463250873,29134904019849037797445368427796348703694585899,9684106764592758127444490409152466737562328579677,804428735059993353740937960345846485111785210864938,26705889424396111311647150694230982569335433208881829,465307382011299281958951969950335368558883804217041930,5043120001431898497572768684509698410144664855480484612,38057020424481239577944285937674756434589327488681859338
115,2,18582556084372422165,3647766301990319875201613830838,134610453359677811190811637246989462163,21686835574432342154403238752130250803537445,74005831760910487329293780599591441591505118893,25949282096859484530107954839250474114487679106122,2245033858083987872376456707066710479733026822772887,76981099158409300514737739285124403420334453091839789,1377287775416118879789224677989978145914444268730035244,15262672248221380508303779402074479415810834318558260891,117379758603256251304579524703017129358537800646371418587
116,2,27234059611992821592,6662758484445906068654513179941,284584746742510603845539593670331674107,51131085022216113697211280981843960847600223,187975226636259452212985044296803489499799944185,69530265297825956385800501999789481341953217749791,6265273141393061827085882862927148921505466015362411,221891999793730275162245103824760713615196697064445603,4076511200702635992638122553730257537648398444907909095,46189148278005843413841641691501944070251722036601286627,362016909099046567190009952815414899065294087764746552149
117,2,39913454294553654556,12169727839428857868054564215885,601609010245802091363481817501778521472,120545714980009621950201073809556338780359408,477439184292359519981526218617328283294827722241,186296898809978510764874658347416159776455726309706,17483942205449036356085968641904535028442557418961663,639558251081326480129198700591146661776563087337119017,12065136459914825179851829901652157561016623177936857651,139774479775581437386960383242306564435113702304626728058,1116457431187249901783833639209177059223448623195624955953
118,2,58496010378926076610,22228359478782579742868078538685,1271708100715880665555672629088327983901,284182266143490277562174609496025582360647687,1212603191808199894765124135079002600914521166432,499138409874793723575984801154186194951857941221135,48788940354303119797716949636283589048712366974771476,1843316591452951248713346856887848516671037632447917783,35707211022176853807498967704264569612975962654933526317,422955633016111103637742866368275457326970256225231725085,3442972803608704440691617947649823532000481724670191659811
119,2,85730069990918898090,40600719188082700383807933176143,2688013434172465799552601869488909427251,669917102105194245637748411985301138072484526,3079661497975170107391709240863371803521758430339,1337273991665861766386439545764050295157828397025217,136140236257776563159409786482576858614269807892906706,5312531873075210724515547301481178662053651606527946880,105672053388473656076197558418787779816306036745870031474,1279797250341260212144013537612800637471692259952503960914,10617042541088990840256482147115870871877290305050271502547
120,2,125643524285472552533,74158310655332009851685793602524,5681288062265542112052457224808364153406,1579154087501125770780125506864330486658010035,7821162342540929676723805425889094171209170348757,3582648903449672291871833902931353214194359652574559,379870101861221095956678121886723994971408704599357590,15310358895958728183798719938934973796832173599510983925,312712547516844225863129299592955124242167271676713185234,3872285626876271168358555220423112968661506946694700230162,32738025701005711091201334115708409448736245058708384782009
121,2,184139534664398629029,135452096508033928702440552121249,12006986940850875735032250208875276426805,3722268946763504882353857067594453438800528998,19862049434295667902589997040736192062638497598550,9597827444605936739292202301567925849225006731997277,1059906664801468126469017764282765278985439106376767047,44121656028657830953116333574600887898301069016767012927,925362343231948855834109109223358737775077641037582104743,11715851509478458721914079227548594248853787288852663410364,100944064098380896556398975567074116323735591796879729017653
122,2,269869604655317527004,247406697184506741486357805322000,25374271507652506668821626090612938371557,8773466440407928311981793232606531016800153549,50438440049579041875652100296757955785626688573926,25711466187170268548394452636676777161582812102766593,2957225320742490475873720112177878426171773866066923797,127145572743370190558028422670023276058919004065209992333,2738167994033837752329895746302964314765208334304537727768,35445491030211529506057604088362412686135539839795123983681,311235307955769123537760738163245517924641881918086947624000
123,2,395513128940790079421,451894444432751413611563787469133,53619887098094573114462721102978096278802,20678324234532586600120319266647769247623360139,128080921201239641060142269984287034618699019510045,68875749153613385213494163800943060105672301149683384,8250606388027000786311413161140221237304579997569158641,366381949200798161014377934380206786016434126447214207778,8101967538171991579684591977767364768897106139132683401054,107233181293924727134477972211757750716534797990507798131863,959570961605872587315031595519263080111100978638635747038662
124,2,579652663605188708333,825396067919360636123530119551687,113300393361333143113144892017683260678690,48734950037419509953735422638215184539287359259,325231659352866198346401821158045156338199260210837,184498048269091512341530621278074397629678244148836568,23018252356010857857985293156883598533894119900925616201,1055724639065613967969009913094573176027784762910514614637,23971953606333090384175344868639004745396854535301431929988,324398487204480304298069925428157814294049816778422527685670,2958324973072156824190877969278880784184625892052442878482526
