n,moment_exact,F(2^-n)_exact,F(2^-n)_decimal
45,2056335423664999590182640962033292883125306770437002517895761878594652021311821408201864746174580307721400623378706359887507315133277843783294723/44110370904380100118286772439875534661708547200766633632675326680791341052794633374358668524863687245854757463431104297137444161323054984460449218750,2056335423664999590182640962033292883125306770437002517895761878594652021311821408201864746174580307721400623378706359887507315133277843783294723/55213881398871134789901928682104494024963388693311211880660896892165362966762392336627354109943804611754078466735520504983713378025794580872341565635127084099837763116984915428599863295321669066386629328815581956567602201192003644815624277164927982704034168713838679247794560794348049006591257616142382694923654825460079348689919419430476510346287583750007863855319563229483684420080034935581234113000557246290783250280615119463414986374309136924654997642152216704158332505554944000000000000000000000000,3.724308763605671844927785e-359
46,159422051111878476062534533042109698377277956727975168107294145534103915835803872328457634011607969910215506389064834846628600858262518747836788149920611377021/3805763375748291411794080350756074814666511730445185346703256318654391952757236150433933482523392297438078970751355466399005463895757186383398728812013835449218750,159422051111878476062534533042109698377277956727975168107294145534103915835803872328457634011607969910215506389064834846628600858262518747836788149920611377021/7710046324504192220179558218391811329408341850216327899325928676386681065736089243592766798427913149488769296045078380391581252622569381729976629742552556132386125586241230959214645607029472227138066617931170140817324870386401014883665225138108779705428419524091188708277628439592048931288880117918744501885069552588693725456388268844096086214736250096365094659993847856132373649745725831258071491012364011668080760817487448779181304638861705586536056287248153506730807736474566740134562678450730546029500825600000000000000000000000,2.06771845981263134694679e-374
47,1387660457319426767476834917285244199669291878605078054937136143269022618578638081353326610791649804029268160032775340037022938269226270705317089403574856921/36806222202594694504778339949285056234685800101017266409122401534375163953164759675376532712992188563230937821579840100570652455471539520148923876325085449218750,1387660457319426767476834917285244199669291878605078054937136143269022618578638081353326610791649804029268160032775340037022938269226270705317089403574856921/246611944275897317938781714958677497476271839613801258656617148862161362402724245639304366574517610612048045117831382373755730134039456868695986009095924852548348506015594418076278134049860149424487552842909904030791680212374109031826535417153381782809384591545731553271189121481913152169555716542282519056578999977826055932802068770171426726438268759911814460811582863198306734992365762828368665804264253341411285362858593316469732661646608690536841660442408037638862923245918397791118632723236690050363978079191036854272000000000000000000000000,5.626898816251091535778385e-390
48,1762222911640042457115480937510694226473299702684294214341200720767993363356052539220549022350667603738397192280455938477158478007499472025475446398030055571824000765189716797/51851952839099085737287962467919708505367417985123525893953206862692091019178112454007441515404292100967704178293747259393850180660544527679784394940348781194735376947326660156250,1762222911640042457115480937510694226473299702684294214341200720767993363356052539220549022350667603738397192280455938477158478007499472025475446398030055571824000765189716797/2346977977229816829093596088249300521047070470994674108057333201203310241927286320511034688951341272651038294073360582299618239258094489733999419309434141230598954481086138836014628591180095908085129737077510729628893969686697415747950743251763997285893118080791324084102418996072527888756007763205397864413211018750894307961554262433486893089699087030403775102627193231517974887139641692905111371857055754085785957634184161285807172137517567906836116012842890125188302576777612211754469773870278183332667734264375582846102891322502053252954596484264755200000000000000000000000000,7.50847655468854461178128e-406
49,32467925858267075280969102562199242197931522590216173770745055607910035203965104788697782061190405647071975533588433455160176603867692973090887623556781702620973496478578541/1058203119165287464026284948324892010313620775206602569264351160463103898350573723551172275824577389815667432210076474681507146544092745462852742753884669003974191366271972656250,32467925858267075280969102562199242197931522590216173770745055607910035203965104788697782061190405647071975533588433455160176603867692973090887623556781702620973496478578541/660615571481185219839748769190004367869406566778761503328450392368297104901376754098049384196836117798664843656476382055129206679051903741810130630542002805228680248561343978510636598998143203499642336356924601194590884099259155538586096191748116490036425805559563730403789576773347555819846334315842499924655050318278415053450640259889730752669677864658008260000011951121515058063871315554174800583966670890406318341807309085981482240762207848714750729048695050980891388085034910643367081449446450386442663172499816197976917231611970035010136131029808066687529071411200000000000000000000000000,4.914798751332761138427258e-422
50,8725349488048536125777914841734832856866844249285836992959699762588678338191340269838735682646177496149674799963109078196150324071936851688149604131409425057632406352386381849383730026881/314537729428235343647914340643185803505540245417051331030185197883535630365068277724498248228947098755404003002485674050558088027279750634983355228906782308715465323863705847832359304199218750,8725349488048536125777914841734832856866844249285836992959699762588678338191340269838735682646177496149674799963109078196150324071936851688149604131409425057632406352386381849383730026881/5527036189674374003326714493596662769777751467795443569941689575495750338346578110298750159217809670936019183747820535442466815638914806744730581645518021659609481713921081268863664164962477143244453447451847126389868908549939134340517462442409190933459890418759567026012958152544984290302538398797474948210043629694700382779166080215454787713741256440649716494986738361841636883908567918363592536237136341423077787356668193695982977356161959569013467601878403376431975312479309221170857325159460927184515706150837906955650362340389648029949531170842734762868333896494382767349288229548663903187107840000000000000000000000000,1.578666972427150170711964e-438
51,774500781055245396413766677952522505836270837351823942545588349203840512236518807968424270706355225076987020095688737961232023689603588919760566428221939762098110170750880161364967891651/30837032296885818004697484376782921912307867197750130493155411557209375525987086051421396885190892034843529706126046475544910590909779474017976002833998265560339737633696651748270520019531250,774500781055245396413766677952522505836270837351823942545588349203840512236518807968424270706355225076987020095688737961232023689603588919760566428221939762098110170750880161364967891651/31114447655350946016212856279042448439294321941017299977126602806051957231032058114529837348965954980967512935793300486229332934963233344584126389942429637681666284706596221058714986966208988312217105059283124804171943782579179834288469480449056123792955724891837019277027752722297371617765847686996768364876832608448508865485471619059405222048093052886764614238391224523578991899436184847733788220074485988858539797854201026245611034138934195556433393527846719547600156931886958223818834627581604878414423412593386918211235648192542878185008745557920493817982889806334031342431331358853368780795855951134982982860800000000000000000000000000,2.489199839361601705225419e-455
52,14876360925171417352719963765214150690225030456008753524368065469105033051444756352736198474107436282055758490051752125090488498277192310251822675688302743206232390016963820531962430186204488506439731313/653300174516959628160723360312844910067696690707151203062468315684125984335965635627997742996898797257771750243763424072617250713619420372656163744308439425672244170179537744134372071073392325094299316406250,14876360925171417352719963765214150690225030456008753524368065469105033051444756352736198474107436282055758490051752125090488498277192310251822675688302743206232390016963820531962430186204488506439731313/77185445798473789869312764025911548298419869609040090725140127920222322990974600881743213977164721420127441462264633235430802467539421213078504708152265496888831818846934117438016039431373745535097439948031725175771130401121292569688469374593849311924975358175123932506965842000312765066087234023771716164409305642970707499895373569567425804114092902947864892408507401567660123912460492294525204531464701574824096427464350561348519056279298516952749151285776791103023720162333037845428304827036925278658059039658454743504822806035595847177576132389562834689818897387900128158050732865309321637635846583873840438653333709407607755231827550147706880000000000000000000000000000,1.927353113177921418106824e-472
53,3312653665667769769665872672848301551183823583170812769587306909989789667316737914609232161834709024375206720676994788192027896773398975516012310932843878820517892635983091652267138100093178080083476737/160243439032461795586592522340886487375095414701754068675699775545162977289953835154037182244522346497189297229602349300830646401453820091406228842943579481768663664383660201391449753282152834457092285156250,3312653665667769769665872672848301551183823583170812769587306909989789667316737914609232161834709024375206720676994788192027896773398975516012310932843878820517892635983091652267138100093178080083476737/4518960484173618289966440944843117197939904347967428433569956042008111733371046546792637558973093276242070191759481353762955115520100038462386447452469265607486227165681413034258180136507074679450111911396966493957819346713549286260109055715774068432157630106524257774454738346621854150025320684162985856804714289173791226435388768506539798474255139100445284422882975814560264198359854567246103621701022149403737571368084632260391419837709882425589020089997516792830926134992637223904250000030252818530059319454689386018625993637963353273416384890665333620723148746674186638002200004997275264377091113463472774196702702021001144644525609651326799836007161386762240000000000000000000000000000,7.330565684894574399637671e-490
54,114765188691232614125969135989706735158404499713655609726412101061381091620247812002123825000090808280874557165751880869988978603243926873804137461816830933804961783471405309559631090471856118713100430393286408594453/6107208454810562675624557921682443931651601940762108164545516391132216780206904090078657149837736107590328668688719272519441613136341629645888369952278654533672940345792621391812621439767507699102698498719000671386718750,114765188691232614125969135989706735158404499713655609726412101061381091620247812002123825000090808280874557165751880869988978603243926873804137461816830933804961783471405309559631090471856118713100430393286408594453/83769237168944725621619949264951507481848862416573369678089018218578050361719374335509286559447768512591532481784247075990133018471584338718218391635254710257063439379512359898747774649856933317623355603841235087843352942546072814482043589610696986001298816737359972507040981915681305670065446819119103578863187432595507663367057652169985879169847030328965448742296697097199026692601839702998414175210131615743566803413400206553536527539891329412362000060892360222093274086797501401227365577819660875910370706286041473909026609298664432129540460752367171096228794822202813594221770981111148085168321114982394887075442558394039645697566687496348091785244152613383532442459096730357251350831562752000000000000000000000000000,1.370015921952060397715304e-507
