n,degree,coefficient
30,27,24733390388
30,28,33958401021
30,29,44693162266
30,30,56304982154
30,31,67790042264
30,32,77862550693
30,33,85150804316
30,34,88476707039
30,35,87148862632
30,36,81177465196
30,37,71324522948
30,38,58953092926
30,39,45711199648
30,40,33152883353
30,41,22422467102
30,42,14096996378
30,43,8210855836
30,44,4414696475
30,45,2182498934
30,46,987751630
30,47,407216840
30,48,152050430
30,49,51070240
30,50,15302586
30,51,4048460
30,52,933219
30,53,184158
30,54,30358
30,55,4032
30,56,407
30,57,28
30,58,1
31,0,1
31,1,0
31,2,30
31,3,29
31,4,463
31,5,839
31,6,5220
31,7,12391
31,8,48710
31,9,126077
31,10,388210
31,11,995120
31,12,2649996
31,13,6449945
31,14,15515932
31,15,35334219
31,16,78225085
31,17,166059251
31,18,341017352
31,19,674610961
31,20,1289213855
31,21,2376827880
31,22,4230547064
31,23,7265004634
31,24,12035867086
31,25,19224319593
31,26,29588573310
31,27,43847896355
31,28,62509680603
31,29,85636884381
31,30,112609964308
31,31,141941866535
31,32,171243444982
31,33,197410147194
31,34,217066891652
31,35,227214613135
31,36,225935732585
31,37,212944938878
31,38,189782695672
31,39,159542151440
31,40,126182711918
31,41,93639806275
31,42,65019095186
31,43,42118304191
31,44,25375480319
31,45,14172613915
31,46,7312141900
31,47,3471487865
31,48,1510017535
31,49,598822900
31,50,215262086
31,51,69665700
31,52,20129760
31,53,5139459
31,54,1144108
31,55,218169
31,56,34770
31,57,4466
31,58,436
31,59,29
31,60,1
32,0,1
32,1,0
32,2,31
32,3,30
32,4,494
32,5,898
32,6,5740
32,7,13718
32,8,55169
32,9,144354
32,10,453419
32,11,1178860
32,12,3198554
32,13,7914844
32,14,19400719
32,15,44998438
32,16,101596220
32,17,220027418
32,18,461441994
32,19,932920586
32,20,1823954056
32,21,3443654510
32,22,6284297671
32,23,11078233756
32,24,18866086480
32,25,31022147268
32,26,49234771915
32,27,75370353578
32,28,111212759880
32,29,158036060318
32,30,216063367026
32,31,283883733070
32,32,358005233561
32,33,432732908018
32,34,500569679512
32,35,553214944942
32,36,583068374740
32,37,584917819402
32,38,557338844187
32,39,503316693064
32,40,429796359382
32,41,346211786280
32,42,262419146277
32,43,186680209274
32,44,124302023860
32,45,77251701950
32,46,44677737200
32,47,23968492050
32,48,11886430460
32,49,5428277870
32,50,2273032281
32,51,868448100
32,52,301009086
32,53,94001700
32,54,26229169
32,55,6471378
32,56,1393015
32,57,256998
32,58,39644
32,59,4930
32,60,466
32,61,30
32,62,1
33,0,1
33,1,0
33,2,32
33,3,31
33,4,526
33,5,959
33,6,6293
33,7,15136
33,8,62236
33,9,164531
33,10,526865
33,11,1388423
33,12,3835713
33,13,9642262
33,14,24064172
33,15,56798069
33,16,130661158
33,17,288396991
33,18,617006381
33,19,1273372646
33,20,2543705675
33,21,4911315297
33,22,9175078357
33,23,16575638873
33,24,28963613273
33,25,48930600418
33,26,79898686070
33,27,126038699451
33,28,191969989018
33,29,282109493173
33,30,399675302843
33,31,545373196106
33,32,716010467122
33,33,903378429667
33,34,1093897673897
33,35,1269450640820
33,36,1409638386059
33,37,1495265406499
33,38,1512380099451
33,39,1455790660981
33,40,1330909745193
33,41,1153142126808
33,42,944787485664
33,43,730292046645
33,44,531283075220
33,45,362858454765
33,46,232058849095
33,47,138585789300
33,48,77061171845
33,49,39773182845
33,50,18988917711
33,51,8354496165
33,52,3372823767
33,53,1243329126
33,54,416100496
33,55,125558139
33,56,33875393
33,57,8086621
33,58,1685191
33,59,301136
33,60,45011
33,61,5425
33,62,497
33,63,31
33,64,1
34,0,1
34,1,0
34,2,33
34,3,32
34,4,559
34,5,1022
34,6,6880
34,7,16648
34,8,69947
34,9,186734
34,10,609278
34,11,1626400
34,12,4572141
34,13,11667844
34,14,29627303
34,15,71103784
34,16,166524961
34,17,374259998
34,18,816037112
34,19,1717334024
34,20,3501164116
34,21,6904439562
34,22,13186444819
34,23,24377734856
34,24,43636096747
34,25,75603766084
34,26,126770752493
34,27,205633214024
34,28,322537020961
34,29,488905421762
34,30,715718724716
34,31,1011094625096
34,32,1377175233001
34,33,1806756859334
34,34,2280553662668
34,35,2766157064872
34,36,3219771755834
34,37,3591286058638
34,38,3832366072607
34,39,3906097322744
34,40,3795763812561
34,41,3510046173600
34,42,3082627571385
34,43,2565802512840
34,44,2019682398255
34,45,1500131552770
34,46,1048948677130
34,47,688825355960
34,48,423737318190
34,49,243533713530
34,50,130394994531
34,51,64843564440
34,52,29847789543
34,53,12669639972
34,54,4938251689
34,55,1758758592
34,56,569062650
34,57,166127138
34,58,43390207
34,59,10033304
34,60,2026408
34,61,351106
34,62,50903
34,63,5952
34,64,529
34,65,32
34,66,1
35,0,1
35,1,0
35,2,34
35,3,33
35,4,593
35,5,1087
35,6,7502
35,7,18257
35,8,78339
35,9,211093
35,10,701428
35,11,1895547
35,12,5419396
35,13,14030672
35,14,36225026
35,15,88334759
35,16,210457979
35,17,481227585
35,18,1068425080
35,19,2290624753
35,20,4761162606
35,21,9579232027
35,22,18680733200
35,23,35293540880
35,24,64624637549
35,25,114653984414
35,26,197080014906
35,27,328109046531
35,28,528902288027
35,29,825105667729
35,30,1245051674266
35,31,1816043468731
35,32,2558615386707
35,33,3479016250309
35,34,4561107325336
35,35,5759569912977
35,36,6997031842554
35,37,8167576493285
35,38,9148158480580
35,39,9817369354538
35,40,10078436546931
35,41,9880997563712
35,42,9235295430738
35,43,8213688772161
35,44,6937820435835
35,45,5554333388645
35,46,4205904173390
35,47,3005846736765
35,48,2022925561980
35,49,1279035215835
35,50,757892843406
35,51,419783354790
35,52,216731852349
35,53,103988170188
35,54,46212352078
35,55,18950549757
35,56,7140514792
35,57,2460072987
35,58,770493374
35,59,217865458
35,60,55148783
35,61,12365807
35,62,2422992
35,63,407464
35,64,57353
35,65,6512
35,66,562
35,67,33
35,68,1
36,0,1
36,1,0
36,2,35
36,3,34
36,4,628
36,5,1154
36,6,8160
36,7,19966
36,8,87450
36,9,237742
36,10,804126
36,11,2198790
36,12,6389971
36,13,16773474
36,14,44007250
36,15,108963154
36,16,263913980
36,17,613495362
36,18,1385850646
36,19,3024240306
36,20,6402878415
36,21,13129855270
36,22,26116688271
36,23,50367061288
36,24,94221176773
36,25,170936066096
36,26,300754870785
36,27,513072293358
36,28,848458135440
36,29,1359579981326
36,30,2110154208260
36,31,3170482086010
36,32,4608615904608
36,33,6476499872746
36,34,8791982103018
36,35,11519139825954
36,36,14551552015995
36,37,17704406492982
36,38,20721480757781
36,39,23300738255796
36,40,25137867059305
36,41,25981039652620
36,42,25684683367781
36,43,24247354195226
36,44,21821002125894
36,45,18686160198386
36,46,15197926445100
36,47,11717135621670
36,48,8545851116175
36,49,5884070196390
36,50,3816319907691
36,51,2326316419500
36,52,1329564486105
36,53,710655587784
36,54,354262734643
36,55,164212820334
36,56,70544658035
36,57,27982074886
36,58,10204954015
36,59,3405041612
36,60,1033474311
36,61,283353640
36,62,69586476
36,63,15145360
36,64,2881857
36,65,470800
36,66,64395
36,67,7106
36,68,596
36,69,34
36,70,1
37,0,1
37,1,0
37,2,36
37,3,35
37,4,664
37,5,1223
37,6,8855
37,7,21778
37,8,97319
37,9,266819
37,10,918225
37,11,2539230
37,12,7497340
37,13,19942839
37,14,53140023
37,15,133518852
37,16,328549625
37,17,775914517
37,18,1782032403
37,19,3955161234
37,20,8522344614
37,21,17795811385
37,22,36070189929
37,23,70932871629
37,24,135411385452
37,25,250899666608
37,26,451258129240
37,27,787683215333
