m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
464,1137,355223,1391,644751,99542121,-128123,-49934479296,3,False,False
465,1139,356574,1394,647536,100188051,-128975,-50430528819,3,False,False
466,1141,358182,1397,650327,100836514,-130847,-51529045563,3,False,False
467,1144,359783,1400,653123,101487780,-130396,-51510426268,3,False,False
468,1146,361371,1403,655926,102141861,-132168,-52560974631,3,False,False
469,1149,362935,1406,658734,102798774,-131539,-52437370860,3,False,False
470,1151,364416,1409,661549,103458584,-132863,-53228311579,3,False,False
471,1154,365880,1412,664369,104121231,-131804,-52847893047,3,False,False
472,1156,367504,1415,667196,104786544,-133680,-53974703536,3,False,False
473,1159,369118,1418,670028,105454699,-133191,-53936327763,3,False,False
474,1161,370714,1421,672867,106125710,-134935,-54994137883,3,False,False
475,1164,372267,1424,675711,106799608,-134172,-54789803708,3,False,False
476,1166,373658,1427,678562,107476518,-135076,-55341136584,3,False,False
477,1168,375304,1430,681419,108156029,-136992,-56518787303,3,False,False
478,1171,376942,1433,684281,108838410,-136527,-56496815875,3,False,False
479,1173,378566,1436,687150,109523673,-138335,-57619235835,3,False,False
480,1176,380163,1439,690024,110211837,-137676,-57477355599,3,False,False
481,1178,381665,1442,692905,110902976,-138976,-58290229024,3,False,False
482,1181,383183,1445,695791,111596985,-137971,-57932131884,3,False,False
483,1183,384844,1448,698684,112293743,-139887,-59136890171,3,False,False
484,1186,386494,1451,701582,112993410,-139380,-59091666328,3,False,False
485,1188,388126,1454,704487,113695999,-141160,-60221586743,3,False,False
486,1190,389710,1457,707398,114401546,-142740,-61233508408,3,False,False
487,1193,391143,1460,710314,115110160,-141323,-60605146976,3,False,False
488,1195,392825,1463,713237,115821447,-143275,-61860505504,3,False,False
489,1198,394500,1466,716165,116535669,-142796,-61834933663,3,False,False
490,1200,396161,1469,719100,117252839,-144644,-63035017471,3,False,False
491,1203,397791,1472,722040,117972980,-143955,-62873581360,3,False,False
492,1205,399309,1475,724987,118696179,-145211,-63694756044,3,False,False
493,1208,400886,1478,727939,119422271,-144280,-63375350311,3,False,False
494,1210,402584,1481,730898,120151200,-146236,-64661575324,3,False,False
495,1212,404271,1484,733863,120883104,-148140,-65926008396,3,False,False
496,1215,405937,1487,736833,121617999,-147523,-65811574800,3,False,False
497,1217,407552,1490,739810,122355921,-149119,-66879974307,3,False,False
498,1220,409027,1493,742792,123096965,-147708,-66233912791,3,False,False
499,1222,410747,1496,745781,123840752,-149704,-67575695348,3,False,False
500,1225,412458,1499,748775,124587542,-149207,-67543564235,3,False,False
501,1227,414154,1502,751776,125337347,-151087,-68819367955,3,False,False
502,1230,415819,1505,754782,126090189,-150376,-68642512119,3,False,False
503,1232,417341,1508,757795,126846186,-151540,-69437387640,3,False,False
504,1235,418989,1511,760813,127605075,-150731,-69194090064,3,False,False
505,1237,420723,1514,763838,128366902,-152723,-70562616972,3,False,False
506,1239,422447,1517,766869,129131769,-154667,-71911079376,3,False,False
507,1242,424148,1520,769905,129899695,-154028,-71783206175,3,False,False
508,1244,425791,1523,772948,130670721,-155628,-72901634175,3,False,False
509,1247,427310,1526,775996,131444919,-154231,-72243813819,3,False,False
510,1249,429067,1529,779051,132221933,-156267,-73673055788,3,False,False
511,1252,430816,1532,782111,133002015,-155760,-73639505935,3,False,False
512,1254,432548,1535,785178,133785180,-157676,-74996985708,3,False,False
