m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
87,627,103785,782,196167,15700287,-22011,1804772237961,3,True,False
88,635,106261,791,200709,16249067,-21819,1932704670128,3,True,False
89,642,108672,800,205304,16810584,-22524,2067209652032,3,True,False
90,649,111089,809,209951,17384911,-23155,2209443556416,3,True,False
91,656,113521,818,214650,17972183,-23748,2359751881373,3,True,False
92,663,116146,827,219401,18572366,-25015,2518380891877,3,True,False
93,671,118671,836,224203,19185897,-24443,2687000393553,3,True,False
94,678,121198,845,229058,19812818,-25108,2863764819544,3,True,False
95,685,123739,854,233965,20453261,-25731,3050128117097,3,True,False
96,692,126468,863,238924,21107196,-27008,3246379366704,3,True,False
97,699,129109,872,243935,21775043,-27835,3453136168801,3,True,False
98,707,131747,881,248997,22456861,-27139,3672131588272,3,True,False
99,714,134397,890,254112,23152779,-27792,3901157662941,3,True,False
100,721,137228,899,259279,23862772,-29071,4141851184021,3,True,False
101,728,139987,908,264498,24587237,-29964,4394883304493,3,True,False
102,736,142736,917,269768,25326256,-29248,4662279238272,3,True,False
103,743,145495,926,275091,26079953,-29931,4941445037681,3,True,False
104,750,148425,935,280466,26848311,-31200,5234289219929,3,True,False
105,757,151303,944,285893,27631697,-32163,5541533160433,3,True,False
106,764,154164,953,291372,28430220,-32960,5863707347664,3,True,False
107,772,157033,962,296902,29243999,-32148,6203254954397,3,True,False
108,779,160056,971,302485,30073032,-33383,6556922412429,3,True,False
109,786,163059,980,308120,30917637,-34440,6927289751837,3,True,False
110,793,166033,989,313807,31777967,-35283,7314990597200,3,True,False
111,800,169012,998,319546,32654132,-36048,7720635190304,3,True,False
112,808,172118,1007,325336,33546154,-35608,8147017159804,3,True,False
113,815,175254,1016,331179,34454274,-36791,8590473678120,3,True,False
114,822,178341,1025,337074,35378715,-37680,9053952926529,3,True,False
115,829,181430,1034,343021,36319570,-38479,9538119184972,3,True,False
116,836,184596,1043,349020,37276908,-39488,10043626477488,3,True,False
117,844,187887,1052,355070,38250825,-39212,10573837348325,3,True,False
118,851,191088,1061,361173,39241680,-40151,11124503996541,3,True,False
119,858,194288,1070,367328,40249528,-40988,11698903808064,3,True,False
120,865,197500,1079,373535,41274500,-41775,12297833561725,3,True,False
121,873,200958,1088,379793,42316506,-41703,12924893078000,3,True,False
122,880,204275,1097,386104,43376077,-42700,13575397194889,3,True,False
123,887,207586,1106,392467,44453222,-43575,14253007306868,3,True,False
124,894,210907,1115,398882,45548069,-44392,14958600467041,3,True,False
125,901,214467,1124,405349,46660533,-46067,15692817093153,3,True,False
126,909,217902,1133,411867,47791122,-45327,16460575641501,3,True,False
127,916,221324,1142,418438,48939868,-46240,17255724535648,3,True,False
128,923,224755,1151,425061,50106893,-47091,18082660512116,3,True,False
129,930,228413,1160,431736,51292123,-48752,18942112392733,3,True,False
130,937,231967,1169,438463,52496033,-49899,19835530240148,3,True,False
131,945,235502,1178,445241,53718682,-48983,20767985642364,3,True,False
132,952,239042,1187,452072,54960190,-49864,21732411936204,3,True,False
133,959,242795,1196,458955,56220493,-51499,22733631650905,3,True,False
134,966,246472,1205,465890,57500024,-52732,23773162057348,3,True,False
135,973,250119,1214,472877,58798881,-53747,24852101870273,3,True,False
136,981,253770,1223,479915,60117174,-52719,25976348165381,3,True,False
137,988,257611,1232,487006,61454861,-54300,27137458975757,3,True,False
138,995,261415,1241,494149,62812313,-55635,28341616298336,3,True,False
139,1002,265176,1250,501344,64189680,-56700,29590096772864,3,True,False
140,1010,268937,1259,508590,65587063,-55648,30889453422769,3,True,False
141,1017,272855,1268,515889,67004449,-57131,32230268871193,3,True,False
142,1024,276797,1277,523240,68442115,-58612,33619262967745,3,True,False
143,1031,280673,1286,530643,69900295,-59731,35057953876201,3,True,False
144,1038,284545,1295,538098,71379071,-60736,36547653773705,3,True,False
145,1046,288514,1304,545604,72878486,-59940,38095732729460,3,True,False
146,1053,292618,1313,553163,74398646,-61663,39691558773325,3,True,False
147,1060,296609,1322,560774,75939943,-62836,41342966281581,3,True,False
148,1067,300592,1331,568437,77502416,-63879,43051314549197,3,True,False
149,1074,304583,1340,576152,79086193,-64856,44818135845765,3,True,False
150,1082,308876,1349,583918,80691124,-64780,46651463992564,3,True,False
151,1089,312984,1358,591737,82317840,-66015,48540031289504,3,True,False
152,1096,317079,1367,599608,83966313,-67100,50491975348233,3,True,False
153,1103,321180,1376,607531,85636668,-68111,52508951720196,3,True,False
154,1111,325572,1385,615505,87328764,-67967,54599860788933,3,True,False
155,1118,329799,1394,623532,89043201,-69272,56752079432373,3,True,False
156,1125,334006,1403,631611,90779978,-70399,58974644809205,3,True,False
157,1132,338217,1412,639742,92539215,-71444,61269338551989,3,True,False
158,1139,342704,1421,647925,94320784,-73495,63637496210317,3,True,False
159,1147,347052,1430,656159,96125244,-72599,66090523035752,3,True,False
160,1154,351372,1439,664446,97952628,-73772,68612922007572,3,True,False
161,1161,355694,1448,672785,99803050,-74855,71215110618000,3,True,False
162,1168,360271,1457,681176,101676401,-76860,73898582917297,3,True,False
163,1175,364745,1466,689619,103573183,-78355,76666096949281,3,True,False
164,1183,369179,1475,698113,105493477,-77227,79529444686804,3,True,False
165,1190,373611,1484,706660,107437389,-78344,82471242498189,3,True,False
166,1197,378271,1493,715259,109404833,-80275,85502761630804,3,True,False
167,1204,382876,1502,723910,111396236,-81888,88626790488416,3,True,False
168,1211,387424,1511,732613,113411744,-83175,91845578591189,3,True,False
169,1219,391967,1520,741367,115451449,-81907,95172342019801,3,True,False
170,1226,396699,1529,750174,117515301,-83720,98587133260665,3,True,False
171,1233,401446,1538,759033,119603618,-85495,102103483268732,3,True,False
172,1240,406109,1547,767944,121716643,-86836,105724022109241,3,True,False
173,1248,410764,1556,776906,123854444,-85552,109463124145456,3,True,False
174,1255,415540,1565,785921,126017036,-87135,113299060138909,3,True,False
175,1262,420454,1574,794988,128204546,-89172,117246137089844,3,True,False
176,1269,425234,1583,804107,130417390,-90575,121307569725189,3,True,False
177,1276,430000,1592,813278,132655592,-91824,125485700790112,3,True,False
178,1284,434771,1601,822500,134919277,-90428,129796663525809,3,True,False
179,1291,439899,1610,831775,137208237,-92915,134215573697937,3,True,False
180,1298,444798,1619,841102,139523202,-94388,138759836149800,3,True,False
181,1305,449676,1628,850481,141864108,-95679,143431751033660,3,True,False
182,1312,454557,1637,859912,144231075,-96884,148234109183649,3,True,False
183,1320,459781,1646,869394,146623907,-96724,153183984270533,3,True,False
184,1327,464801,1655,878929,149043295,-98275,158255935304944,3,True,False
185,1334,469792,1664,888516,151489208,-99612,163467248155712,3,True,False
186,1341,474784,1673,898155,153961760,-100855,168820888850045,3,True,False
187,1348,480099,1682,907846,156460773,-103292,174319078028709,3,True,False
188,1356,485242,1691,917588,158986886,-102232,179983012023244,3,True,False
189,1363,490348,1700,927383,161540108,-103623,185782423789924,3,True,False
190,1370,495450,1709,937230,164120550,-104900,191736850158600,3,True,False
191,1377,500852,1718,947129,166728052,-107279,197848730533056,3,True,False
192,1385,506123,1727,957079,169363189,-106267,204140769855184,3,True,False
193,1392,511343,1736,967082,172026025,-107708,210580215666357,3,True,False
194,1399,516556,1745,977137,174716660,-109023,217188186323813,3,True,False
195,1406,522037,1754,987244,177434963,-111312,223967384315933,3,True,False
196,1413,527442,1763,997403,180181422,-113199,230922367739453,3,True,False
197,1421,532777,1772,1007613,182956175,-111867,238076815553033,3,True,False
198,1428,538102,1781,1017876,185759306,-113224,245394489835724,3,True,False
199,1435,543648,1790,1028191,188590728,-115367,252898089733608,3,True,False
200,1442,549199,1799,1038558,191450801,-117432,260592046088849,3,True,False
201,1449,554651,1808,1048977,194339773,-119003,268480530048361,3,True,False
202,1457,560088,1817,1059447,197257704,-117503,276589317972597,3,True,False
203,1464,565671,1826,1069970,200204577,-119388,284878034085629,3,True,False
204,1471,571394,1835,1080545,203180542,-121735,293372404978197,3,True,False
205,1478,576964,1844,1091172,206186036,-123372,302077448848208,3,True,False
206,1485,582513,1853,1101851,209221071,-124827,310996888825664,3,True,False
207,1493,588064,1862,1112581,212285768,-123207,320159194987184,3,True,False
208,1500,594026,1871,1123364,215379862,-126104,329519042043948,3,True,False
209,1507,599716,1880,1134199,218504180,-127815,339106898638004,3,True,False
210,1514,605378,1889,1145086,221658622,-129316,348926351068936,3,True,False
211,1522,611039,1898,1156024,224843305,-127672,359007990105973,3,True,False
212,1529,617095,1907,1167015,228057977,-130539,369302988526928,3,True,False
213,1536,622907,1916,1178058,231303421,-132332,379843862769949,3,True,False
214,1543,628683,1925,1189153,234579573,-133883,390634549772784,3,True,False
215,1550,634455,1934,1200300,237886545,-135320,401679648487605,3,True,False
216,1558,640600,1943,1211498,241224104,-135036,413011325210692,3,True,False
217,1565,646537,1952,1222749,244592975,-136923,424579524683633,3,True,False
218,1572,652427,1961,1234052,247993141,-138524,436416817716417,3,True,False
219,1579,658310,1970,1245407,251424706,-139999,448528039709076,3,True,False
220,1586,664538,1979,1256814,254887462,-142756,460916918873896,3,True,False
221,1594,670606,1988,1268272,258382058,-141588,473621892013556,3,True,False
222,1601,676611,1997,1279783,261908541,-143243,486585462632532,3,True,False
223,1608,682606,2006,1291346,265467002,-144760,499843580971732,3,True,False
224,1615,688908,2015,1302961,269057268,-147407,513400346448213,3,True,False
225,1622,695112,2024,1314628,272679888,-149564,527262711333888,3,True,False
226,1630,701234,2033,1326346,276334990,-148036,541470420491320,3,True,False
227,1637,707341,2042,1338117,280022651,-149595,555960717227417,3,True,False
228,1644,713704,2051,1349940,283742744,-152080,570771864517232,3,True,False
229,1651,720057,2060,1361815,287495679,-154427,585910604798193,3,True,False
230,1659,726297,2069,1373741,291281703,-152907,601419891197972,3,True,False
231,1666,732516,2078,1385720,295100868,-154508,617232318202448,3,True,False
232,1673,738909,2087,1397751,298953123,-156707,633389134520724,3,True,False
233,1680,745440,2096,1409834,302838648,-159360,649896468234656,3,True,False
234,1687,751798,2105,1421969,306757898,-161223,666761700452461,3,True,False
235,1695,758130,2114,1434155,310710870,-159495,684030362996180,3,True,False
236,1702,764460,2123,1446394,314697684,-161036,701629293997428,3,True,False
237,1709,771259,2132,1458685,318718013,-164355,719602087839281,3,True,False
238,1716,777739,2141,1471028,322772789,-166300,737958531904849,3,True,False
239,1723,784185,2150,1483423,326861871,-168011,756703884370425,3,True,False
240,1731,790626,2159,1495869,330985374,-166143,775887995932341,3,True,False
241,1738,797514,2168,1508368,335142990,-169412,795429363585108,3,True,False
242,1745,804118,2177,1520919,339335594,-171447,815380672987949,3,True,False
243,1752,810678,2186,1533522,343563090,-173208,835747675172052,3,True,False
244,1760,817231,2195,1546176,347825585,-171324,856583417135321,3,True,False
245,1767,824205,2204,1558883,352122795,-174531,877801011976601,3,True,False
246,1774,830936,2213,1571642,356455528,-176668,899456147537316,3,True,False
247,1781,837612,2222,1584453,360823740,-178487,921555123457488,3,True,False
248,1788,844276,2231,1597316,365227532,-180160,944104981898032,3,True,False
249,1796,851330,2240,1610230,369666646,-179704,967161282290068,3,True,False
250,1803,858193,2249,1623197,374141807,-181963,990634685307700,3,True,False
251,1810,864984,2258,1636216,378653040,-183836,1014581509194240,3,True,False
252,1817,871760,2267,1649287,383200432,-185551,1039009080652621,3,True,False
253,1824,878885,2276,1662410,387783763,-188564,1063923285174525,3,True,False
254,1832,885888,2285,1675584,392403648,-187328,1089388444129536,3,True,False
255,1839,892796,2294,1688811,397060204,-189263,1115304694317304,3,True,False
256,1846,899685,2303,1702090,401753499,-191024,1141733021197521,3,True,False
257,1853,906865,2312,1715421,406483367,-193851,1168679903425265,3,True,False
258,1860,914020,2321,1728804,411250268,-196480,1196155084634576,3,True,False
259,1868,921047,2330,1742238,416054449,-194764,1224225896523565,3,True,False
260,1875,928049,2339,1755725,420895951,-196571,1252783976586672,3,True,False
261,1882,935254,2348,1769264,425774690,-199092,1281894226155028,3,True,False
262,1889,942590,2357,1782855,430690882,-202039,1311565539232933,3,True,False
263,1897,949737,2366,1796497,435644991,-200339,1341870418215657,3,True,False
264,1904,956852,2375,1810192,440637004,-202192,1372693388598016,3,True,False
265,1911,963962,2384,1823939,445667038,-203927,1404104383782888,3,True,False
266,1918,971596,2393,1837738,450734708,-207660,1436109451589012,3,True,False
267,1925,978867,2402,1851589,455841045,-209843,1468722454075473,3,True,False
268,1933,986096,2411,1865491,460985872,-207895,1502017728906517,3,True,False
269,1940,993316,2420,1879446,466169300,-209664,1535871472966256,3,True,False
270,1947,1001039,2429,1893453,471390961,-213347,1570356108029104,3,True,False
271,1954,1008434,2438,1907512,476651830,-215620,1605485736199924,3,True,False
272,1961,1015778,2447,1921623,481951774,-217591,1641268380279325,3,True,False
273,1969,1023111,2456,1935785,487290897,-215483,1677785444693009,3,True,False
274,1976,1030916,2465,1950000,492668860,-219088,1714901024600800,3,True,False
275,1983,1038441,2474,1964267,498086559,-221475,1752700257000257,3,True,False
276,1990,1045901,2483,1978586,503543923,-223504,1791191908235265,3,True,False
277,1997,1053345,2492,1992957,509041047,-225371,1830385795871001,3,True,False
278,2005,1061226,2501,2007379,514577622,-224879,1870366706727813,3,True,False
279,2012,1068885,2510,2021854,520154451,-227396,1910995404662037,3,True,False
280,2019,1076462,2519,2036381,525771538,-229487,1952357696569677,3,True,False
281,2026,1084019,2528,2050960,531428965,-231400,1994463760434205,3,True,False
282,2034,1091967,2537,2065590,537126465,-230712,2037403470015345,3,True,False
283,2041,1099768,2546,2080273,542864720,-233391,2081028544584896,3,True,False
284,2048,1107463,2555,2095008,548643833,-235548,2125430237746409,3,True,False
285,2055,1115133,2564,2109795,554463867,-237507,2170619059786185,3,True,False
286,2062,1123131,2573,2124634,560324613,-240680,2216603897955249,3,True,False
287,2070,1131088,2582,2139524,566226584,-239452,2263485891165184,3,True,False
288,2077,1138903,2591,2154467,572170025,-241683,2311103073508432,3,True,False
289,2084,1146686,2600,2169462,578154970,-243688,2359552621991188,3,True,False
290,2091,1154704,2609,2184509,584181296,-246535,2408844398960245,3,True,False
291,2098,1162845,2618,2199608,590249259,-249776,2458990816066877,3,True,False
292,2106,1170781,2627,2214758,596359331,-247888,2510099611186297,3,True,False
293,2113,1178679,2636,2229961,602511489,-249947,2561995437648681,3,True,False
294,2120,1186568,2645,2245216,608705848,-251872,2614782676408288,3,True,False
295,2127,1195039,2654,2260523,614941961,-256027,2668469555449729,3,True,False
296,2134,1203099,2663,2275882,621220965,-258440,2723075056645809,3,True,False
297,2142,1211111,2672,2291292,627542641,-256280,2778709433607877,3,True,False
298,2149,1219112,2681,2306755,633907096,-258247,2835185926940989,3,True,False
299,2156,1227668,2690,2322270,640313908,-262336,2892612229960672,3,True,False
300,2163,1235855,2699,2337837,646764145,-264851,2951007531666292,3,True,False
301,2171,1243983,2708,2353455,653257641,-262691,3010488306839265,3,True,False
302,2178,1252095,2717,2369126,659794497,-264696,3070857502435505,3,True,False
303,2185,1260732,2726,2384849,666374316,-268703,3132228760932416,3,True,False
304,2192,1269049,2735,2400624,672998087,-271332,3194621398606481,3,True,False
305,2199,1277294,2744,2416451,679665706,-273575,3258047177521896,3,True,False
306,2207,1285519,2753,2432329,686377265,-271227,3322632047629808,3,True,False
307,2214,1294228,2762,2448260,693132404,-275116,3388162187127760,3,True,False
308,2221,1302682,2771,2464243,699932006,-277887,3454768076283869,3,True,False
309,2228,1311044,2780,2480278,706776052,-280192,3522462589687024,3,True,False
310,2235,1319382,2789,2496365,713664618,-282303,3591259406878349,3,True,False
311,2243,1328154,2798,2512503,720597390,-281567,3661289527132788,3,True,False
312,2250,1336752,2807,2528694,727575120,-284508,3732333214633668,3,True,False
313,2257,1345234,2816,2544937,734597894,-286887,3804523240244048,3,True,False
314,2264,1353685,2825,2561232,741665771,-289044,3877873702687121,3,True,False
315,2271,1362503,2834,2577579,748778497,-292571,3952396415464201,3,True,False
316,2279,1371260,2843,2593977,755936644,-291199,4028237555471197,3,True,False
317,2286,1379862,2852,2610428,763140450,-293652,4105158812131028,3,True,False
318,2293,1388428,2861,2626931,770389940,-295863,4183300891233277,3,True,False
319,2300,1397261,2870,2643486,777684955,-299044,4262676856462501,3,True,False
320,2308,1406205,2879,2660092,785025795,-297956,4343437885293057,3,True,False
321,2315,1414930,2888,2676751,792412934,-300495,4425335218395992,3,True,False
322,2322,1423610,2897,2693462,799846342,-302756,4508516116943976,3,True,False
323,2329,1432278,2906,2710225,807326130,-304871,4592996357452380,3,True,False
324,2336,1441586,2915,2727040,814851790,-309448,4678786825480300,3,True,False
325,2344,1450436,2924,2743906,822424564,-307408,4766055594434224,3,True,False
326,2351,1459231,2933,2760825,830044193,-309723,4854531942589088,3,True,False
327,2358,1468011,2942,2777796,837710781,-311880,4944373312258077,3,True,False
328,2365,1477402,2951,2794819,845423846,-316383,5035591287713141,3,True,False
329,2372,1486380,2960,2811894,853184556,-319136,5128211299020912,3,True,False
330,2380,1495292,2969,2829020,860992708,-316768,5222399293885104,3,True,False
331,2387,1504185,2978,2846199,868848399,-318971,5317870561195473,3,True,False
332,2394,1513653,2987,2863430,876751179,-323376,5414787354465065,3,True,False
333,2401,1522763,2996,2880713,884702125,-326251,5513175157132641,3,True,False
334,2409,1531792,3005,2898047,892701104,-323887,5613208441667821,3,True,False
335,2416,1540798,3014,2915434,900748202,-326136,5714588364801236,3,True,False
336,2423,1550335,3023,2932873,908843009,-330411,5817485350016372,3,True,False
337,2430,1559584,3032,2950364,916986488,-333436,5921924714652736,3,True,False
338,2437,1568731,3041,2967907,925178597,-335955,6027923249851508,3,True,False
339,2445,1577850,3050,2985501,933419406,-333375,6135667509459324,3,True,False
340,2452,1587447,3059,3003148,941708553,-337484,6244836361913793,3,True,False
341,2459,1596842,3068,3020847,950046862,-340687,6355621403725336,3,True,False
342,2466,1606110,3077,3038598,958434402,-343284,6468041040605832,3,True,False
343,2473,1615342,3086,3056401,966871226,-345639,6582113677626764,3,True,False
344,2481,1624981,3095,3074255,975357035,-344563,6698033316241300,3,True,False
345,2488,1634538,3104,3092162,983892462,-348008,6815468661125300,3,True,False
346,2495,1643927,3113,3110121,992477737,-350683,6934616870268784,3,True,False
347,2502,1653274,3122,3128132,1001112878,-353092,7055496693598516,3,True,False
348,2509,1662923,3131,3146195,1009797685,-356611,7178124976410960,3,True,False
349,2517,1672670,3140,3164309,1018532506,-355391,7302712974876192,3,True,False
350,2524,1682183,3149,3182476,1027317817,-358156,7428908110715881,3,True,False
351,2531,1691645,3158,3200695,1036153579,-360619,7556916273040321,3,True,False
352,2538,1701175,3167,3218966,1045039817,-363256,7686757098112945,3,True,False
353,2546,1711238,3176,3237288,1053976210,-362836,7818644852639956,3,True,False
354,2553,1720877,3185,3255663,1062963859,-365699,7952216444737360,3,True,False
355,2560,1730456,3194,3274090,1072002544,-368224,8087685310926064,3,True,False
356,2567,1740015,3203,3292569,1081092369,-370571,8225072556349908,3,True,False
357,2574,1750241,3212,3311100,1090232791,-375488,8364393070835221,3,True,False
358,2582,1760010,3221,3329682,1099425078,-373316,8505888856687800,3,True,False
359,2589,1769706,3230,3348317,1108668990,-375903,8649162300657548,3,True,False
360,2596,1779378,3239,3367004,1117964622,-378296,8794441949616716,3,True,False
361,2603,1789679,3248,3385743,1127311465,-383107,8941743628374553,3,True,False
362,2610,1799581,3257,3404534,1136710691,-386224,9091100247862633,3,True,False
363,2618,1809395,3266,3423376,1146162133,-383656,9242752348564381,3,True,False
364,2625,1819180,3275,3442271,1155665876,-386095,9396283007966629,3,True,False
365,2632,1829547,3284,3461218,1165221453,-390764,9551927561287773,3,True,False
366,2639,1839590,3293,3480217,1174829914,-394039,9709718643897637,3,True,False
367,2646,1849523,3302,3499268,1184491189,-396776,9869677634582925,3,True,False
368,2654,1859422,3311,3518370,1194205346,-393972,10032060587904824,3,True,False
369,2661,1869845,3320,3537525,1203971971,-398459,10196421893178793,3,True,False
370,2668,1880036,3329,3556732,1213791964,-401920,10363024184798992,3,True,False
371,2675,1890090,3338,3575991,1223665374,-404735,10531890826391172,3,True,False
372,2683,1900104,3347,3595301,1233592248,-401927,10703288567571389,3,True,False
373,2690,1910564,3356,3614664,1243572244,-406156,10876753025575120,3,True,False
374,2697,1920920,3365,3634079,1253606056,-409871,11052555647164077,3,True,False
375,2704,1931096,3374,3653546,1263693904,-412768,11230722408626544,3,True,False
376,2711,1941225,3383,3673065,1273835799,-415379,11411277214106736,3,True,False
377,2719,1951691,3392,3692635,1284031501,-413803,11594497777109281,3,True,False
378,2726,1962240,3401,3712258,1294281408,-417884,11779902477948708,3,True,False
379,2733,1972540,3410,3731933,1304585996,-420871,11967774645529360,3,True,False
380,2740,1982785,3419,3751660,1314945215,-423540,12158138305838585,3,True,False
381,2747,1993149,3428,3771439,1325359035,-426587,12351017864399193,3,True,False
382,2755,2003995,3437,3791269,1335827237,-425955,12546705851634464,3,True,False
383,2762,2014423,3446,3811152,1346350865,-429048,12744701793092837,3,True,False
384,2769,2024785,3455,3831087,1356929711,-431779,12945296032971476,3,True,False
385,2776,2035124,3464,3851074,1367563876,-434320,13148515283193520,3,True,False
386,2783,2046186,3473,3871113,1378252758,-439655,13354378337203797,3,True,False
387,2791,2056745,3482,3891203,1388997727,-437299,13563211245179937,3,True,False
388,2798,2067224,3491,3911346,1399798504,-440092,13774471255683076,3,True,False
389,2805,2077676,3500,3931541,1410655180,-442679,13988467246221516,3,True,False
390,2812,2088809,3509,3951788,1421567191,-447892,14205219148927329,3,True,False
391,2820,2099504,3518,3972086,1432535800,-445616,14425064671928880,3,True,False
392,2827,2110102,3527,3992437,1443560810,-448479,14647439359041389,3,True,False
393,2834,2120668,3536,4012840,1454642300,-451116,14872664488312400,3,True,False
394,2841,2131865,3545,4033295,1465779751,-456179,15100761248994048,3,True,False
395,2848,2142701,3554,4053802,1476974299,-459700,15331770872225317,3,True,False
396,2856,2153419,3563,4074360,1488225845,-456940,15566031404163665,3,True,False
397,2863,2164099,3572,4094971,1499534453,-459627,15802952178752729,3,True,False
398,2870,2175348,3581,4115634,1510899660,-464492,16042864042216980,3,True,False
399,2877,2186335,3590,4136349,1522322441,-468211,16285807390566497,3,True,False
400,2884,2197175,3599,4157116,1533802825,-471244,16531811363072497,3,True,False
401,2892,2207970,3608,4177934,1545340854,-468216,16781232580819028,3,True,False
402,2899,2219253,3617,4198805,1556936139,-472811,17033444335078100,3,True,False
403,2906,2230407,3626,4219728,1568589441,-476792,17288809385613189,3,True,False
404,2913,2241369,3635,4240703,1580300967,-479907,17547359993329844,3,True,False
405,2920,2252280,3644,4261730,1592070720,-482720,17809126071310880,3,True,False
