a,b,c,F_discriminant,g1,g2,g3,h1,h2,G_discriminant_formula,H_discriminant,G_all_real,H_all_real
7,15,9,0,6,10,3,5,6,5,1,True,True
7,15,10,5,6,10,4,5,6,32,1,True,True
7,16,12,0,6,10,4,6,8,32,4,True,True
8,6,1,229,7,3,0,3,1,333,5,True,True
8,7,1,697,7,3,0,4,1,333,12,True,True
8,8,1,1125,7,4,0,4,1,528,12,True,True
8,8,2,148,7,4,0,4,2,528,8,True,True
8,9,1,1489,7,5,0,4,1,725,12,True,True
8,9,2,656,7,5,0,4,2,725,8,True,True
8,10,1,1765,7,6,0,4,1,900,12,True,True
8,10,2,1076,7,6,0,4,2,900,8,True,True
8,10,3,333,7,6,0,4,3,900,4,True,True
8,11,1,1929,7,6,0,5,1,900,21,True,True
8,11,2,1384,7,6,0,5,2,900,17,True,True
8,11,3,785,7,6,0,5,3,900,13,True,True
8,11,4,132,7,6,1,5,3,257,13,True,True
8,12,1,1957,7,7,0,5,1,1029,21,True,True
8,12,2,1556,7,7,0,5,2,1029,17,True,True
8,12,3,1101,7,7,0,5,3,1029,13,True,True
8,12,4,592,7,7,1,5,3,512,13,True,True
8,12,5,29,7,7,1,5,4,512,9,True,True
8,13,1,1825,7,8,0,5,1,1088,21,True,True
8,13,2,1568,7,8,0,5,2,1088,17,True,True
8,13,3,1257,7,8,0,5,3,1088,13,True,True
8,13,4,892,7,8,1,5,3,697,13,True,True
8,13,5,473,7,8,1,5,4,697,9,True,True
8,13,6,0,7,8,1,5,5,697,5,True,True
8,14,1,1509,7,9,0,5,1,1053,21,True,True
8,14,2,1396,7,9,0,5,2,1053,17,True,True
8,14,3,1229,7,9,0,5,3,1053,13,True,True
8,14,4,1008,7,9,1,5,3,788,13,True,True
8,14,5,733,7,9,1,5,4,788,9,True,True
8,14,6,404,7,9,1,5,5,788,5,True,True
8,14,7,21,7,9,2,5,5,469,5,True,True
8,15,1,985,7,10,0,5,1,900,21,True,True
8,15,2,1016,7,10,0,5,2,900,17,True,True
8,15,3,993,7,10,0,5,3,900,13,True,True
8,15,4,916,7,10,1,5,3,761,13,True,True
8,15,5,785,7,10,1,5,4,761,9,True,True
8,15,6,600,7,10,1,5,5,761,5,True,True
8,15,7,361,7,10,2,5,5,568,5,True,True
8,15,8,68,7,10,2,5,6,568,1,True,True
8,16,1,229,7,10,0,6,1,900,32,True,True
8,16,2,404,7,10,0,6,2,900,28,True,True
8,16,3,525,7,10,0,6,3,900,24,True,True
8,16,4,592,7,10,1,6,3,761,24,True,True
8,16,5,605,7,10,1,6,4,761,20,True,True
8,16,6,564,7,10,1,6,5,761,16,True,True
8,16,7,469,7,10,2,6,5,568,16,True,True
8,16,8,320,7,10,2,6,6,568,12,True,True
8,16,9,117,7,10,3,6,6,321,12,True,True
8,17,4,12,7,11,1,6,3,592,24,True,True
8,17,5,169,7,11,1,6,4,592,20,True,True
8,17,6,272,7,11,1,6,5,592,16,True,True
8,17,7,321,7,11,2,6,5,525,16,True,True
8,17,8,316,7,11,2,6,6,525,12,True,True
8,17,9,257,7,11,3,6,6,404,12,True,True
8,17,10,144,7,11,4,6,6,229,12,True,True
8,18,8,32,7,12,2,6,6,316,12,True,True
8,18,9,117,7,12,3,6,6,321,12,True,True
8,18,10,148,7,12,4,6,6,272,12,True,True
8,18,11,125,7,12,4,6,7,272,8,True,True
8,18,12,48,7,12,4,6,8,272,4,True,True
8,19,12,36,7,13,4,6,8,125,4,True,True
8,19,13,49,7,13,5,6,8,148,4,True,True
8,19,14,8,7,13,5,6,9,148,0,True,True
8,20,15,5,7,14,6,6,9,8,0,True,True
8,20,16,0,7,14,7,6,9,49,0,True,True
8,21,18,0,7,15,8,6,10,-59,-4,False,False
