alpha,q,variance,beta_1,beta_1_over_variance,beta_2,beta_2_over_variance,beta_3,beta_3_over_variance,beta_4,beta_4_over_variance,beta_5,beta_5_over_variance
0.25,0.5,0.2222222222222222,0.2222222222222222,1.0,0.21587301587301588,0.9714285714285715,0.2351922587216705,1.0583651642475174,0.22798018507900555,1.025910832855525,0.2463147274935512,1.1084162737209806
0.25,0.75,0.09523809523809523,0.09523809523809523,1.0,0.14476190476190476,1.52,0.17040609461662093,1.7892639934745198,0.18670234821701664,1.9603746562786748,0.19835668019854336,2.0827451420847054
0.25,0.95,0.01709401709401711,0.01709401709401711,1.0,0.032686250820285014,1.9121456729866715,0.046890662911357114,2.7431037803143887,0.05981968042593767,3.49945130491735,0.07158304246680453,4.187607984308061
0.5,0.05,0.45238095238095233,0.4523809523809524,1.0000000000000002,0.22957487234295215,0.5074812967581048,0.2361445091469046,0.5220036517984208,0.2448351128906032,0.541214460073965,0.253017690388556,0.5593022629641764
0.5,0.25,0.3,0.3,1.0,0.20294117647058824,0.6764705882352942,0.25644726117871897,0.8548242039290632,0.24157568973121957,0.8052522991040653,0.22765564414451336,0.7588521471483779
0.5,0.5,0.16666666666666666,0.16666666666666666,1.0,0.18333333333333332,1.1,0.20844155844155843,1.2506493506493506,0.20960865229694256,1.2576519137816555,0.22552076518009354,1.3531245910805614
0.5,0.75,0.07142857142857142,0.07142857142857142,1.0,0.11285714285714285,1.58,0.13844082363069704,1.9381715308297587,0.15650571928596296,2.1910800700034816,0.1698813341752185,2.3783386784530594
0.5,0.95,0.012820512820512832,0.012820512820512832,1.0,0.02465548030594025,1.9231274638633378,0.03558056987128637,2.7752844499603344,0.045669125245510846,3.562191769149843,0.05499146123970305,4.289333976696834
1.0,0.05,0.3015873015873015,0.30158730158730157,1.0000000000000002,0.2430748525511618,0.805985037406484,0.23724676866054673,0.7866603381902341,0.23805643887251046,0.789345034156219,0.24091958259105786,0.7988386159598236
1.0,0.25,0.2,0.2,1.0,0.18823529411764706,0.9411764705882353,0.21270662110998245,1.0635331055499122,0.2236303884790548,1.118151942395274,0.223115897098344,1.11557948549172
1.0,0.5,0.1111111111111111,0.1111111111111111,1.0,0.14222222222222222,1.28,0.16843537414965987,1.515918367346939,0.1799819550868274,1.6198375957814468,0.19294552328788186,1.736509709590937
1.0,0.75,0.047619047619047616,0.047619047619047616,1.0,0.07923809523809523,1.664,0.10192447053985515,2.140413881336958,0.11935460810837445,2.5064467702758635,0.13316451022262615,2.7964547146751495
1.0,0.95,0.008547008547008555,0.008547008547008555,1.0,0.01656839291530489,1.9385019710906701,0.024103233913406467,2.820078367868554,0.03118854893717635,3.6490602256496296,0.037859098218009916,4.429514491507156
2.0,0.05,0.18095238095238095,0.18095238095238095,1.0,0.20757629735185845,1.14713216957606,0.2173433796951202,1.2011081509467167,0.2227273193468974,1.2308615016539068,0.22656275139742454,1.2520573103541883
2.0,0.25,0.12,0.12,1.0,0.1492436974789916,1.2436974789915967,0.16991282167752755,1.415940180646063,0.18546735627999184,1.5455613023332653,0.1956376063744049,1.630313386453374
2.0,0.5,0.06666666666666667,0.06666666666666667,1.0,0.09904761904761905,1.4857142857142858,0.12293040293040293,1.843956043956044,0.1394499211788702,2.091748817683053,0.15254507137806272,2.288176070670941
2.0,0.75,0.02857142857142857,0.02857142857142857,1.0,0.05028571428571429,1.7600000000000002,0.0677026037026037,2.3695911295911296,0.08213682535673451,2.874788887485708,0.09435941206023796,3.3025794221083284
2.0,0.95,0.0051282051282051325,0.0051282051282051325,1.0,0.010031142751247885,1.956072836493336,0.01472352146894794,2.871086686444846,0.01921903432558984,3.7477116934900154,0.023530382311059167,4.5884245506565335
5.0,0.05,0.08225108225108224,0.08225108225108226,1.0000000000000002,0.12672946338781751,1.540763475925571,0.15361237579535786,1.867603095196193,0.17120692385643674,2.0815157584650996,0.18344636866007188,2.230321640025085
5.0,0.25,0.05454545454545454,0.05454545454545454,1.0,0.08687782805429864,1.5927601809954752,0.10901718602253362,1.9986484104131164,0.12566668056113994,2.303889143620899,0.13887336749497406,2.546011737407858
5.0,0.5,0.030303030303030304,0.030303030303030304,1.0,0.052214452214452214,1.723076923076923,0.06961609818752676,2.297331240188383,0.08394701224939463,2.770251404230023,0.09602735124397623,3.168902591051215
5.0,0.75,0.012987012987012988,0.012987012987012988,1.0,0.024295704295704296,1.8707692307692307,0.034332722753775385,2.6436196520407047,0.04335246436043334,3.3381397557533674,0.051534065365485465,3.9681230331423807
5.0,0.95,0.002331002331002333,0.002331002331002333,1.0,0.004606869258643244,1.97634691195795,0.006830040281657344,2.930087280830998,0.009002796811843012,3.8621998322806483,0.011127274171360663,4.77360061951372
