m,family,n,cells
6,282600276254720,9,20
6,282600276496384,8,17
6,282600276516864,9,21
6,282600277032960,7,16
6,282600277282816,8,17
6,282600277303296,9,21
6,282600292761600,7,16
6,282600293011456,8,17
6,282600293012512,10,21
6,282600293031936,9,21
6,282600359858176,8,18
6,282600359858240,9,20
6,282600359858304,9,21
6,282600359862336,9,21
6,282600393412608,7,16
6,282600528946176,9,21
6,282600528953856,9,21
6,282600560132160,7,16
6,282600560402496,9,21
6,282600560410656,9,21
6,282600564342784,8,20
6,282600564359168,8,21
6,282600595800064,8,20
6,282600627241056,9,21
6,282600662908928,8,21
6,282608866967552,6,15
6,282608882696192,6,15
6,282609150066752,6,15
6,282643226705928,7,16
6,282643476382848,7,16
6,282643476398088,7,16
6,282644818427912,6,16
6,282651799066624,8,17
6,282651799069696,8,17
6,282651799077376,8,17
6,282651815591944,8,17
6,282651815707712,9,18
6,282651815711808,10,20
6,282651815711816,11,22
6,282651815838272,9,18
6,282651815841800,9,18
6,282651815842944,10,21
6,282651815843840,9,19
6,282651815843968,10,22
6,282651815846912,9,19
6,282651815846976,10,21
6,282651815847040,10,22
6,282651815862272,9,20
6,282651815862280,10,22
6,282651815870464,8,18
6,282651816109120,10,22
6,282651816116224,8,18
6,282651816895552,10,22
6,282651816902656,8,18
6,282651819270144,9,22
6,282651820819456,8,18
6,282651832620032,9,19
6,282651869208576,9,22
6,282652066317376,8,17
6,282652066480128,7,17
6,282652066587712,10,22
6,282652066594816,8,18
6,282652066725888,7,17
6,282652068545536,8,18
6,282652068562944,9,22
6,282652070511616,8,18
6,282652070529024,9,22
6,282652100018176,8,19
6,282652103950344,9,22
6,282652137521152,8,21
6,282652141715456,8,22
6,282652166848576,8,19
6,282652334899200,7,17
6,282652405940224,8,21
6,282652405956608,8,22
6,282660388082240,9,18
6,282660388102144,8,18
6,282660389266432,8,18
6,282660389274112,8,18
6,282660392026624,8,18
6,282660405772928,9,19
6,282660405782656,10,23
6,282660405789216,10,21
6,282660405789224,11,23
6,282660405789312,10,22
6,282660406035008,9,19
6,282660406043648,9,20
6,282660406043712,10,22
6,282660406043776,10,23
6,282660406051328,9,20
6,282660406051456,10,23
6,282660406059008,9,21
6,282660408788000,9,19
6,282660408803840,9,20
6,282660408803968,10,23
6,282660408805408,10,23
6,282660408811520,9,21
6,282660408819712,8,19
6,282660409188352,8,19
6,282660409204736,9,22
6,282660425981952,9,23
6,282660455979008,9,20
6,282660455989760,9,20
6,282660459126784,8,19
6,282660459135520,10,23
6,282660459143168,9,22
6,282660461085184,8,19
6,282660489400328,9,20
6,282660656537600,9,21
6,282660658496000,9,21
6,282660660462080,9,21
6,282660723360320,9,20
6,282660723392512,8,20
6,282660723761152,8,20
6,282660756783232,8,20
6,282661461590016,7,18
6,282661461958656,7,18
6,282661503401984,8,23
6,282668977766400,7,15
6,282668978016256,8,16
6,282668978016832,10,20
6,282668978036736,9,20
6,282668978803712,9,18
6,282668978935808,9,19
6,282668978946560,9,19
6,282668979065856,10,20
6,282668979066368,11,22
6,282668979066432,12,24
6,282668979066496,12,25
6,282668979066880,10,21
6,282668979087360,11,25
6,282668979201024,9,20
6,282668994543616,8,17
6,282668994793472,9,18
6,282668994794048,11,22
6,282668994813952,10,22
6,282668995448840,9,18
6,282668995477504,8,18
6,282668995580928,10,20
6,282668995580992,11,22
6,282668995581056,11,23
6,282668995585088,11,23
6,282668995592192,9,19
6,282668995707456,10,20
6,282668995712128,11,23
6,282668995713024,10,21
6,282668995713152,11,24
6,282668995723776,10,21
6,282668995723904,11,24
6,282668995731456,10,22
6,282668995739648,9,20
6,282668995837952,9,18
6,282668995838528,11,22
6,282668995839584,13,26
6,282668995842048,10,20
6,282668995842624,12,24
6,282668995843072,11,22
6,282668995843136,12,24
6,282668995843200,12,25
6,282668995843584,12,24
6,282668995843648,13,26
6,282668995843680,14,28
6,282668995843688,15,30
6,282668995843712,13,27
6,282668995844096,11,23
6,282668995844224,12,26
6,282668995854336,10,21
6,282668995862528,11,24
6,282668995864576,12,27
6,282668995864704,13,30
6,282668995870720,10,22
6,282668995969024,8,17
6,282668995969600,10,21
6,282668995973120,9,19
6,282668995975168,10,22
6,282668995975296,11,25
6,282668995978240,10,22
6,282668995978304,11,24
6,282668995978368,11,25
6,282668995985408,9,20
6,282668995993600,10,23
6,282668996001792,9,21
6,282668996509696,8,18
6,282668996759552,9,19
6,282668996780032,10,23
6,282668997033984,9,21
6,282668998623232,8,19
6,282668998737920,9,20
6,282668999118848,9,20
6,282668999139328,10,24
6,282669001217024,11,25
6,282669001218048,11,26
6,282669001238528,12,30
6,282669002784768,7,16
6,282669002817536,8,20
6,282669011439616,8,17
6,282669012489216,10,21
6,282669012490240,10,22
6,282669015367680,7,16
6,282669015384064,8,19
6,282669015400448,8,20
6,282669015896064,9,21
6,282669015916544,10,25
6,282669017994240,11,26
6,282669049057280,9,20
6,282669049077760,10,24
6,282669079330816,8,18
6,282669079334912,9,20
6,282669079334920,10,22
6,282669079347200,9,21
6,282669079363584,9,22
6,282669079859200,10,23
6,282669079879680,11,27
6,282669080395776,9,22
6,282669084573696,9,22
6,282669084577792,10,24
6,282669084577800,11,26
6,282669084590080,10,25
6,282669084598272,11,28
6,282669084606464,10,26
6,282669246201856,8,18
6,282669246472192,10,23
6,282669248422912,10,23
6,282669248430592,10,23
6,282669281977408,12,28
6,282669281984512,10,24
6,282669283803136,8,19
6,282669283819520,9,22
6,282669283835904,9,23
6,282669284352000,11,28
6,282669285901312,10,24
6,282669313310720,9,21
6,282669317390336,9,23
6,282669317488640,9,21
6,282669317505024,10,24
6,282669317505536,11,26
6,282669317505664,12,29
6,282669317513216,11,27
6,282669317521408,10,25
6,282669317890048,10,25
6,282669317906432,11,28
6,282669321551872,8,20
6,282669321584640,9,24
6,282669346717696,8,19
6,282669346717760,9,21
6,282669346717824,9,22
6,282669347250240,11,27
6,282669348831232,10,25
6,282669350912000,9,22
6,282669350928384,10,25
6,282669350944768,10,26
6,282669355106304,9,23
6,282669355139072,10,27
6,282669380272128,7,17
6,282669388660736,8,21
6,282669388693504,9,25
6,282670588231680,7,18
6,282670722449408,8,22
6,282670730838016,9,26
6,282670730870784,10,30
6,282671125102592,6,15
6,282677567700992,6,14
6,282677567950848,7,15
6,282677567951424,9,19
6,282677567971328,8,19
6,282677568734208,7,15
6,282677568738304,8,17
6,282677568751616,8,19
6,282677568873472,8,18
6,282677568881152,8,18
6,282677569135616,8,19
6,282677569922048,8,19
6,282677569929728,8,19
6,282677584478208,7,16
6,282677585904192,9,20
6,282677585912832,9,21
6,282677585912896,10,23
6,282677585912960,10,24
6,282677585928192,9,22
6,282677586444288,7,17
6,282677586690048,7,16
6,282677586690624,9,20
6,282677586694144,8,18
6,282677586700352,10,24
6,282677586706432,8,19
6,282677586706944,9,21
6,282677586707072,10,24
6,282677586714624,9,22
6,282677586722816,8,20
6,282677586968576,8,20
6,282677588672512,8,19
6,282677589073920,9,23
6,282677590623232,8,19
6,282677590624256,8,20
6,282677601374208,7,16
6,282677602423808,9,20
6,282677602424832,9,21
6,282677602427904,9,21
6,282677603476544,10,24
6,282677603483648,8,20
6,282677605302272,6,15
6,282677605318656,7,18
6,282677605335040,7,19
6,282677605830656,8,20
6,282677605851136,9,24
6,282677607400448,8,20
6,282677638991872,8,19
6,282677639012352,9,23
6,282677669265408,7,17
6,282677669269504,8,19
6,282677669281792,8,20
6,282677669298176,8,21
6,282677670330368,8,21
6,282677836121088,7,16
6,282677836121152,8,18
6,282677836121216,8,19
6,282677836136448,7,17
6,282677836382208,7,16
6,282677836382784,9,20
6,282677836383840,11,24
6,282677836391424,9,21
6,282677836391488,10,23
6,282677836391552,10,24
6,282677836398592,8,19
6,282677836406784,9,22
6,282677836414976,8,20
6,282677838349312,8,19
6,282677838350336,8,20
6,282677838357504,9,22
6,282677838365184,9,22
6,282677838366720,9,23
6,282677838611456,8,20
6,282677838628864,9,24
6,282677840315392,8,19
6,282677840332800,9,23
6,282677869805568,7,17
6,282677869806624,9,21
6,282677869821952,8,20
6,282677869838336,8,21
6,282677870084096,8,21
6,282677873737728,7,18
6,282677873754112,8,21
6,282677873770496,8,22
6,282677903245312,8,20
6,282677936652288,7,18
6,282677936652352,8,20
6,282677936652416,8,21
6,282678104686592,6,15
6,282678104702976,7,18
6,282678104719360,7,19
6,282678104965120,7,19
6,282678171533312,6,16
6,282678175727616,7,19
6,282678175744000,8,22
6,282678175760384,8,23
6,282678179921920,7,20
6,282678179954688,8,24
6,282679178166272,6,17
6,282679178690560,7,20
6,282679178723328,8,24
6,282679312384000,7,21
6,282711995453448,7,16
6,282712195859520,7,16
6,282712196268032,6,16
6,282712329945152,6,16
6,282729108345856,8,17
6,282729124073536,8,17
6,282729124990984,8,17
6,282729128267776,8,18
6,282729128288256,9,22
6,282729141780480,7,17
6,282729142030336,8,18
6,282729142050816,9,22
6,282729175453696,8,18
6,282729175454272,10,22
6,282729175474176,9,22
6,282729208877056,8,19
6,282729208877120,9,21
6,282729208877184,9,22
6,282729208881216,9,22
6,282729242431488,7,17
6,282729375744000,7,17
6,282729376014336,9,22
6,282729377972736,9,22
6,282729379938816,9,22
6,282729409151040,7,17
6,282729409421376,9,22
6,282729413345280,7,18
6,282729413361664,8,21
6,282729413378048,8,22
6,282729442844736,9,22
6,282729511927808,8,22
6,282746288347136,8,19
6,282746288357888,8,19
6,282746304073856,8,19
6,282746304077888,8,19
6,282746308034560,7,19
6,282746308530176,8,20
6,282746308550656,9,24
6,282746320851008,8,19
6,282746321900544,9,21
6,282746324795392,7,19
6,282746354274368,8,19
6,282746355220480,7,19
6,282746355716096,8,20
6,282746355736576,9,24
6,282746356252672,7,19
6,282746358468608,8,20
6,282746358489088,9,24
6,282746388758528,8,21
6,282746422312960,7,19
6,282746593230848,8,22
6,282746622574720,7,19
6,282746622705728,8,20
6,282746622722048,8,21
6,282746623107136,9,24
6,282746624688128,8,22
6,282746626801664,8,23
6,282746630963200,7,20
6,282746630995968,8,24
6,282746656129088,8,21
6,282746689683520,7,19
6,282746693877760,7,20
6,282746693894144,8,23
6,282746693910528,8,24
6,282746962329600,8,24
6,282849434411016,7,17
6,282849701789736,7,17
6,282850440519680,6,17
6,282850574204960,6,17
6,282857957496832,8,18
6,282857957507584,8,18
6,282857973223552,8,18
6,282857973235744,8,18
6,282857977679872,8,19
6,282857977700352,9,23
6,282857991050240,9,20
6,282858024341512,8,18
6,282858024370176,7,18
6,282858024484864,8,19
6,282858024865792,8,19
6,282858024886272,9,23
6,282858025402368,7,18
6,282858027618304,8,19
6,282858027638784,9,23
6,282858057908224,8,20
6,282858057908352,9,23
6,282858061053984,9,23
6,282858091462656,7,18
6,282858291724416,7,18
6,282858291871744,8,20
6,282858291871872,9,23
6,282858292264992,9,23
6,282858293837824,8,21
6,282858295951360,8,22
6,282858300112896,7,19
6,282858300145664,8,23
6,282858363027456,7,19
6,282858363043840,8,22
6,282858363060224,8,23
6,282858631479296,8,23
6,282883727168512,8,18
6,282883743027232,8,18
6,282883744874496,7,18
6,282883760603136,7,18
6,282883794149376,7,18
6,282883827699712,8,20
6,282883827699840,9,23
6,282883827712032,9,23
6,282883994566656,7,18
6,282883994689536,7,18
6,282883998761472,9,23
6,282884028252192,9,23
6,282884032167936,7,19
6,282884032184320,8,22
6,282884032200704,8,23
6,282884061528096,7,18
6,282884061675552,9,23
6,282884063625216,7,19
6,282884063641600,8,22
6,282884063657984,8,23
6,282884130750464,8,23
6,282885336596480,6,18
6,282986822504448,7,17
6,282986839019520,7,17
6,282986906910720,7,18
6,282986906914816,8,20
6,282986906914824,9,22
6,282986906927104,8,21
6,282986906943488,8,22
6,282986907975680,8,22
6,282987073766400,7,17
6,282987074036736,9,22
6,282987107450880,7,18
6,282987107467264,8,21
6,282987107483648,8,22
6,282987107729408,8,22
6,282987140890624,8,21
6,282987174297600,7,19
6,282987174297728,8,22
6,282987207852032,6,17
6,282988550029312,7,22
6,283021166384640,11,25
6,283021181861888,8,20
6,283021182111744,9,21
6,283021182132224,10,25
6,283021182899200,10,23
6,283021183031296,10,24
6,283021183042048,10,24
6,283021183293440,10,25
6,283021183296512,10,25
6,283021198757888,8,20
6,283021199807488,10,24
6,283021199808512,10,25
6,283021266649088,8,21
6,283021266653184,9,23
6,283021266665472,9,24
6,283021266681856,9,25
6,283021267177472,10,26
6,283021267197952,11,30
6,283021267714048,9,25
6,283021500628992,9,24
6,283021504823808,11,29
6,283021534035968,8,22
6,283021534036096,9,25
6,283021536149504,10,28
6,283021538230272,9,25
6,283021538246656,10,28
6,283021538263040,10,29
6,283021542424576,9,26
6,283021542457344,10,30
6,283021567590400,7,20
6,283022909767680,8,25
6,283124277972992,6,15
6,283124380483584,6,18
6,283691249045504,6,15
6,283691515379744,6,15
6,283759916236800,7,16
6,283759916617728,7,16
6,283759934444544,9,21
6,283759966556160,7,16
6,283759967606784,9,21
6,283760001028104,9,21
6,283760002088960,8,21
6,283760008368128,8,21
6,283760234987520,7,17
6,283760235003904,8,20
6,283760235020288,8,21
6,283760235388928,8,21
6,283760268411008,8,21
6,283777180909568,8,21
6,283777184043008,8,21
6,283777381449728,8,21
6,283777385366528,8,21
6,283777414873088,8,21
6,283777448280128,8,21
6,283828924989440,8,22
6,283828958535680,8,22
6,283846142607360,8,24
6,283948947083264,6,16
6,283948947083272,7,18
6,283948947095552,6,17
6,283948947111936,6,18
6,283948953374720,6,17
6,283948953378816,6,18
6,283949020483584,6,18
6,283949148406784,6,16
6,283949213417600,6,17
6,283983238796288,8,19
6,283983255438368,8,19
6,283983255470080,7,19
6,283983256502272,7,19
6,283983258591232,7,19
6,283983262781440,7,19
6,283983275364352,7,19
6,283983306821632,7,19
6,283983339327488,8,21
6,283983506194432,7,19
6,283983508145152,7,19
6,283983543795712,7,20
6,283983543796768,9,24
6,283983543812096,8,23
6,283983543828480,8,24
6,283983548006400,8,24
6,283983575252992,7,20
6,283983575269376,8,23
6,283983575285760,8,24
6,283983577358336,8,23
6,283983581552640,8,24
6,283984848224256,6,19
6,284086421688320,8,22
6,284086619095040,8,22
6,284086623011840,8,22
6,284086652518400,8,22
6,284120694659072,10,25
6,284120694920192,10,25
6,284120697672704,10,25
6,284120711435264,10,25
6,284120778293248,9,25
6,284120781426688,9,25
6,284121012256768,9,25
6,284121049858048,9,26
6,284121049874432,10,29
6,284121049890816,10,30
6,284121054068736,10,30
6,284223894196224,6,18
6,285950437494784,8,20
6,285950634901504,8,20
6,285950672372224,8,20
6,285950701731904,8,20
6,285976204152832,8,20
6,286148177953280,6,17
6,286148975009792,6,17
6,286148976968192,6,17
6,286156492378624,8,18
6,286156508893192,8,18
6,286156508921856,7,18
6,286156509954048,7,18
6,286156512043008,7,18
6,286156516233216,7,18
6,286156528816128,7,18
6,286156564468224,9,23
6,286156592779264,8,20
6,286156759646208,7,18
6,286156759769088,7,18
6,286156763693568,7,18
6,286156763841024,9,23
6,286156797247488,7,19
6,286156797263872,8,22
6,286156797280256,8,23
6,286156801458176,8,23
6,286156830802464,9,23
6,286156830810112,8,22
6,286156835004416,8,23
6,286158101676032,6,18
6,286182567059456,8,23
6,286285357006848,7,18
6,286285357387776,7,18
6,286285357910016,7,18
6,286285361054208,7,18
6,286285373902848,7,18
6,286285407326208,7,18
6,286285408240128,7,18
6,286285444943872,8,22
6,286285444947968,8,23
6,286285449138176,8,23
6,286285608780288,7,18
6,286285646268416,8,23
6,286285677725696,8,23
6,286285679821312,8,22
6,286285684015616,8,23
6,286285709180928,7,20
6,286285742735360,6,18
6,286286447378432,6,18
6,286287084912640,7,23
6,286319717913088,10,24
6,286319801536512,9,24
6,286320071032832,10,29
6,286320073121792,10,29
6,288140766351360,7,16
6,288140782862400,7,16
6,288140783779848,7,16
6,288140791119872,6,16
6,288140867666048,8,21
6,288140868714560,8,21
6,288141034913792,6,16
6,288141068206208,8,21
6,288141068468288,8,21
6,288141072138248,8,21
6,288141101629504,8,20
6,288141109886976,7,20
6,288141176995840,7,21
6,288141378322432,7,21
6,288142377091072,7,21
6,288175143665664,9,22
6,288175144046592,9,22
6,288175144833024,9,22
6,288175160561664,9,22
6,288175232651264,10,27
6,288175430057984,10,27
6,288175431876608,8,22
6,288175496888384,10,27
6,288209829363712,7,21
6,288209892278272,7,21
6,288210093604864,7,21
6,288347262025728,7,20
6,288484363735040,8,20
6,288484364785664,10,25
6,288484380512256,9,22
6,288484381310976,9,23
6,288484381429768,10,24
6,288484381458432,9,24
6,288484381687808,8,21
6,288484381691904,9,23
6,288484381704192,9,24
6,288484381720576,9,25
6,288484382474240,8,21
6,288484382478336,9,23
6,288484382478344,10,25
6,288484382490624,9,24
6,288484382507008,9,25
6,288484382752768,9,25
6,288484384456704,9,24
6,288484384837632,9,24
6,288484386408448,9,25
6,288484388503552,7,20
6,288484401086464,7,20
6,288484401614848,9,25
6,288484434776064,9,24
6,288484465049600,8,22
6,288484470292480,9,26
6,288484470296576,10,28
6,288484470296584,11,30
6,288484470308864,10,29
6,288484470325248,10,30
6,288484632182784,9,24
6,288484632297472,7,20
6,288484665589760,8,22
6,288484667703296,10,28
6,288484669521920,8,23
6,288484670046208,9,26
6,288484670062592,10,29
6,288484670078976,10,30
6,288484703207424,9,25
6,288484703223808,10,28
6,288484703240192,10,29
6,288484703608832,10,29
6,288484705175552,10,29
6,288484707270656,8,24
6,288484736630784,9,26
6,288484740825088,9,27
6,288484774379520,8,25
6,288484971511808,8,24
6,288484975706112,8,25
6,288486116556800,9,30
6,288518741049344,10,26
6,288518741299200,11,27
6,288518741319680,12,31
6,288518741430272,10,26
6,288518742216704,10,26
6,288518830034944,11,31
6,288519027441664,11,31
6,288519029260288,9,26
6,288519098466304,11,32
6,288519098482688,12,35
6,288519098499072,12,36
6,288621803487232,7,19
6,288621803868160,7,19
6,288621804654592,7,19
6,288621942804480,8,24
6,288622079115264,6,19
6,288622343356416,6,19
6,288623421292544,7,24
6,290683755692032,7,21
6,299076021257280,7,16
6,299076021387840,7,16
6,299076025321472,6,16
6,299076029514752,6,16
6,299076293755904,6,16
6,299092950385216,8,17
6,299092950417408,7,17
6,299092951449600,7,17
6,299093203092480,7,17
6,299093203362816,9,22
6,299093203370496,9,22
6,299093207287296,9,22
6,299093236646976,9,22
6,299093238743040,7,18
6,299093238744096,9,22
6,299093238759424,8,21
6,299093238775808,8,22
6,299093242953728,8,22
6,299093272305664,8,21
6,299101793027072,6,16
6,299204937252872,6,16
6,299221798502400,7,17
6,299221799405568,7,17
6,299221802549760,7,17
6,299221816181760,7,17
6,299221849735680,7,17
6,299222050145280,7,17
6,299222050275840,7,17
6,299222052374016,9,22
6,299222054340096,9,22
6,299222083829760,7,18
6,299222083846144,8,21
6,299222083862528,8,22
6,299222084108288,8,22
6,299222087762944,8,21
6,299222087763968,8,22
6,299222091957248,8,22
6,299222117253120,7,18
6,299222117253696,9,22
6,299222117269504,8,21
6,299222117285888,8,22
6,299222117654528,8,22
6,299222119221248,8,22
6,299222121316864,8,21
6,299222125511168,8,22
6,299222150676480,7,19
6,299222150676544,8,21
6,299222150676608,8,22
6,299222184230912,6,17
6,299222888873984,6,17
6,299223526408192,7,22
6,299239267632128,8,22
6,299239301186048,8,22
6,299239330545728,8,22
6,299350936781824,8,21
6,299350966288384,8,21
6,299350970335744,8,21
6,299479848714240,7,20
6,299479848714248,8,22
6,299514208452608,8,23
6,301283703521280,7,19
6,301403964702728,8,22
6,301420822791232,10,23
6,301420822953984,9,23
6,301420823199744,9,23
6,301420823986176,9,23
6,301420825952256,9,23
