m,a,b,N,D_N
2,2,3,5,153657
2,2,3,6,1218364
2,2,3,7,9407668
2,2,3,8,71232069
2,2,3,9,531282527
2,2,3,10,3915507482
2,2,3,11,28578349326
2,2,3,12,206916861991
2,2,3,13,1488044339845
2,2,3,14,10639652951160
2,2,3,15,75695993182568
2,2,3,16,536202468042377
2,2,3,17,3783746481147051
2,2,3,18,26609752448123734
2,2,3,19,186570607666235842
2,2,3,20,1304557115287370091
2,2,3,21,9099444903523488977
2,2,3,22,63328212558451414964
2,2,3,23,439840924226712733212
2,2,3,24,3049192297603493139661
2,2,3,25,21102328546297047258871
2,2,3,26,145810996208678387660178
2,2,3,27,1006041574535035608056438
2,2,3,28,6931914238009833801733295
2,2,3,29,47702713538084047962201885
2,2,3,30,327885745132680573812752624
2,1,2,0,1
2,1,2,1,12
2,1,2,2,87
2,1,2,3,514
2,1,2,4,2733
2,1,2,5,13656
2,1,2,6,65539
2,1,2,7,305838
2,1,2,8,1398105
2,1,2,9,6291460
2,1,2,10,27962031
2,1,2,11,123032922
2,1,2,12,536870917
2,1,2,13,2326440624
2,1,2,14,10021590363
2,1,2,15,42949672966
2,1,2,16,183251937969
2,1,2,17,778820736348
2,1,2,18,3298534883335
2,1,2,19,13927147285170
2,1,2,20,58640620148061
2,1,2,21,246290604621832
2,1,2,22,1032074914605747
2,1,2,23,4315949642896734
2,1,2,24,18014398509481993
2,1,2,25,75059993789508276
2,1,2,26,312249574164354399
2,1,2,27,1297036692682702858
2,1,2,28,5380300354831952565
2,1,2,29,22289815755732374880
2,1,2,30,92233720368547758091
2,0,1,0,1
2,0,1,1,5
2,0,1,2,14
2,0,1,3,30
2,0,1,4,55
2,0,1,5,91
2,0,1,6,140
2,0,1,7,204
2,0,1,8,285
2,0,1,9,385
2,0,1,10,506
2,0,1,11,650
2,0,1,12,819
2,0,1,13,1015
2,0,1,14,1240
2,0,1,15,1496
2,0,1,16,1785
2,0,1,17,2109
2,0,1,18,2470
2,0,1,19,2870
2,0,1,20,3311
2,0,1,21,3795
2,0,1,22,4324
2,0,1,23,4900
2,0,1,24,5525
2,0,1,25,6201
2,0,1,26,6930
2,0,1,27,7714
2,0,1,28,8555
2,0,1,29,9455
2,0,1,30,10416
2,-4,1,0,1
2,-4,1,1,-3
2,-4,1,2,6
2,-4,1,3,-10
2,-4,1,4,15
2,-4,1,5,-21
2,-4,1,6,28
2,-4,1,7,-36
2,-4,1,8,45
2,-4,1,9,-55
2,-4,1,10,66
2,-4,1,11,-78
2,-4,1,12,91
2,-4,1,13,-105
2,-4,1,14,120
2,-4,1,15,-136
2,-4,1,16,153
2,-4,1,17,-171
2,-4,1,18,190
2,-4,1,19,-210
2,-4,1,20,231
2,-4,1,21,-253
2,-4,1,22,276
2,-4,1,23,-300
2,-4,1,24,325
2,-4,1,25,-351
2,-4,1,26,378
2,-4,1,27,-406
2,-4,1,28,435
2,-4,1,29,-465
2,-4,1,30,496
3,1,1,0,1
3,1,1,1,19
3,1,1,2,170
3,1,1,3,1075
3,1,1,4,5580
3,1,1,5,25529
3,1,1,6,107036
3,1,1,7,421035
3,1,1,8,1577575
3,1,1,9,5689090
3,1,1,10,19892016
3,1,1,11,67804334
3,1,1,12,226238635
3,1,1,13,741299675
3,1,1,14,2391311240
3,1,1,15,7609864989
3,1,1,16,23929725996
3,1,1,17,74458651695
3,1,1,18,229513651550
3,1,1,19,701519387555
3,1,1,20,2127983999581
3,1,1,21,6410675068724
3,1,1,22,19191707409600
3,1,1,23,57125661167500
3,1,1,24,169145808343525
3,1,1,25,498406857616899
3,1,1,26,1462040527646006
3,1,1,27,4271002065380855
3,1,1,28,12428605346136300
3,1,1,29,36037240974874645
3,1,1,30,104140622985971696
3,2,3,0,1
3,2,3,1,52
3,2,3,2,1244
3,2,3,3,20700
3,2,3,4,279769
3,2,3,5,3309656
3,2,3,6,35714672
3,2,3,7,360432552
3,2,3,8,3457124025
3,2,3,9,31862886572
3,2,3,10,284391882044
3,2,3,11,2472267538468
3,2,3,12,21023088198945
3,2,3,13,175457426706800
3,2,3,14,1441008409424320
3,2,3,15,11670789667610128
3,2,3,16,93373179265093521
3,2,3,17,739010697047192292
3,2,3,18,5792985808931429500
3,2,3,19,45020787498238846252
3,2,3,20,347179075409535534473
3,2,3,21,2658534073278617843016
3,2,3,22,20228071494730626217456
3,2,3,23,153013578783987056627000
3,2,3,24,1151273863576411600541321
3,2,3,25,8619566240972204988311772
3,2,3,26,64241250665474312796415644
3,2,3,27,476771196923554639065554420
3,2,3,28,3524549449286001575507870225
3,2,3,29,25960408509539427333495025120
3,2,3,30,190563133490896318737069475584
3,1,2,0,1
3,1,2,1,33
3,1,2,2,494
3,1,2,3,5090
3,1,2,4,42279
3,1,2,5,305767
3,1,2,6,2009676
3,1,2,7,12320640
3,1,2,8,71652525
3,1,2,9,399856765
3,1,2,10,2158668186
3,1,2,11,11341397678
3,1,2,12,58250493539
3,1,2,13,293489431395
3,1,2,14,1454562256984
3,1,2,15,7106739218412
3,1,2,16,34291018890441
3,1,2,17,163643980599705
3,1,2,18,773323178201350
3,1,2,19,3622524309644730
3,1,2,20,16835722044504671
3,1,2,21,77687093572139423
3,1,2,22,356159670531214884
3,1,2,23,1623172365698114200
3,1,2,24,7357380591247597989
3,1,2,25,33182522054465811957
3,1,2,26,148967066074409683506
3,1,2,27,665908245702504696070
3,1,2,28,2964929802680608136475
3,1,2,29,13152528524554910298395
3,1,2,30,58144137320332506689456
3,0,1,0,1
3,0,1,1,14
3,0,1,2,84
3,0,1,3,330
3,0,1,4,1001
3,0,1,5,2548
3,0,1,6,5712
3,0,1,7,11628
3,0,1,8,21945
3,0,1,9,38962
3,0,1,10,65780
3,0,1,11,106470
3,0,1,12,166257
3,0,1,13,251720
3,0,1,14,371008
3,0,1,15,534072
3,0,1,16,752913
3,0,1,17,1041846
3,0,1,18,1417780
3,0,1,19,1900514
3,0,1,20,2513049
3,0,1,21,3281916
3,0,1,22,4237520
3,0,1,23,5414500
3,0,1,24,6852105
3,0,1,25,8594586
3,0,1,26,10691604
3,0,1,27,13198654
3,0,1,28,16177505
3,0,1,29,19696656
3,0,1,30,23831808
3,-4,1,0,1
3,-4,1,1,-6
3,-4,1,2,20
3,-4,1,3,-50
3,-4,1,4,105
3,-4,1,5,-196
3,-4,1,6,336
3,-4,1,7,-540
3,-4,1,8,825
3,-4,1,9,-1210
3,-4,1,10,1716
3,-4,1,11,-2366
3,-4,1,12,3185
3,-4,1,13,-4200
3,-4,1,14,5440
3,-4,1,15,-6936
3,-4,1,16,8721
3,-4,1,17,-10830
3,-4,1,18,13300
3,-4,1,19,-16170
3,-4,1,20,19481
3,-4,1,21,-23276
3,-4,1,22,27600
3,-4,1,23,-32500
3,-4,1,24,38025
3,-4,1,25,-44226
3,-4,1,26,51156
3,-4,1,27,-58870
3,-4,1,28,67425
3,-4,1,29,-76880
3,-4,1,30,87296
4,1,1,0,1
4,1,1,1,56
4,1,1,2,1140
4,1,1,3,13915
4,1,1,4,124579
4,1,1,5,906472
4,1,1,6,5687928
4,1,1,7,31945365
4,1,1,8,164627540
4,1,1,9,792103532
4,1,1,10,3603486380
4,1,1,11,15646742748
4,1,1,12,65317705285
