kind,r,n,k,value
subset,3,1,1,1
subset,3,2,0,0
subset,3,2,1,1
subset,3,2,2,10
subset,3,3,0,0
subset,3,3,1,1
subset,3,3,2,35
subset,3,3,3,280
subset,3,4,0,0
subset,3,4,1,1
subset,3,4,2,91
subset,3,4,3,2100
subset,3,4,4,15400
subset,3,5,0,0
subset,3,5,1,1
subset,3,5,2,210
subset,3,5,3,10395
subset,3,5,4,200200
subset,3,5,5,1401400
subset,3,6,0,0
subset,3,6,1,1
subset,3,6,2,456
subset,3,6,3,42735
subset,3,6,4,1611610
subset,3,6,5,28028000
subset,3,6,6,190590400
subset,3,7,0,0
subset,3,7,1,1
subset,3,7,2,957
subset,3,7,3,158301
subset,3,7,4,10335325
subset,3,7,5,333533200
subset,3,7,6,5431826400
subset,3,7,7,36212176000
subset,3,8,0,0
subset,3,8,1,1
subset,3,8,2,1969
subset,3,8,3,549549
subset,3,8,4,57962905
subset,3,8,5,3073270200
subset,3,8,6,89625135600
subset,3,8,7,1394168776000
subset,3,8,8,9161680528000
subset,3,9,0,0
subset,3,9,1,1
subset,3,9,2,4004
subset,3,9,3,1827826
subset,3,9,4,297797500
subset,3,9,5,24234675465
subset,3,9,6,1121672151600
subset,3,9,7,30462587755600
subset,3,9,8,458084026400000
subset,3,9,9,2977546171600000
subset,3,10,0,0
subset,3,10,1,1
subset,3,10,2,8086
subset,3,10,3,5903898
subset,3,10,4,1439774336
subset,3,10,5,172096749825
subset,3,10,6,11819314757250
subset,3,10,7,497021168644000
subset,3,10,8,12803448537880000
subset,3,10,9,187585408810800000
subset,3,10,10,1208883745669600000
subset,3,11,0,0
subset,3,11,1,1
subset,3,11,2,16263
subset,3,11,3,18682014
subset,3,11,4,6662393738
subset,3,11,5,1134040872965
subset,3,11,6,110670237753075
subset,3,11,7,6741279053509000
subset,3,11,8,263959468112340000
subset,3,11,9,6527972226615840000
subset,3,11,10,93688490289394000000
subset,3,11,11,599606337852121600000
subset,3,12,0,0
subset,3,12,1,1
subset,3,12,2,32631
subset,3,12,3,58257810
subset,3,12,4,29844199346
subset,3,12,5,7069307049805
subset,3,12,6,950933767378595
subset,3,12,7,80390024700485500
subset,3,12,8,4477864692680379000
subset,3,12,9,165919294093152600000
subset,3,12,10,3972391988270305600000
subset,3,12,11,56063192589173369600000
subset,3,12,12,356765771022012352000000
subset,4,0,0,1
subset,4,1,0,0
subset,4,1,1,1
subset,4,2,0,0
subset,4,2,1,1
subset,4,2,2,35
subset,4,3,0,0
subset,4,3,1,1
subset,4,3,2,126
subset,4,3,3,5775
subset,4,4,0,0
subset,4,4,1,1
subset,4,4,2,336
subset,4,4,3,45045
subset,4,4,4,2627625
subset,4,5,0,0
subset,4,5,1,1
subset,4,5,2,792
subset,4,5,3,231231
subset,4,5,4,35735700
subset,4,5,5,2546168625
subset,4,6,0,0
subset,4,6,1,1
subset,4,6,2,1749
subset,4,6,3,981981
subset,4,6,4,300179880
subset,4,6,5,53469541125
subset,4,6,6,4509264634875
subset,4,7,0,0
subset,4,7,1,1
subset,4,7,2,3718
subset,4,7,3,3741738
subset,4,7,4,2002016016
subset,4,7,5,666586946025
subset,4,7,6,135277939046250
subset,4,7,7,13189599057009375
subset,4,8,0,0
subset,4,8,1,1
subset,4,8,2,7722
subset,4,8,3,13307294
subset,4,8,4,11633808186
subset,4,8,5,6416039394765
subset,4,8,6,2344817610135000
subset,4,8,7,535497721714580625
subset,4,8,8,59287247761257140625
subset,4,9,0,0
subset,4,9,1,1
subset,4,9,2,15808
subset,4,9,3,45172842
subset,4,9,4,61705547904
subset,4,9,5,52683671271231
subset,4,9,6,30750608087199000
subset,4,9,7,12316447599435354375
subset,4,9,8,3130366681794377025000
subset,4,9,9,388035036597427985390625
subset,4,10,0,0
subset,4,10,1,1
subset,4,10,2,32071
subset,4,10,3,148417854
subset,4,10,4,306902071476
subset,4,10,5,388310385313851
subset,4,10,6,338603386991544675
subset,4,10,7,211062602030075420625
subset,4,10,8,92241471556874309670000
subset,4,10,9,25843133437388703827015625
subset,4,10,10,3546252199463894358484921875
subset,4,11,0,0
subset,4,11,1,1
subset,4,11,2,64702
subset,4,11,3,476330361
subset,4,11,4,1456171781064
subset,4,11,5,2647426690964055
subset,4,11,6,3303725144237443926
subset,4,11,7,2999460438737521258500
subset,4,11,8,2000930383002965794380000
subset,4,11,9,949304434933411720579040625
subset,4,11,10,290792680356039337395763593750
subset,4,11,11,43764298393583920278062420859375
subset,4,12,0,0
subset,4,12,1,1
subset,4,12,2,130084
subset,4,12,3,1502751363
subset,4,12,4,6668268193587
subset,4,12,5,17023180085586675
subset,4,12,6,29496047994207320526
subset,4,12,7,37382699786580370682460
subset,4,12,8,35638911635560802991922500
subset,4,12,9,25423588625413724926601045625
subset,4,12,10,13027512079950562315330209000000
subset,4,12,11,4332665540964808107528179665078125
subset,4,12,12,709638098451963267308782154234765625
subset,5,0,0,1
subset,5,1,0,0
subset,5,1,1,1
subset,5,2,0,0
subset,5,2,1,1
subset,5,2,2,126
subset,5,3,0,0
subset,5,3,1,1
subset,5,3,2,462
subset,5,3,3,126126
subset,5,4,0,0
subset,5,4,1,1
subset,5,4,2,1254
subset,5,4,3,1009008
subset,5,4,4,488864376
subset,5,5,0,0
subset,5,5,1,1
subset,5,5,2,3003
subset,5,5,3,5309304
subset,5,5,4,6844101264
subset,5,5,5,5194672859376
subset,5,6,0,0
subset,5,6,1,1
subset,5,6,2,6721
subset,5,6,3,23075052
subset,5,6,4,59152589496
subset,5,6,5,112551245286480
subset,5,6,6,123378675083039376
subset,5,7,0,0
subset,5,7,1,1
subset,5,7,2,14443
subset,5,7,3,89791416
subset,5,7,4,405404363364
subset,5,7,5,1447087439397600
subset,5,7,6,3824738927574220656
subset,5,7,7,5721809435651034101376
subset,5,8,0,0
subset,5,8,1,1
subset,5,8,2,30251
subset,5,8,3,325355316
subset,5,8,4,2416720442136
subset,5,8,5,14350283774026200
subset,5,8,6,68481039846090807936
subset,5,8,7,240315996297343432257792
subset,5,8,8,470624547891733205872277376
subset,5,9,0,0
subset,5,9,1,1
subset,5,9,2,62322
subset,5,9,3,1122632043
subset,5,9,4,13124107356360
subset,5,9,5,121233769922865600
subset,5,9,6,926922443590526999616
subset,5,9,7,5716087626215383067274624
subset,5,9,8,25727475284748081921017829888
subset,5,9,9,63887753000850674430367526069376
subset,5,10,0,0
subset,5,10,1,1
subset,5,10,2,127024
subset,5,10,3,3740893299
subset,5,10,4,66697724769390
subset,5,10,5,917879523435234360
subset,5,10,6,10522420526786822349696
subset,5,10,7,101231206170444037160561088
subset,5,10,8,784687996184816498591043811584
subset,5,10,9,4408254957058696535695359298786944
subset,5,10,10,13536281554808237495608549953475109376
subset,5,11,0,0
subset,5,11,1,1
subset,5,11,2,257108
subset,5,11,3,12151860457
subset,5,11,4,322717253897610
subset,5,11,5,6417248764481304750
subset,5,11,6,105702103939553362777536
subset,5,11,7,1485330914377877551866737856
subset,5,11,8,17608312876136333068109953072512
subset,5,11,9,167723605270947549143837718082417536
subset,5,11,10,1150583932158700187126726746045384296960
subset,5,11,11,4280862577989659916223699531336456815269376
subset,5,12,0,0
subset,5,12,1,1
subset,5,12,2,518092
subset,5,12,3,38732272711
subset,5,12,4,1504134166610790
subset,5,12,5,42240542216294822400
subset,5,12,6,970219768945561293375216
subset,5,12,7,19091420151777346504882278528
subset,5,12,8,324171191152464533220753743389056
subset,5,12,9,4650219173590584989987971242520360704
subset,5,12,10,53419968278796794402312313209249985216000
subset,5,12,11,439501891340271751398966485217209566367655936
subset,5,12,12,1948331861670121959031227472899036244506290021376
subset,6,0,0,1
subset,6,1,0,0
subset,6,1,1,1
subset,6,2,0,0
subset,6,2,1,1
subset,6,2,2,462
subset,6,3,0,0
subset,6,3,1,1
subset,6,3,2,1716
subset,6,3,3,2858856
subset,6,4,0,0
subset,6,4,1,1
subset,6,4,2,4719
subset,6,4,3,23279256
subset,6,4,4,96197645544
subset,6,5,0,0
subset,6,5,1,1
subset,6,5,2,11440
subset,6,5,3,124710300
subset,6,5,4,1374252079200
subset,6,5,5,11423951396577720
subset,6,6,0,0
subset,6,6,1,1
subset,6,6,2,25883
subset,6,6,3,551496660
subset,6,6,4,12122866555800
subset,6,6,5,252958923781363800
subset,6,6,6,3708580189773818399040
subset,6,7,0,0
subset,6,7,1,1
subset,6,7,2,56134
subset,6,7,3,2181183147
subset,6,7,4,84768916518000
subset,6,7,5,3324602998269352800
subset,6,7,6,117614971732826812083840
subset,6,7,7,2779202577056119960603777920
subset,6,8,0,0
subset,6,8,1,1
subset,6,8,2,118456
subset,6,8,3,8021782197
subset,6,8,4,515162581529310
subset,6,8,5,33693440324075532000
subset,6,8,6,2154874303533576949964640
subset,6,8,7,119505710813413158305962450560
subset,6,8,8,4263127221846887596248598498826880
subset,6,9,0,0
subset,6,9,1,1
subset,6,9,2,245480
subset,6,9,3,28051272535
subset,6,9,4,2849031080438400
subset,6,9,5,290733828070217978160
subset,6,9,6,29841398644348582382931840
subset,6,9,7,2910817670526706213023799688640
subset,6,9,8,238735124423425705389921515934305280
subset,6,9,9,12233832241625685631640659383106015132800
subset,6,10,0,0
subset,6,10,1,1
subset,6,10,2,502588
subset,6,10,3,94587699525
subset,6,10,4,14727353191647525
subset,6,10,5,2246429132669557321200
subset,6,10,6,346440428514315986749058160
subset,6,10,7,52783721352638658747689639515200
subset,6,10,8,7460472638232053293435047372947040000
subset,6,10,9,865106708514959198237446627805353927248000
subset,6,10,10,61247286460823449786646954166350590676638060800
subset,6,11,0,0
subset,6,11,1,1
subset,6,11,2,1020680
subset,6,11,3,310465599015
subset,6,11,4,72388727475099750
subset,6,11,5,16013115784658705941800
subset,6,11,6,3556810911815525994302518560
subset,6,11,7,792752760969692796888370025109840
subset,6,11,8,171519818558973110955735279602801472000
subset,6,11,9,33739161632083408731260418484408803162672000
subset,6,11,10,5337263534443186338550663148781980044678459584000
subset,6,11,11,505895726470318083011327736955189247722874598745190400
subset,6,12,0,0
subset,6,12,1,1
subset,6,12,2,2061709
subset,6,12,3,998537127445
subset,6,12,4,342306430294636665
subset,6,12,5,107355550071586334661000
subset,6,12,6,33341062413684820881188147760
subset,6,12,7,10424782111402629097012744701963120
subset,6,12,8,3234382349155251449104476728006932526400
subset,6,12,9,958826601937413111379836679150933936033200000
subset,6,12,10,254091867550455978188858356333084978555585236624000
subset,6,12,11,53263592915517775311335506019424925081679797039315046400
subset,6,12,12,6586716322132432641861933104332501083130284494073893195673600
subset,7,0,0,1
subset,7,1,0,0
subset,7,1,1,1
subset,7,2,0,0
subset,7,2,1,1
subset,7,2,2,1716
subset,7,3,0,0
subset,7,3,1,1
subset,7,3,2,6435
subset,7,3,3,66512160
subset,7,4,0,0
subset,7,4,1,1
subset,7,4,2,17875
subset,7,4,3,548725320
subset,7,4,4,19688264481600
subset,7,5,0,0
subset,7,5,1,1
subset,7,5,2,43758
subset,7,5,3,2979883335
subset,7,5,4,285479834983200
subset,7,5,5,26478825654361766400
subset,7,6,0,0
subset,7,6,1,1
subset,7,6,2,99892
subset,7,6,3,13356888831
subset,7,6,4,2557423521724500
subset,7,6,5,595773577223139744000
subset,7,6,6,119059073926364394099763200
subset,7,7,0,0
subset,7,7,1,1
subset,7,7,2,218348
subset,7,7,3,53515730125
subset,7,7,4,18160680752525025
subset,7,7,5,7960196962342506024000
subset,7,7,6,3839655134125251709717363200
subset,7,7,7,1461034854396267778567973305958400
subset,7,8,0,0
subset,7,8,1,1
subset,7,8,2,463828
subset,7,8,3,199216621175
subset,7,8,4,112045338302265225
subset,7,8,5,82020644854290667839600
subset,7,8,6,71566905416612330478343075200
subset,7,8,7,63920274879836715312348832135680000
subset,7,8,8,42354925592620124113657511548409579520000
subset,7,9,0,0
subset,7,9,1,1
subset,7,9,2,966416
subset,7,9,3,704436983965
subset,7,9,4,628709861584876500
subset,7,9,5,719424660861089202816225
subset,7,9,6,1008389429599644230264522510400
subset,7,9,7,1584690148062618567118648130030400000
subset,7,9,8,2414230758779347074478478158259346032640000
subset,7,9,9,2603748678087112079607396853175424115984250880000
subset,7,10,0,0
subset,7,10,1,1
subset,7,10,2,1987096
subset,7,10,3,2399379752055
subset,7,10,4,3295051307795653120
subset,7,10,5,5648366559039080535140625
subset,7,10,6,11910093605791088603877456660900
subset,7,10,7,29253380133235938749010244480361184000
subset,7,10,8,76819481505048390939308242507946691121920000
subset,7,10,9,187469904822272069731732573428630536350866063360000
subset,7,10,10,312130809252424791883997487259425015552026787308175360000
subset,7,11,0,0
subset,7,11,1,1
subset,7,11,2,4048805
subset,7,11,3,7946757803205
subset,7,11,4,16407140657240390200
subset,7,11,5,40889491834012081698448725
subset,7,11,6,124367788838918412922350113887275
subset,7,11,7,447245539808021564406882990342594156000
subset,7,11,8,1798596885643199446846727731073716420679232000
subset,7,11,9,7446721219329140547677155000081712971714957516800000
subset,7,11,10,27701609321152700279704776994273970130242377373600563200000
subset,7,11,11,68237706660107300431400133627319001909467611092918750537318400000
subset,7,12,0,0
subset,7,12,1,1
subset,7,12,2,8198557
subset,7,12,3,25763536760715
subset,7,12,4,78527422024811788600
subset,7,12,5,278220329535588212102841225
subset,7,12,6,1185260636534119087653157854768075
subset,7,12,7,5985889803569843637144775224962997159000
subset,7,12,8,34540529366661492204476277606993418641955800000
subset,7,12,9,215582579299578618855253637252365590531148020111360000
subset,7,12,10,1343528052075905963565681684222287551316755302619627315200000
subset,7,12,11,7318494039296507971267664331529962954790401289715535995127398400000
subset,7,12,12,25756127764918105921811150084450452156935104005395345386034297647923200000
subset,8,0,0,1
subset,8,1,0,0
subset,8,1,1,1
subset,8,2,0,0
subset,8,2,1,1
subset,8,2,2,6435
subset,8,3,0,0
subset,8,3,1,1
subset,8,3,2,24310
subset,8,3,3,1577585295
subset,8,4,0,0
subset,8,4,1,1
subset,8,4,2,68068
subset,8,4,3,13146544125
subset,8,4,4,4148378852099625
subset,8,5,0,0
subset,8,5,1,1
subset,8,5,2,167960
subset,8,5,3,72159919975
subset,8,5,4,60842889830794500
subset,8,5,5,63805953776276649848625
subset,8,6,0,0
subset,8,6,1,1
subset,8,6,2,386308
subset,8,6,3,326963847925
subset,8,6,4,551642201132536800
subset,8,6,5,1453357836015190357663125
subset,8,6,6,4012852078114749147678149338875
subset,8,7,0,0
subset,8,7,1,1
subset,8,7,2,850136
subset,8,7,3,1323944637015
subset,8,7,4,3965508752249044000
subset,8,7,5,19668776047405576173707625
subset,8,7,6,131086501218415138824152878403250
subset,8,7,7,814318942973348333484015877548157809375
subset,8,8,0,0
subset,8,8,1,1
subset,8,8,2,1816552
subset,8,8,3,4978428940485
subset,8,8,4,24764927199496283800
subset,8,8,5,205326676042073327586970125
subset,8,8,6,2476078356347841511122887703172500
subset,8,8,7,36101473138485109451124703904634996215625
subset,8,8,8,450538787986875167583433232345723106006796340625
subset,8,9,0,0
subset,8,9,1,1
subset,8,9,2,3803648
subset,8,9,3,17770524852015
subset,8,9,4,140618040495892960000
subset,8,9,5,1824661217488635629682403825
subset,8,9,6,35365401978543918148765284972585000
subset,8,9,7,907350358213925750871600891469826238219375
subset,8,9,8,26031129972575009682598364535530668347059344125000
subset,8,9,9,599167346385710947364525167684682505182168120225201390625
subset,8,10,0,0
subset,8,10,1,1
subset,8,10,2,7852453
subset,8,10,3,61055041154445
subset,8,10,4,745428103022796416080
subset,8,10,5,14511869270292798042813299125
subset,8,10,6,423442746792132047782634980915267500
subset,8,10,7,16984912494149568413427856625480883545015625
subset,8,10,8,839937793781753645758507229013122898665114837100000
subset,8,10,9,43739216286156899157610337240981822878298272776439701515625
subset,8,10,10,1736838571242271431589086789036971360492316590257369167697384921875
subset,8,11,0,0
subset,8,11,1,1
subset,8,11,2,16051010
subset,8,11,3,203813737560810
subset,8,11,4,3752242661550817102240
subset,8,11,5,106386590403959342913138785225
subset,8,11,6,4482120525856435344022448271078115000
subset,8,11,7,263351645939901104153886448537830265381914375
subset,8,11,8,19947172840021774827003226773863530216048852081800000
subset,8,11,9,1762204425040054626061056475953334330630105967637448418840625
subset,8,11,10,156315471411804428843017811013327422444308493123163225092764642968750
subset,8,11,11,10148966011615895659987008264909188892571172600410326289212646156560260859375
subset,8,12,0,0
subset,8,12,1,1
subset,8,12,2,32582720
subset,8,12,3,665466600996990
subset,8,12,4,18143816903360620687930
subset,8,12,5,732770539761652503701617209325
subset,8,12,6,43291479870703349375542074448508683000
subset,8,12,7,3574487484939101985471255297397215731229200625
subset,8,12,8,388600669685659669540674520397316552225937088482590000
subset,8,12,9,51756354454253098917346737046269080345603864716377131204765625
subset,8,12,10,7690721193460777899076476301855709184259977861659630674564020434062500
subset,8,12,11,1103981969485773539014142343482899547314130886200189937459908954141388375703125
subset,8,12,12,112146933995032000851139363926911533746664713549997497248384804895057112367387234765625
cycle,1,0,0,1
cycle,1,1,0,0
cycle,1,1,1,1
cycle,1,2,0,0
cycle,1,2,1,1
cycle,1,2,2,1
cycle,1,3,0,0
cycle,1,3,1,2
cycle,1,3,2,3
cycle,1,3,3,1
cycle,1,4,0,0
cycle,1,4,1,6
cycle,1,4,2,11
cycle,1,4,3,6
cycle,1,4,4,1
cycle,1,5,0,0
cycle,1,5,1,24
cycle,1,5,2,50
cycle,1,5,3,35
cycle,1,5,4,10
cycle,1,5,5,1
cycle,1,6,0,0
cycle,1,6,1,120
cycle,1,6,2,274
cycle,1,6,3,225
cycle,1,6,4,85
cycle,1,6,5,15
cycle,1,6,6,1
cycle,1,7,0,0
cycle,1,7,1,720
cycle,1,7,2,1764
cycle,1,7,3,1624
cycle,1,7,4,735
cycle,1,7,5,175
cycle,1,7,6,21
cycle,1,7,7,1
cycle,1,8,0,0
cycle,1,8,1,5040
cycle,1,8,2,13068
cycle,1,8,3,13132
cycle,1,8,4,6769
cycle,1,8,5,1960
cycle,1,8,6,322
cycle,1,8,7,28
cycle,1,8,8,1
cycle,1,9,0,0
cycle,1,9,1,40320
cycle,1,9,2,109584
cycle,1,9,3,118124
cycle,1,9,4,67284
cycle,1,9,5,22449
cycle,1,9,6,4536
cycle,1,9,7,546
cycle,1,9,8,36
cycle,1,9,9,1
cycle,1,10,0,0
cycle,1,10,1,362880
cycle,1,10,2,1026576
cycle,1,10,3,1172700
cycle,1,10,4,723680
cycle,1,10,5,269325
cycle,1,10,6,63273
cycle,1,10,7,9450
cycle,1,10,8,870
cycle,1,10,9,45
cycle,1,10,10,1
cycle,1,11,0,0
cycle,1,11,1,3628800
cycle,1,11,2,10628640
cycle,1,11,3,12753576
cycle,1,11,4,8409500
cycle,1,11,5,3416930
cycle,1,11,6,902055
cycle,1,11,7,157773
cycle,1,11,8,18150
cycle,1,11,9,1320
cycle,1,11,10,55
cycle,1,11,11,1
cycle,1,12,0,0
cycle,1,12,1,39916800
cycle,1,12,2,120543840
cycle,1,12,3,150917976
cycle,1,12,4,105258076
cycle,1,12,5,45995730
cycle,1,12,6,13339535
cycle,1,12,7,2637558
cycle,1,12,8,357423
cycle,1,12,9,32670
cycle,1,12,10,1925
cycle,1,12,11,66
cycle,1,12,12,1
cycle,2,0,0,1
cycle,2,1,0,0
cycle,2,1,1,1
cycle,2,2,0,0
cycle,2,2,1,2
cycle,2,2,2,3
cycle,2,3,0,0
cycle,2,3,1,6
cycle,2,3,2,20
cycle,2,3,3,15
cycle,2,4,0,0
cycle,2,4,1,24
cycle,2,4,2,130
cycle,2,4,3,210
cycle,2,4,4,105
cycle,2,5,0,0
cycle,2,5,1,120
cycle,2,5,2,924
cycle,2,5,3,2380
cycle,2,5,4,2520
cycle,2,5,5,945
cycle,2,6,0,0
cycle,2,6,1,720
cycle,2,6,2,7308
cycle,2,6,3,26432
cycle,2,6,4,44100
cycle,2,6,5,34650
cycle,2,6,6,10395
cycle,2,7,0,0
cycle,2,7,1,5040
cycle,2,7,2,64224
cycle,2,7,3,303660
cycle,2,7,4,705320
cycle,2,7,5,866250
cycle,2,7,6,540540
cycle,2,7,7,135135
cycle,2,8,0,0
cycle,2,8,1,40320
cycle,2,8,2,623376
cycle,2,8,3,3678840
cycle,2,8,4,11098780
cycle,2,8,5,18858840
cycle,2,8,6,18288270
cycle,2,8,7,9459450
cycle,2,8,8,2027025
cycle,2,9,0,0
cycle,2,9,1,362880
cycle,2,9,2,6636960
cycle,2,9,3,47324376
cycle,2,9,4,177331440
cycle,2,9,5,389449060
cycle,2,9,6,520059540
cycle,2,9,7,416215800
cycle,2,9,8,183783600
cycle,2,9,9,34459425
cycle,2,10,0,0
cycle,2,10,1,3628800
cycle,2,10,2,76998240
cycle,2,10,3,647536032
cycle,2,10,4,2920525608
cycle,2,10,5,7934927000
cycle,2,10,6,13642629000
cycle,2,10,7,14980405440
cycle,2,10,8,10199989800
cycle,2,10,9,3928374450
cycle,2,10,10,654729075
cycle,2,11,0,0
cycle,2,11,1,39916800
cycle,2,11,2,967524480
cycle,2,11,3,9418945536
cycle,2,11,4,49952862960
cycle,2,11,5,162831789120
cycle,2,11,6,345240896000
cycle,2,11,7,486591585480
cycle,2,11,8,453247114320
cycle,2,11,9,268438920750
cycle,2,11,10,91662070500
cycle,2,11,11,13749310575
cycle,2,12,0,0
cycle,2,12,1,479001600
cycle,2,12,2,13096736640
cycle,2,12,3,145410580224
cycle,2,12,4,890577127440
cycle,2,12,5,3404554433280
cycle,2,12,6,8637235647040
cycle,2,12,7,14972984666640
cycle,2,12,8,17856935296200
cycle,2,12,9,14433720701400
cycle,2,12,10,7562120816250
cycle,2,12,11,2319050383650
cycle,2,12,12,316234143225
cycle,3,0,0,1
cycle,3,1,0,0
cycle,3,1,1,2
cycle,3,2,0,0
cycle,3,2,1,6
cycle,3,2,2,40
cycle,3,3,0,0
cycle,3,3,1,24
cycle,3,3,2,420
cycle,3,3,3,2240
cycle,3,4,0,0
cycle,3,4,1,120
cycle,3,4,2,3948
cycle,3,4,3,50400
cycle,3,4,4,246400
cycle,3,5,0,0
cycle,3,5,1,720
cycle,3,5,2,38304
cycle,3,5,3,859320
cycle,3,5,4,9609600
cycle,3,5,5,44844800
cycle,3,6,0,0
cycle,3,6,1,5040
cycle,3,6,2,396576
cycle,3,6,3,13665960
cycle,3,6,4,258978720
cycle,3,6,5,2690688000
cycle,3,6,6,12197785600
cycle,3,7,0,0
cycle,3,7,1,40320
cycle,3,7,2,4419360
cycle,3,7,3,216339552
cycle,3,7,4,6112906800
cycle,3,7,5,105205900800
cycle,3,7,6,1042910668800
cycle,3,7,7,4635158528000
cycle,3,8,0,0
cycle,3,8,1,362880
cycle,3,8,2,53048160
cycle,3,8,3,3501834336
cycle,3,8,4,137124907920
cycle,3,8,5,3451210963200
cycle,3,8,6,55795720780800
cycle,3,8,7,535360809984000
cycle,3,8,8,2345390215168000
cycle,3,9,0,0
cycle,3,9,1,3628800
cycle,3,9,2,684478080
cycle,3,9,3,58680445824
cycle,3,9,4,3034438767360
cycle,3,9,5,104082019161120
cycle,3,9,6,2427374581632000
cycle,3,9,7,37555560820377600
cycle,3,9,8,351808532275200000
cycle,3,9,9,1524503639859200000
cycle,3,10,0,0
cycle,3,10,1,39916800
cycle,3,10,2,9464307840
cycle,3,10,3,1023947084160
cycle,3,10,4,67546540309248
cycle,3,10,5,3015336422498400
cycle,3,10,6,94689314261942400
cycle,3,10,7,2092029437174476800
cycle,3,10,8,31328549799106560000
cycle,3,10,9,288131187933388800000
cycle,3,10,10,1237896955565670400000
cycle,3,11,0,0
cycle,3,11,1,479001600
