n,relation_mask,points,bases,facets,faces,h
4,1088,25,4,54,300,"[1, 20, 29, 4, 0]"
4,1090,30,6,72,388,"[1, 25, 40, 6, 0]"
4,1120,30,6,72,388,"[1, 25, 40, 6, 0]"
4,1122,36,9,96,502,"[1, 31, 55, 9, 0]"
4,1152,24,4,52,288,"[1, 19, 28, 4, 0]"
4,1153,28,8,73,380,"[1, 23, 41, 8, 0]"
4,1155,33,10,91,468,"[1, 28, 52, 10, 0]"
4,1157,33,10,91,468,"[1, 28, 52, 10, 0]"
4,1159,38,12,109,556,"[1, 33, 63, 12, 0]"
4,1216,29,6,70,376,"[1, 24, 39, 6, 0]"
4,1217,33,10,91,468,"[1, 28, 52, 10, 0]"
4,1219,38,12,109,556,"[1, 33, 63, 12, 0]"
4,1408,28,5,64,350,"[1, 23, 35, 5, 0]"
4,1409,33,10,91,468,"[1, 28, 52, 10, 0]"
4,1413,37,12,107,544,"[1, 32, 62, 12, 0]"
4,1415,42,14,125,632,"[1, 37, 73, 14, 0]"
4,1440,32,7,80,426,"[1, 27, 45, 7, 0]"
4,1445,41,16,128,636,"[1, 36, 75, 16, 0]"
4,1447,47,19,152,750,"[1, 42, 90, 19, 0]"
4,1472,33,7,82,438,"[1, 28, 46, 7, 0]"
4,1473,38,12,109,556,"[1, 33, 63, 12, 0]"
4,1477,42,14,125,632,"[1, 37, 73, 14, 0]"
4,1479,47,16,143,720,"[1, 42, 84, 16, 0]"
4,1504,38,10,104,540,"[1, 33, 60, 10, 0]"
4,1509,47,19,152,750,"[1, 42, 90, 19, 0]"
4,1511,53,22,176,864,"[1, 48, 105, 22, 0]"
4,1536,24,3,48,274,"[1, 19, 25, 3, 0]"
4,1537,28,5,64,350,"[1, 23, 35, 5, 0]"
4,1541,32,6,76,412,"[1, 27, 42, 6, 0]"
4,1544,28,5,64,350,"[1, 23, 35, 5, 0]"
4,1545,32,7,80,426,"[1, 27, 45, 7, 0]"
