k,n,odd_coefficients
8,57,118449025816403840
8,58,235950153064850176
8,59,470012094634012800
8,60,936262876852363776
8,61,1865033229101142144
8,62,3715141368570915584
8,63,7400551997199009664
8,64,14741880437328726016
8,65,29365787702153660672
8,66,58496573149810428672
8,67,116525022416482532096
8,68,232117543268528362240
8,69,462377545832559167744
8,70,921054875386178788608
8,71,1834738929515101389056
8,72,3654795202149943345408
8,73,7280342589770236821504
8,74,14502423608645160107008
8,75,28888790318756976007168
8,76,57546395595809860354048
8,77,114632271186491659097088
8,78,228347187713876078952448
8,79,454867007319494312704000
8,80,906093902093718941495296
8,81,1804936709412197296038400
8,82,3595429256786644745505792
8,83,7162085780153065859211264
8,84,14266856349752025949728768
8,85,28419540948322688301971456
8,86,56611652063590607764232192
8,87,112770264487969979060961280
8,88,224638075186391508864339968
8,89,447478464758146061019593728
8,90,891375944421543227140252672
8,91,1775618575796353612053094400
8,92,3537027610453509303925153792
8,93,7045749851709877283145822208
8,94,14035115481189218727367122944
8,95,27957913737529678712140787712
8,96,55692091853662514364674818048
8,97,110938502928181519625039128576
8,98,220989210897036244917836939264
8,99,440209936531322869065848195072
8,100,876897054993331426747952271360
