m,d,delta,action,B,log_phi,abs_delta_log_plus_A,abs_two_term_residual
4,2,0.008,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.281330299949135281+0.110813017178553852j,0.000886650356070823921,0.000879360577339189323
4,2,0.005,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.451666695269504198+0.11081509673179006j,0.000554139316420912885,0.000548775884322957037
4,2,0.003,-0.00226674420827387022+9.52170363324228379e-84j,-0.00113337210413693511+0.110816423223968414j,0.754119094741127842+0.110815946642206252j,0.0003324767832112484,0.000328936257941674006
6,3,0.12,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00844752705939388067+0.0600910309206893519j,0.00727969819205082058,0.00832741729481335247
6,3,0.08,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00560381529444107133+0.0601525155098880142j,0.00483163296921302684,0.00541901694352841582
6,3,0.05,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00363020513802890586+0.0601779941167172151j,0.0030134807122853509,0.00332969911491570095
6,3,0.03,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.0024823443368234251+0.0601875168567197535j,0.00180659107969313126,0.00197631681882436488
6,3,0.02,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00207354316091055617+0.0601903620036761321j,0.00120408925127251768,0.00131064098800620078
6,3,0.012,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00205978832619697432+0.0601917880208462809j,0.000722361392592960756,0.000783144581767229097
6,3,0.008,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00243985157764100155+0.0601922280010993243j,0.00048155533450930537,0.000521032431051575222
6,3,0.005,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00339988531695062466+0.060192441102841541j,0.00030096639085941267,0.000325150862951844853
6,3,0.003,0.0000154122029191773123-1.27597514741265998e-86j,7.70610145958865617e-6+0.0601925769471362357j,-0.00532458884452265343+0.0601925281488964531j,0.00018057845762519469,0.00019489397903227551
