t,p,r,n,N,proved_exponent,actual_valuation,scaled_difference
-9,13,1,1,13,2,2,13103310598013220520510
-9,13,1,2,26,2,2,-1444293076362209271106495359067973452099087955242
-9,13,1,3,39,2,2,183473385866246289422503404609161574416054671285168452780707640979038112420
-9,13,1,4,52,2,2,-24709283373564739978943224354615877040236464301877640883274206016839558650771221819580839765743281306
-8,3,1,1,3,2,5,2700
-8,3,1,2,6,2,2,-1407598580
-8,3,1,3,9,4,4,93398901648391
-8,3,1,4,12,2,3,-531376046116564991988
-8,3,2,1,9,4,4,93398901648391
-8,3,2,2,18,4,4,-25634107801796448606995460284365
-8,3,2,3,27,6,7,900241421937461537465516915825397495415750767936
-8,3,2,4,36,4,5,-2714371083067551225819085311332192033400597468203031448530220390509
-8,3,3,1,27,6,7,900241421937461537465516915825397495415750767936
-8,3,3,2,54,6,9,-36826710749261485786077671727585735595333446304286086919671597847401060376348898358901027652996431424
-8,3,3,3,81,8,10,193109529274427030490802431929357434314130388650931075582865767072338744629158043718321651843383830321911716681938755412118771396962255131163652435271668
-8,3,3,4,108,6,10,-86977744364556413855505132410812140436139680304318052871076058846748365302668743785432150845972991912900958975244653065044749650058423971671290434093584114400262819098175691118113984712028910856651142562368
-8,3,4,1,81,8,10,193109529274427030490802431929357434314130388650931075582865767072338744629158043718321651843383830321911716681938755412118771396962255131163652435271668
-8,5,1,1,5,2,3,6154570
-8,5,1,2,10,2,3,-25852044447825710
-8,5,1,3,15,2,3,124792601682937878192921985
-8,5,1,4,20,2,3,-638169800749409075560022731030718190
-8,5,2,1,25,4,5,134756043050271390276764038010006755856370865
-8,5,2,2,50,4,7,-680961146382669571619910983044283258044751972306789744860191906686650602052099413302201780875
-8,5,2,3,75,4,6,3969580903163688028822126944336142417578352332061454710904453055481889913088929266162028635099509165268647781112121423765366147702486041458950
-8,5,2,4,100,4,7,-24537924653794317143907534642668286039522474619781486386976564521158435353145963230672061655870111834109575906624162931478002769008092669325303345987128027670639605881194481711426407368800875
-8,5,3,1,125,6,7,6265607220124101520863179178712975412191294221660759944372838709371940891012442495133875288101514693623061851620984938522785306764018057576714293344224570795483400086981060556163597520250462321469172217133836389113279941314514880826574040
-8,7,1,1,7,2,2,21574107458
-8,7,1,2,14,2,3,-732193964938214571083046
-8,7,1,3,21,2,2,28595581246456889499233082744752564837
-8,7,1,4,28,2,2,-1183513911321400295452836884103815001775309510790246
-8,7,2,1,49,4,4,1989967398759414292850813660126065761534436114538799000208829214764162000062654162660626381
-8,7,2,2,98,4,5,-796947339044124000942031280262605624467141256945597766570671267531111843847811568129939706893019784191271561289294964689077214434808803064283841494990614491523335281317492348378439554607
-8,7,2,3,147,4,4,368355766345387111323638402102634573087801460130922235415040384230609048131389203633966585237155882137770987289478058549221203202967541597379699360434620371991637401878029795301939100501330049159440887181583417066389210209194808714942910532417161674249762715378252040772668314727918
-8,11,1,1,11,2,3,458539739881031941
-8,11,1,2,22,2,3,-1018156483271798779437566484601069105575
-8,11,1,3,33,2,3,2604764679129482971265893451635545791756206351451433340975381
-8,11,1,4,44,2,3,-7064146614998816676068241607733063395483885457154470714502797366859696246996601095
-8,11,2,1,121,4,5,103684365434188383037296773695172202822677168736324074002044495571120700878757598272681948006883832706719447134574949958487297740234021646525063322817826358364699215649971966565176431145158752005519801781922402314136824048270867566
-8,13,1,1,13,2,2,2447465873052553249423
-8,13,1,2,26,2,2,-43975598078717104271528490463047839751689435349
-8,13,1,3,39,2,2,910686441553713363954508159916840569674035303039874122600445485659400266
-8,13,1,4,52,2,2,-19994008379124801597092235016487399473591548133915590905543527965301390660899671440819849716575733
-7,3,1,1,3,2,2,1945
-7,3,1,2,6,2,3,-623909301
-7,3,1,3,9,4,4,25477870379660
-7,3,1,4,12,2,3,-89213309774507874549
-7,3,2,1,9,4,4,25477870379660
-7,3,2,2,18,4,5,-1630366535999306185768017001344
-7,3,2,3,27,6,8,13350786716241486630995925026937020874335015202
-7,3,2,4,36,4,7,-9386560114223387890456219736693738484974015167301014847615579664
-7,3,3,1,27,6,8,13350786716241486630995925026937020874335015202
-7,3,3,2,54,6,8,-6924483721134704103257830297030315450694464537148550741280920974927465198008563403342646144270250
-7,3,3,3,81,8,12,460379529501967301472178350974508771903103094039377765128768481702667483714536956763650070794917664827623534387210580160534533887443955245553986309
-7,3,3,4,108,6,8,-2629123913059952085742755932373798766769946650152952613293378719212254301130547799137614992833673329360838758363496796780950361139856073730344889542766627614761482694803851333236384619016426894213610
-7,3,4,1,81,8,12,460379529501967301472178350974508771903103094039377765128768481702667483714536956763650070794917664827623534387210580160534533887443955245553986309
-7,5,1,1,5,2,4,3207225
-7,5,1,2,10,2,3,-5998599744838585
-7,5,1,3,15,2,3,12895362813132201682906230
-7,5,1,4,20,2,3,-29368825650587481766686780891029065
-7,5,2,1,25,4,5,2761915709018369676939881756935024851297210
-7,5,2,2,50,4,6,-244552067578038446019822549393540871577814229582497844298591096914113818689680209954067450
-7,5,2,3,75,4,5,24980012293234119555759775136280396181583818855673605474207003604966240523125924835179211176894089423242866377039865730517201086339672930
-7,5,2,4,100,4,7,-2705750902972633981055216490574278671086987607938984704046423960861325601255580786257651215848284793109483567830266114196002994214939658117693489372643576506577817940452529690295980250
-7,5,3,1,125,6,7,12106436884283009962284108832843655034332033963121294070057027032410433584711456778410635995177087048369203260913278843770654770734745323413341232027458193603987688086768543159651951350400190763085819911239443371129268912504141560
-7,7,1,1,7,2,3,8133853987
-7,7,1,2,14,2,3,-88946957808132075662087
-7,7,1,3,21,2,4,1119415392655429863509667115484615452
-7,7,1,4,28,2,3,-14930151943501549245501313823115244945990322980295
-7,7,2,1,49,4,5,840138981889094783309056128383187948093959517096761562111143065463448327843858592725332
-7,7,2,2,98,4,5,-121448286721462059801638504496147878332395132458332068355597813919728194782670177983143427640786900730380396537279914453331100393782267605265729973339238492930122428812630373918960
-7,7,2,3,147,4,5,20262450330406960814552240621755559100634576911802608376225371797910642154026606667505206545990572677752767940897448355862277343887571993191006543712977723491260048057847660304305546841002808918415597741468181982019313737337338692366121543432247702055963332985581345748562
-7,11,1,1,11,2,3,90503959759137067
-7,11,1,2,22,2,4,-33903855773647104679716935553470169699
-7,11,1,3,33,2,3,14634417207184208317710546697285565861937577045996916088565
-7,11,1,4,44,2,4,-6696470741497195306393760084902041059730779415297243014438404765678991003197875
-7,11,2,1,121,4,5,382639578412846485080349960422904301878762140798078795641678493972200005618518961947967728736340623850076472981184334995108807096587837566251259208420617742330072160134915672183514807910444921814296101574568203649683079842
-7,13,1,1,13,2,2,349528443647788644055
-7,13,1,2,26,2,2,-766684565335834091644400079146482841381784727
