t,p,r,n,N,proved_exponent,actual_valuation,scaled_difference
-1,3,2,2,18,4,7,1099331230210336165491
-1,3,2,3,27,6,9,593072979024376869312212287821720
-1,3,2,4,36,4,4,30994980423224744109967939342000402099685277251
-1,3,3,1,27,6,9,593072979024376869312212287821720
-1,3,3,2,54,6,8,150173695871578627793415298899935593878472208107875478840154507136496548
-1,3,3,3,81,8,11,6524605393827761267885287154004216174795094828170787611369954634496659933146467457081310902897036674687742474
-1,3,3,4,108,6,9,27419162929357379689299066505983289766044631615899421063364095086758983078766157039261359993421833641917121135364631466182951089966365365663116150228
-1,3,4,1,81,8,11,6524605393827761267885287154004216174795094828170787611369954634496659933146467457081310902897036674687742474
-1,5,1,1,5,2,3,4930
-1,5,1,2,10,2,4,26679190650
-1,5,1,3,15,2,3,226042430440720255
-1,5,1,4,20,2,6,2294776592034829642526250
-1,5,2,1,25,4,5,1028277487239543617333629489255
-1,5,2,2,50,4,7,344462685342834689969212534263921796269755962542667404028650300125
-1,5,2,3,75,4,5,178236712974449036949742978234600103383663938873093690854802896309131460003117741414420558134592947855
-1,5,2,4,100,4,7,110136923052014673168698297389833414816672808315219220524607861769649981438607920998581911692802448584962739258555472182826118957588750125
-1,5,3,1,125,6,7,2999938186262222807097351170312102637983899706120337516992687352465928374616850049275479832102981056352115680886890309500732815968325766275722998549164272766156049359854155
-1,7,1,1,7,2,2,1131026
-1,7,1,2,14,2,4,4658447149515586
-1,7,1,3,21,2,2,29894724170312664420530618
-1,7,1,4,28,2,2,229591398011332952770069882263942738
-1,7,2,1,49,4,4,3362685262774706171439486135091504270943550869428811952095508487
-1,7,2,2,98,4,5,39111779375002332675530380147992639530073909382273163564560542420089252131150647495935144961058730616100301360135008161908569908239997
-1,7,2,3,147,4,4,701543642537399910172048696750934444751361669941639015635020041945592939478006187375546428602727190600795239526739932500185587316813193810881115468526257417896471595658117088591542243791017074432797819029
-1,11,1,1,11,2,3,131040481847
-1,11,1,2,22,2,3,310182689555640738938330845
-1,11,1,3,33,2,3,1138932060321082674140968914386507192701685
-1,11,1,4,44,2,3,4999356088387804140915349006652643620600659725693895727661
-1,11,2,1,121,4,5,5888235952129134789540101171202530798970795980141683798460465974499799124652798778607800249832850318855295076945452611605231251379112935810705550237641954611689511017
-1,13,1,1,13,2,2,54988177372969
-1,13,1,2,26,2,3,98523089320342315096829017232875
-1,13,1,3,39,2,2,273504111758348977337017283183026385945567011336360
-1,13,1,4,52,2,2,907402321408401755987563154921037270382857944763991068074916259302011
0,3,1,1,3,2,2,160
0,3,1,2,6,2,2,2384528
0,3,1,3,9,4,5,5786306760
0,3,1,4,12,2,2,1341485001170192
0,3,2,1,9,4,5,5786306760
0,3,2,2,18,4,5,126144435215492897724600
0,3,2,3,27,6,8,463210349136104569599087934438599840
0,3,2,4,36,4,5,163764615584124525784275716284015493226422713058616
0,3,3,1,27,6,8,463210349136104569599087934438599840
0,3,3,2,54,6,8,36088838110710558505025167592054321513643448059714650241227793009609948308112
0,3,3,3,81,8,11,478508328223840612804831081653028056325209690966759438446916882200339149748713856800885489863940412782716632785139160
0,3,3,4,108,6,8,612433483066302416131377166438866080163602518337542445289038079787703307346995845361914182573643372289724520172012448947253911231679154947585844807430008470800
0,3,4,1,81,8,11,478508328223840612804831081653028056325209690966759438446916882200339149748713856800885489863940412782716632785139160
0,5,1,1,5,2,3,32760
0,5,1,2,10,2,3,546297456120
0,5,1,3,15,2,3,13641380180873084160
0,5,1,4,20,2,3,403637698810679761313712120
0,5,2,1,25,4,6,524828578805787373021993590964800
0,5,2,2,50,4,6,35454862828670810172761582797160722010021125257895158759495214013013600
0,5,2,3,75,4,6,3667069885585686485464129161572052609325108092450252740430909017853925052026937048556983897880856614231904800
0,5,2,4,100,4,6,451944908493722285070896911898425171521202889648613471195931667144963155170463780458168710856258958948350342523804147726471870184832288117430197600
0,5,3,1,125,6,9,2453084664289878288695051681766138186683452627384087866605523770736097464193915824128490279308950545154405159780084249362430046132188243246075969539113850454763726995923704127508074000
0,7,1,1,7,2,4,11924640
0,7,1,2,14,2,3,226766775451902000
0,7,1,3,21,2,3,6508592124142121549271817200
0,7,1,4,28,2,3,221799939711180045588864081093263238576
0,7,2,1,49,4,7,279993291437940310213780934366299792699214135717710578393277329755640
0,7,2,2,98,4,6,105073128663242772675614986618153653994218668604613714116607390064845687939638441003759494626236083244050595714812888061324071800102406764625352
0,7,2,3,147,4,6,60535113003159998584145036200026927357371194809838101262271180542652916575539466157676878682774541471908420850231159903689533748628078439693584096656196011652516993803947773297518476769328940795500753915905905936705120
0,11,1,1,11,2,3,3336165981720
0,11,1,2,22,2,3,83577374960367715613438505000
0,11,1,3,33,2,3,3182990855801421568522256721176854889222119080
0,11,1,4,44,2,3,144189722885706657247264338129012580000199767722195437846367144
0,11,2,1,121,4,6,2063905225991464261964396306391791143488296490516098472238411200248886472680740983141922681811967911704762583550380083069563597955809816156540082749338107195147587314651211739520
0,13,1,1,13,2,3,2158068475715880
0,13,1,2,26,2,3,62207549377917969859354239292410408
0,13,1,3,39,2,4,2731315035731368173476737267881675736463507609859424680
0,13,1,4,52,2,4,142713286855439180604855241961327254757545122838807829577847246738930460712
1,3,1,1,3,2,6,405
1,3,1,2,6,2,2,15686143
1,3,1,3,9,4,4,85436789941
1,3,1,4,12,2,3,41869012249839615
1,3,2,1,9,4,4,85436789941
1,3,2,2,18,4,4,16196378047838966361184295
1,3,2,3,27,6,7,452744218738281090464401472881290862629
1,3,2,4,36,4,5,1160994143386574513581102280619722979454627443638838471
1,3,3,1,27,6,7,452744218738281090464401472881290862629
1,3,3,2,54,6,9,12655304738558064894591351651448370330921908687948697598200349142653657074787495147
1,3,3,3,81,8,10,54784276881418609949992511638113919919702596594364056489634544939097449142089280631448645781622893214307333121624933185350628
1,3,3,4,108,6,8,22196748027230610917272116714017272941301957186674044670160994732748069017574247166678437818912977973255538069408311327847735248627660347698779427774296817200611703561435
1,3,4,1,81,8,10,54784276881418609949992511638113919919702596594364056489634544939097449142089280631448645781622893214307333121624933185350628
1,5,1,1,5,2,3,160615
1,5,1,2,10,2,4,10401233224025
1,5,1,3,15,2,3,871899136107694820470
1,5,1,4,20,2,3,81904302568867316375365452585
1,5,2,1,25,4,5,328564715275860584597702882877989945
1,5,2,2,50,4,6,5247754815755871032294023457369269626757848958612019376635536330989491857975
1,5,2,3,75,4,5,116421687893582235683280069216678077846035128916588225862938756100205312504337925536204886327602202049095680921528790
1,5,2,4,100,4,6,2980409814814601188851005984864166578854331369888164195672273707262984144300477239047447473888415955318031531662522051653526102276179683910586926643365492775
1,5,3,1,125,6,7,3310643418533021973036062958033495456773048557693312410331814147819296395514055112861178918372960853469019702644816926834216193272582729777410808286620998666830780952289478392525057656524766414195
1,7,1,1,7,2,2,103720679
1,7,1,2,14,2,2,11443036805899970541
1,7,1,3,21,2,2,1657437105414889655302520751200
1,7,1,4,28,2,2,270644268879960668617866482876864144395789
1,7,2,1,49,4,4,33393456326006241041185123537017890599984228423785326023461302905582432127
1,7,2,2,98,4,4,452458019331234647947797211372434701720238872338089798924388784274346480685891890977391958949269765765547000622021683325548207815538598268898705617063613
1,7,2,3,147,4,4,8767912506107692848927852740403602615003122636801867548848849352268362455199448331600933852522103783081576422884429908725631172204158516422758908210175664209203628133269476052804995908356940165764330660144870730711310373404148471610
1,11,1,1,11,2,3,81493469914945
1,11,1,2,22,2,3,26683629930131931505115048237259
1,11,1,3,33,2,3,11697177328627089000315280498491688794658481433295
1,11,1,4,44,2,3,5828852267604828930554554634776484720615301331473099949990249969131
1,11,2,1,121,4,5,1189645036197224993542422501177881626227462809989261636458644571974222169498518202323073616418372226143979578050818658179388011653530088925838947373431476317470961522144228638702916386178845
1,13,1,1,13,2,2,85767384888076675
1,13,1,2,26,2,2,48675873278617043310320904679149491373
1,13,1,3,39,2,2,37259235387430384844715715093785113595792240540299256230542
1,13,1,4,52,2,2,32521075041247024598259706684466992542760279338633255290602016675077400751967037
2,3,1,1,3,2,2,775
2,3,1,2,6,2,3,69282975
2,3,1,3,9,4,4,821684041361
2,3,1,4,12,2,3,851171915492406399
2,3,2,1,9,4,4,821684041361
2,3,2,2,18,4,5,1399793546865208030941144633
2,3,2,3,27,6,8,320323723933289560592078352498156141526251
2,3,2,4,36,4,5,6425938505858416474671736201246918089218815197303010965849
2,3,3,1,27,6,8,320323723933289560592078352498156141526251
2,3,3,2,54,6,8,3981036364124869117261987006313183417444839651806551634162976126862928794391883723218435
2,3,3,3,81,8,12,6692560996319576346047247536727292831153079541314394272538257220559042209499772667285088906035024381365351476453569391519963732226175
2,3,3,4,108,6,8,988797095843373608651844973258627871557493656836783015707630796291007566369494449570447947009762089259310358211935520440993813288800627139068943631073779094588174947539107576602339
2,3,4,1,81,8,12,6692560996319576346047247536727292831153079541314394272538257220559042209499772667285088906035024381365351476453569391519963732226175
2,5,1,1,5,2,3,541620
2,5,1,2,10,2,3,128710601206740
2,5,1,3,15,2,3,36781865574564053265660
2,5,1,4,20,2,3,11356608299410355858015235544660
2,5,2,1,25,4,5,146406442645757218238215211360475699440
2,5,2,2,50,4,7,676758444289684463363467320587883603844644032652815676872871223212754501200422000
2,5,2,3,75,4,6,3806750441495912834691962588345651728129934096443721164755028227066130445467376764823252761097362670196057468337320232222400
2,5,2,4,100,4,7,23229300018624416301130806084004125380641222357872973601321921354391534753288425884805312808493930490372231642891756464151675224845567796779321901069449372004237478000
2,5,3,1,125,6,7,5930814212474868730888029042987684513794511213321610861528369685670630180030246197278579545508403129159539715913171602467016057126991295743258334887903077795724039347374442330874758313446337745892088712213115
2,7,1,1,7,2,2,596421523
2,7,1,2,14,2,2,379087154121987974955
2,7,1,3,21,2,2,290694040923878296738156709363404
2,7,1,4,28,2,2,241087951243288444746562143232842775472353675
2,7,2,1,49,4,4,3444334974374311099422793296170322523818919095292677352566687341055024316549148
2,7,2,2,98,4,4,2279481296837965990527676163657485781547757855219157189333524626366119559235411982632178529267326248902784963069914282199724451871365188017847445394006210123436604
2,7,2,3,147,4,4,1842420081449748139305570736709201077265505000305847855293636830497766438435078507351800920502107535751936226397150072152602331016160243937686840541358694280977000436217484908577966923705506585639447248263957648275648070326907382672503577813189544
2,11,1,1,11,2,3,1294053380510451
2,11,1,2,22,2,3,5914904687612695367931285312686475
2,11,1,3,33,2,3,32733638297405174619030808250743332928338111632862039
2,11,1,4,44,2,4,196153609935755652141031425375913576185121432756045268370710558290757739
2,11,2,1,121,4,5,894527944921207033709950290879406397291113348985476181095921469359899650497434083390034429309603427134097576573538293098970011305930078953587431563827207130184248565782050849973446532258641204636793412
2,13,1,1,13,2,2,2227756704243340733
2,13,1,2,26,2,2,27338572024547521843992976398154703056197
2,13,1,3,39,2,2,406658282066678280533259883420105245889706537515872139330666556
2,13,1,4,52,2,3,6552569716582202099182454698622771021591899292135776250065535696239727709974251172197
3,3,1,1,3,2,2,1270
3,3,1,2,6,2,2,225479174
3,3,1,3,9,4,5,5198590368420
3,3,1,4,12,2,2,10361138095731008758
3,3,2,1,9,4,5,5198590368420
3,3,2,2,18,4,6,62035019542453867986750517296
3,3,2,3,27,6,8,96463772041244722835714128550225918100216393
3,3,2,4,36,4,5,12965119003390471654022950919577334622745099478370179482464448
3,3,3,1,27,6,8,96463772041244722835714128550225918100216393
3,3,3,2,54,6,9,352583487458068101427878717898848091129966670115840671802778404663668245537677375953856873555
3,3,3,3,81,8,11,167449918792208341987184476418774017699614504274758588097245110754509331784940736247186363638551865994494418515824525725813512987338714437020
3,3,3,4,108,6,8,6862398051713055710644713141415194606898515262223838413400033859997437190708207807571056572076381720737530484027442463849542666439919500036839348761736563868617361511722185211036768761282275
3,3,4,1,81,8,11,167449918792208341987184476418774017699614504274758588097245110754509331784940736247186363638551865994494418515824525725813512987338714437020
3,5,1,1,5,2,4,1407025
3,5,1,2,10,2,3,1013707677575215
3,5,1,3,15,2,3,856110762515682222892705
3,5,1,4,20,2,3,771812170669655251261681704558735
3,5,2,1,25,4,5,28844690889659288611312888431623437378035
3,5,2,2,50,4,6,25912268524158603044815157006662350938010205205524780199951901612728338607411082006925
3,5,2,3,75,4,5,27229499598313422476847529993290091357463742474540249808733848560471066195998197439201801648917206104251452028648339783383953844330
3,5,2,4,100,4,8,30487007751978841436469158155580906689880577785441047819620802153401475634726073452131525250778272438718692008599967574913851681052816353238894838084685572599501688998954398125
3,5,3,1,125,6,7,1413227848986362504021770259742898790043079867259713517327760241265131632043246399720982256728047486452321382713229249189545472165585008717609189488449627194780298526449206129628055862909301276015966144343577222151790385
3,7,1,1,7,2,2,2426343427
3,7,1,2,14,2,2,7112721583191435569753
3,7,1,3,21,2,2,24454312674223025978254689199937551
3,7,1,4,28,2,2,89737564185844326961403898866611351924981197545
3,7,2,1,49,4,4,106922562819855928109648754154066238041778488649867864777585621231942660911662696092
3,7,2,2,98,4,4,1972528779505778994059082853066675199234476529216357980941510960920032864098730362675535620250597789298318460464857211329293161680126612722162967202856254048391915087458700
3,7,2,3,147,4,4,42450503361331385458757617740179521582739124778193923352873606410568317280975588760606746243568706640963158923892184424134731262165930750255184053286337025415508607476248977994338380725321012251393494662456759231070479006875698075761158001586512086022013400309
3,11,1,1,11,2,3,12675555984606097
3,11,1,2,22,2,3,615759795654877295744264835413101339
3,11,1,3,33,2,3,35072558663177662189678263206354451841118900677903615120
3,11,1,4,44,2,3,2131181368453815252624031205411231734653362366902194337346099080027175808235
3,11,2,1,121,4,5,92785831009111609553975640417316140296021153092541091705202680102135609454711532882672528744715046092285247086078622705039650476465388760210317079087939867493073131792475304316088655621710776110694764253803523121
3,13,1,1,13,2,2,33677462193852963355
3,13,1,2,26,2,2,6659703800052224522274564640989563376591821
3,13,1,3,39,2,2,1543623827372460674417953099068095021150753310433043296606843683115
3,13,1,4,52,2,2,381615687552128113797378618917561715349491226762330864927969782045184434709908015247397773
4,3,1,1,3,2,5,1890
4,3,1,2,6,2,2,593288890
4,3,1,3,9,4,4,23966136305788
4,3,1,4,12,2,3,83355464464327664250
4,3,2,1,9,4,4,23966136305788
4,3,2,2,18,4,4,1510896391402190448566092147052
4,3,2,3,27,6,7,12289174119401454618413184001956798555117017577
4,3,2,4,36,4,4,8605303258368868518527116846231532415059039691010696855922951276
4,3,3,1,27,6,7,12289174119401454618413184001956798555117017577
4,3,3,2,54,6,8,6317330138245014957875685636924932436814058373825392580359354494331614971503137127723009140862373
4,3,3,3,81,8,10,418249316117041584930625026191471952696082013301986675148951589403082871512858223432065523272143493363307703587747283269769262588101881313136307602
4,3,3,4,108,6,7,2381841123609521264713714484938176530862735191788422767763085555160007650473789415377318574371784672484406180806917044640829426555552192524112219573528592994529755116557140038759502712981655206595653
4,3,4,1,81,8,10,418249316117041584930625026191471952696082013301986675148951589403082871512858223432065523272143493363307703587747283269769262588101881313136307602
4,5,1,1,5,2,3,3066205
4,5,1,2,10,2,4,5628225468865225
4,5,1,3,15,2,3,11992240035268862904136705
4,5,1,4,20,2,4,27165468425884055516379843235406825
4,5,2,1,25,4,5,2545301782663434776075602028001737039538605
4,5,2,2,50,4,7,223301551938960405488020520975162702517322266289764922463359123796940033223428181934329625
4,5,2,3,75,4,5,22711424719514836447020211837099981281093913146908435704572972917337826955963666032640752639928734113271365297815846720203283446871975030
4,5,2,4,100,4,7,2453090902219218141726499539795925736083130046016068730656287748110970797821427407035379054355577071789528577319386711364619960417637665505013056079546754110580514482322280231951853625
4,5,3,1,125,6,7,10952122549316244657083385821408259426561802189431509994459338744993461465136482947888941843636322409292311940665800682676415053223182739054924897265101223867219495294475842588573137631360704021348964255465505748588402108355212505
4,7,1,1,7,2,2,7701447771
4,7,1,2,14,2,2,82833549809968124388303
4,7,1,3,21,2,2,1034562199867889954194977228812685465
4,7,1,4,28,2,2,13735494491072940822425334913956897195886200322991
4,7,2,1,49,4,4,767311374103812372515048190268688618015891971860987397246395975343589391679444361995212
4,7,2,2,98,4,4,110129154146369097767633536809596364848872795902647026354438486516267170083609611275429761571470915891832499745044389706598288158223590983458248770125737173630445841746715210819868
4,7,2,3,147,4,4,18300767549821507947395160315809359308120895097373138730343738844978080129548284685989512814735814968817427365189163000978199771594386468713008040587425151442886227245470632368746069631853912807900257788690976959610891741991452125419539360456771510213955057859600640466029
4,11,1,1,11,2,3,84727030073694217
4,11,1,2,22,2,4,31309355220009900319768760637601695365
4,11,1,3,33,2,3,13432006650292239277476063333652524490086357973241752816975
4,11,1,4,44,2,4,6123699725490664425521810140820332316762312489267173079212672506347755956967973
4,11,2,1,121,4,5,346266593404614824901363562851910611955069700675630306064552235087671776509411187108284397445044377367504074222010462236099773260762827551298094392167989560444253589573808096490114997892523513383026766833696586443555950275
4,13,1,1,13,2,2,326011314325308228659
4,13,1,2,26,2,2,706125205614157145512487596396973475023617287
4,13,1,3,39,2,2,1775207346172603312540951894153794997462983863014158099170573194026281
4,13,1,4,52,2,2,4742036606545630885358190913959997764159639994184941680176912596134596563626853754352575846375
5,3,1,1,3,2,2,2635
5,3,1,2,6,2,3,1341936273
5,3,1,3,9,4,4,87552683862905
5,3,1,4,12,2,2,490936983869920407473
5,3,2,1,9,4,4,87552683862905
5,3,2,2,18,4,5,23072656483045388741824209459675
5,3,2,3,27,6,8,781399749168991960535571041329436847492450650439
5,3,2,4,36,4,4,2275103657818606911399009519510872182589998840690329596491756916347
5,3,3,1,27,6,8,781399749168991960535571041329436847492450650439
5,3,3,2,54,6,10,28826228874145866091044744234497066067347676189314535261523974810060342292260757950323127213336081069
5,3,3,3,81,8,11,136605968588158203109023886203995955330565000984668619104449513379921353896898914538067906099552646844178950910168827340972482727947454659753181966179529
5,3,3,4,108,6,9,55638513043546055204164992793610539193504120910943862920222217486037484583205639985765560850727005038389485446842590191751836005758135380635940747043888171723997050069942533141377663466926939750100834649005
5,3,4,1,81,8,11,136605968588158203109023886203995955330565000984668619104449513379921353896898914538067906099552646844178950910168827340972482727947454659753181966179529
5,5,1,1,5,2,3,5906660
5,5,1,2,10,2,3,24112636499633620
5,5,1,3,15,2,3,113763075783631377932814260
5,5,1,4,20,2,3,569675448264023626741997406947560820
5,5,2,1,25,4,6,117895186529440786355454666305295772907703400
5,5,2,2,50,4,6,541134559791254922997700014151905018076909129506645468880413907477623279772948301660592897600
5,5,2,3,75,4,6,2871755649171703381972481499354458980276747016431459365282670351763008958321453353052316634449160857146149475142252126911183812240458084291700
5,5,2,4,100,4,6,16171030322714823218351796018896615243582335315231500994950553653326634827543618956023243913065325530941459669097761357377411917749647156397059589373672945160504903403059316050944391716925600
5,5,3,1,125,6,8,3762506139217828708051105990176918702088018627957536525255431525040769233198887130909579978971524548881602839421950145140283968156680769522220794780393800165454252732622537489371978105637948363996776963280920504538605933663386215880902225
5,7,1,1,7,2,2,20444150435
5,7,1,2,14,2,2,670405337407338150186069
5,7,1,3,21,2,2,25422530200837846977019324025379986240
5,7,1,4,28,2,3,1023248384285507529746972493524701671450287695383461
5,7,2,1,49,4,4,1587345070474630187488461414316180571232254516176378434635627575266292427036711833809043337
5,7,2,2,98,4,4,529132314500675389518232137056231183667087195290611283783352155890826387806639970863122846958318286621081994216220353118034959478124661372908695151288878776964513497497417961618123057871
5,7,2,3,147,4,4,203841722685142997103719491783593911314634575709752176100798670075791045456959760873138335201146775450085108194093337904261421235286566173120342581020035470463856684707828450652950830110620787065159369224455484782526394185926119078341320959791768938531197681892202619562367788863920
5,11,1,1,11,2,3,425628962085395915
5,11,1,2,22,2,3,901520637114204501572637575230371891337
5,11,1,3,33,2,3,2208630328821400323996310561448664099381593914387571445811610
5,11,1,4,44,2,4,5742732765830662577419899976150926572499305521010361088199223306004495187341091849
5,11,2,1,121,4,5,63195194129911796622881258866972774594435202874375310118899657982022896148498062061427116280098796965180876795553039056422784711862170274086331724800506958675897940593406224696160876012223941867314380373694238356380138941216087405
5,13,1,1,13,2,2,2250933302591230822065
5,13,1,2,26,2,2,38321206575316058005179558735727118725719017943
5,13,1,3,39,2,2,754580838307005457139291043987088633908119788516436340176609043195599724
5,13,1,4,52,2,2,15768905955933075881227121081374552416756565787399741626297821347691464536538514122556146855426631
6,3,1,1,3,2,2,3505
6,3,1,2,6,2,2,2714355473
6,3,1,3,9,4,6,268636030308981
6,3,1,4,12,2,5,2282844916967071229361
6,3,2,1,9,4,6,268636030308981
6,3,2,2,18,4,5,246116652638727602540899707280005
6,3,2,3,27,6,9,28924874168143737767133735963104890967458193456613
6,3,2,4,36,4,7,292075841047319567464140061687391375705559357481651996511113271680677
6,3,3,1,27,6,9,28924874168143737767133735963104890967458193456613
6,3,3,2,54,6,8,44480839179877128934085629093186643020799308508351310921008508032771309193736269186216339110181429529413
6,3,3,3,81,8,12,8778226824292468952474766237145688508880418174907573691374987747250180116169903349179776197726130010795927787034226083730948755034595525969714455586617246197
6,3,3,4,108,6,12,148846499412336189195298274097094201102121821112658061401479212930069575159491198446280636629568613558409299368165185278269153420858808971543123320236836214769992282122669659791906569298442234624948682210656818405
6,3,4,1,81,8,12,8778226824292468952474766237145688508880418174907573691374987747250180116169903349179776197726130010795927787034226083730948755034595525969714455586617246197
6,5,1,1,5,2,3,10394015
6,5,1,2,10,2,4,84987614006364575
6,5,1,3,15,2,3,801321202917616489676620970
6,5,1,4,20,2,3,8012843946723915118131385583752420735
6,5,2,1,25,4,5,3310137872886904072667831828549188465024997795
6,5,2,2,50,4,6,480546093380151923644453376378245027695737058075074608358174243407224117131623404938208501571475
6,5,2,3,75,4,5,80574841473715531024391579829501718625318976871171327030825639718296719633028873792308197442310947839271721258644231726377767290929839657646193290
6,5,2,4,100,4,6,14331061249438215842123360794351083216688486611450590111280645055784568088185950707506532849879340606701115161247965636792694383024897039890637674241389966077017752515208752838054881893618782988275
6,5,3,1,125,6,7,105305026812404453016952776031242650124429756203704834798640279139131274530977603865054263148751253460317446504217870774330410734684243407242227894750372415952026596779233093012847746117274588723301914539061045869928909897166040797364441144388545
6,7,1,1,7,2,2,47521709299
6,7,1,2,14,2,3,4111880168521741526845347
6,7,1,3,21,2,2,410606719320118704987672801795023785270
6,7,1,4,28,2,2,43490943746594414643897716354320755459721525770137859
6,7,2,1,49,4,4,1227752710341295909955803562919629846694869850105670075519704714964253706591119246865446266416
6,7,2,2,98,4,5,355752949370714478506998617341995097753289320119640233200802308518224568607009259487044038634653360761304970955859494143465702550770981883203824474371159634259412687993219556130133533106435024
6,7,2,3,147,4,4,119052665050129199885289265430592262650892291370522472203188047615637132308822004261900177004858052733764512808947417566537812512339125038056676676494430895671735174822832843881712424589419198925199710423732341420558924596705672695906642557676775862194770027186362528976226573385601094274876
6,11,1,1,11,2,3,1723158391226685985
6,11,1,2,22,2,3,16719585988515325861260445168834988456033
6,11,1,3,33,2,3,187328006616903444948821338593051647029750052336736754432258600
6,11,1,4,44,2,3,2226368516975851494632702574002597443112392498946913871711074513392681789650909272321
6,11,2,1,121,4,5,1018003840014543488912261092401949292754945110241627229902081002579070616841555955835855688529751905825157723195804929290370217323692582753868586036368911635500054419770892013345766601887752719932610622668628851498546060852301792402796080
6,13,1,1,13,2,2,12021214918048308995995
6,13,1,2,26,2,2,1235420772469562748057775288938364082017950304763
6,13,1,3,39,2,2,146623094907585280680137566269807142214743238035486810224076110909385968034
6,13,1,4,52,2,2,18459080963868705049900345845518126428069551086852440251210296111926259686017063410764292273377764699
7,3,1,1,3,2,4,4500
7,3,1,2,6,2,2,5040690640
7,3,1,3,9,4,4,720521387182996
7,3,1,4,12,2,3,8838701411601567418080
7,3,2,1,9,4,4,720521387182996
7,3,2,2,18,4,4,1984399665025229427487205781376412
7,3,2,3,27,6,7,700397584567590342382783597070352556672463751652224
7,3,2,4,36,4,4,21233635347051962173999839324320383468037862986855930960184740109994396
7,3,3,1,27,6,7,700397584567590342382783597070352556672463751652224
7,3,3,2,54,6,8,29138520005676062342985669698387581825699025342351626574863875705894020567341493920576531323131590068727680
7,3,3,3,81,8,10,155495496803082334523231986243237563741340274256681068388754357296138075181621029100592408527531519071101950808138725970389646109171427867228233405554490852091422
7,3,3,4,108,6,7,71286831205965898321872098313245956148422444057335606604152902887382565811083955797117051734581161953315505735962542771434701496597913029387597293512738941372157789253134714718471285564064873204087679074531232075481856
7,3,4,1,81,8,10,155495496803082334523231986243237563741340274256681068388754357296138075181621029100592408527531519071101950808138725970389646109171427867228233405554490852091422
7,5,1,1,5,2,3,17072020
7,5,1,2,10,2,3,257631269225125840
7,5,1,3,15,2,3,4477522844087879596186207060
7,5,1,4,20,2,3,82494255350185146245645192505476332960
7,5,2,1,25,4,5,62777608725166304331225048276522732857256369040
7,5,2,2,50,4,8,193138555026105049092284409123720451045350021398248865958210092120943459535416957559156093810940000
7,5,2,3,75,4,7,685948549263389298260395378168061949550583156527165564734727988435236656653829860069527807831307296313193920939412298155609038446202644116658255128625
7,5,2,4,100,4,7,2583854212782569876366199472892691421030251677835713591867974161226999231614630616698134302124863303277171213254925995850674981283370054765697725272360163693318060581202887379503462569789565314922084000
7,5,3,1,125,6,7,402078505661046911639046408536124160128781841782973244513126945380340261278823337868513523325238736788220465831720296767650837176956731975349733302531482144291340265068312627394333044644395477731365573306858809613843163570037083031613806341278379634840
7,7,1,1,7,2,3,99764189868
7,7,1,2,14,2,3,20331705323424685887397848
7,7,1,3,21,2,3,4776749466642094909406720196986509978560
7,7,1,4,28,2,3,1189945214647193380214920600556965237702997943473451176
7,7,2,1,49,4,5,436720958964259190574051012070899774260275031475254540142803327134684339414350739665032302396934
7,7,2,2,98,4,5,50242072011406382415986231582154925468491104410280639936608556257484914340417443357129091374147922224948671082058602366421702827985304536179397916655678320253342524517817192292567468806973760117482
7,7,2,3,147,4,5,6673555253750892350759023416083880436936730964945223668112912622549701630357823679131401626605206362128226828844537986670781568312242066511668058607261909642190761042687574052846311486714032190174029865505084233993199723110170414585427936939432473291605935019217330536999685922836798824347732988866
7,11,1,1,11,2,3,5903505861089330956
7,11,1,2,22,2,3,219785223740205315840139737860984468396968
7,11,1,3,33,2,4,9440348759102856561750916371901128838046421784594326514300414165
7,11,1,4,44,2,4,430012950767172770462397185909380835575984721455407293777883467966206695520448969642680
7,11,2,1,121,4,5,2384913978089311882026023707620280059592702686116484115662130047490157519308535961289269642576932073300431319787984861463904086514526075255229598030297290269138871667501258123525746269984961641726492014691068084310497469270481980595300449487104
7,13,1,1,13,2,2,52598806608153137117788
7,13,1,2,26,2,2,26474735439010704826976273396782919735175277394088
7,13,1,3,39,2,2,15376886644720319811218597095101709355146467428952406553399216481892674349441
7,13,1,4,52,2,2,9471631340275205387114023841793631150398618670975505177807565937969197357714462091388545070953149138040
8,3,1,1,3,2,2,5620
8,3,1,2,6,2,3,8751795924
8,3,1,3,9,4,4,1737512589919325
8,3,1,4,12,2,2,29593901462862145901524
8,3,2,1,9,4,4,1737512589919325
8,3,2,2,18,4,6,12803831762643062287120814868200961
8,3,2,3,27,6,9,12084810327533305095468571545863511237160401632769318
8,3,2,4,36,4,4,979560629236749627078823534936443978090048029223339991718546373526243361
8,3,3,1,27,6,9,12084810327533305095468571545863511237160401632769318
8,3,3,2,54,6,8,9607679713898741184934253532740921091893353400785995431375231337496154890673304765016136599563889297257900030
8,3,3,3,81,8,11,979521867220409839841671507976244882547156632459108336516588644845855513805324714291336517643728587952339953193988154726711699119300432262670539249833209309001682712
8,3,3,4,108,6,9,8578691278025017752900863421227387485266682273785276146582114087182879900894732550241642156593890038412725977063593441682726311973833373602700415686045256969826690545362040938148033082036740500860762907458134414382239030462
8,3,4,1,81,8,11,979521867220409839841671507976244882547156632459108336516588644845855513805324714291336517643728587952339953193988154726711699119300432262670539249833209309001682712
8,5,1,1,5,2,4,26562550
8,5,1,2,10,2,3,693108031960474990
8,5,1,3,15,2,3,20812214922658912154654659255
