n,m,q,offset_a,denominator_q_valuation
4,5,11,16,0
4,5,13,31,0
4,5,31,36,0
4,5,41,46,0
4,6,5,31,5
4,6,7,55,3
4,6,13,19,0
4,6,19,25,0
4,6,31,37,0
4,6,37,43,0
4,6,43,49,0
4,7,2,71,10
4,7,3,169,5
4,7,5,57,5
4,7,11,29,0
4,7,19,64,0
4,7,29,36,0
4,7,43,50,0
4,8,3,89,5
4,8,5,33,5
4,8,7,57,3
4,8,11,41,0
4,8,13,73,0
4,8,17,25,0
4,8,19,65,0
4,8,41,49,0
4,9,2,73,10
4,9,5,109,5
4,9,7,352,3
4,9,11,64,0
4,9,19,28,0
4,9,23,55,0
4,9,37,46,0
4,9,73,82,0
4,10,3,91,5
4,10,7,451,3
4,10,11,21,0
4,10,17,61,0
4,10,31,41,0
4,10,41,51,0
4,10,61,71,0
4,10,71,81,0
4,11,2,155,10
4,11,3,254,5
4,11,5,111,5
4,11,7,452,3
4,11,13,89,0
4,11,17,45,0
4,11,23,34,0
4,11,67,78,0
4,11,89,100,0
4,12,5,37,5
4,12,7,61,3
4,12,13,25,0
4,12,17,97,0
4,12,37,49,0
4,12,61,73,0
4,12,73,85,0
4,12,97,109,0
5,1,2,1,14
5,1,3,1,9
5,1,5,1,5
5,1,7,1,5
5,1,11,1,1
5,2,3,29,9
5,2,5,27,5
5,2,7,51,5
5,2,11,123,1
5,2,13,15,0
5,2,17,19,0
5,2,19,21,0
5,3,2,19,14
5,3,5,28,5
5,3,7,52,5
5,3,11,124,1
5,3,13,16,0
5,3,19,22,0
5,3,31,34,0
5,4,3,85,9
5,4,5,29,5
5,4,7,53,5
5,4,11,125,1
5,4,13,17,0
5,4,17,21,0
5,4,29,33,0
5,4,37,41,0
5,4,41,45,0
5,5,2,21,14
5,5,3,86,9
5,5,7,201,5
5,5,11,126,1
5,5,13,31,0
5,5,17,56,0
5,5,23,51,0
5,5,31,36,0
5,5,41,46,0
5,6,5,31,5
5,6,7,55,5
5,6,11,127,1
5,6,13,19,0
5,6,19,25,0
5,6,31,37,0
5,6,37,43,0
5,6,43,49,0
5,6,61,67,0
5,7,2,71,14
5,7,3,169,9
5,7,5,57,5
5,7,11,491,1
5,7,19,64,0
5,7,29,36,0
5,7,43,50,0
5,7,71,78,0
5,8,3,89,9
5,8,5,33,5
5,8,7,57,5
5,8,11,129,1
5,8,13,73,0
5,8,17,25,0
5,8,19,65,0
5,8,41,49,0
5,8,73,81,0
5,9,2,73,14
5,9,5,109,5
5,9,7,352,5
5,9,11,856,1
5,9,13,100,0
5,9,19,28,0
5,9,23,55,0
5,9,37,46,0
5,9,41,91,0
5,9,73,82,0
5,10,3,91,9
5,10,7,451,5
5,10,11,131,1
5,10,13,101,0
5,10,17,61,0
5,10,31,41,0
5,10,41,51,0
5,10,61,71,0
5,10,71,81,0
5,10,101,111,0
5,11,2,155,14
5,11,3,254,9
5,11,5,111,5
5,11,7,452,5
5,11,13,89,0
5,11,17,45,0
5,11,23,34,0
5,11,37,122,0
5,11,67,78,0
5,11,89,100,0
5,12,5,37,5
5,12,7,61,5
5,12,11,133,1
5,12,13,25,0
5,12,17,97,0
5,12,37,49,0
5,12,61,73,0
5,12,73,85,0
5,12,97,109,0
5,12,109,121,0
6,1,2,1,18
6,1,3,1,11
6,1,5,1,5
6,1,7,1,7
6,1,11,1,3
6,1,13,1,1
6,2,3,29,11
6,2,5,27,5
6,2,7,51,7
6,2,11,123,3
6,2,13,171,1
6,2,17,19,0
6,2,19,21,0
6,2,23,25,0
6,3,2,19,18
6,3,5,28,5
6,3,7,52,7
6,3,11,124,3
6,3,13,172,1
6,3,17,37,0
6,3,19,22,0
6,3,31,34,0
6,3,37,40,0
6,4,3,85,11
6,4,5,29,5
6,4,7,53,7
6,4,11,125,3
6,4,13,173,1
6,4,17,21,0
6,4,29,33,0
6,4,37,41,0
6,4,41,45,0
6,5,2,21,18
6,5,3,86,11
6,5,7,201,7
6,5,11,126,3
6,5,13,681,1
6,5,17,56,0
6,5,23,51,0
6,5,31,36,0
6,5,41,46,0
6,5,61,66,0
6,6,5,31,5
6,6,7,55,7
6,6,11,127,3
6,6,13,175,1
6,6,19,25,0
6,6,31,37,0
6,6,37,43,0
6,6,43,49,0
6,6,61,67,0
6,6,67,73,0
6,6,73,79,0
6,7,2,71,18
6,7,3,169,11
6,7,5,57,5
6,7,11,491,3
6,7,13,176,1
6,7,17,92,0
6,7,19,64,0
6,7,29,36,0
6,7,43,50,0
6,7,71,78,0
6,8,3,89,11
6,8,5,33,5
6,8,7,57,7
6,8,11,129,3
6,8,13,177,1
6,8,17,25,0
6,8,19,65,0
6,8,41,49,0
6,8,73,81,0
6,8,89,97,0
6,8,97,105,0
6,9,2,73,18
6,9,5,109,5
6,9,7,352,7
6,9,11,856,3
6,9,13,685,1
6,9,19,28,0
6,9,23,55,0
6,9,37,46,0
6,9,41,91,0
6,9,73,82,0
6,9,109,118,0
6,10,3,91,11
6,10,7,451,7
6,10,11,131,3
6,10,13,1531,1
6,10,17,61,0
6,10,31,41,0
6,10,37,121,0
6,10,41,51,0
6,10,61,71,0
6,10,71,81,0
6,10,101,111,0
6,11,2,155,18
6,11,3,254,11
6,11,5,111,5
6,11,7,452,7
6,11,13,518,1
6,11,17,45,0
6,11,19,144,0
6,11,23,34,0
6,11,37,122,0
6,11,61,133,0
6,11,67,78,0
6,11,89,100,0
6,12,5,37,5
6,12,7,61,7
6,12,11,133,3
6,12,13,181,1
6,12,17,97,0
6,12,19,145,0
6,12,29,157,0
6,12,37,49,0
6,12,61,73,0
6,12,73,85,0
6,12,97,109,0
6,12,109,121,0
