degree,n,e2,e3,h1,h2,newton_margin
55,3327500,16442567364550635,966597867768397649729175,181342589,16139920524562881,199283635976335
56,1756160,4749659584133310,150143270235919637985000,97464451,4663816075163753,56530996517176
56,1756161,4749664993192350,150143526717683225763960,97464506,4663821386711918,56536327813036
56,3512320,18998340839557310,1201117949134481398343400,194927375,18654972282697791,226148779663260
57,1851930,5473878500279630,185852206459192001804460,104631530,5376702207922302,64008429548324
57,1851931,5473884411731162,185852507522672082086610,104631586,5376708014447634,64014229988228
57,3703860,21895182961196510,1486783932841589716524960,209261477,21506483696820239,256057451682673
58,1951120,6292938715335242,229197881453082630333350,112186797,6183170682051234,72322171164972
58,1951121,6292945165833836,229198233857831303052106,112186855,6183177019660246,72315892970644
58,3902240,25171387184382362,1833542877802637003610790,224371955,24732321492197821,289295441318194
59,2053790,7217293121417516,281637261084727748559766,120144023,7093559962349424,81538662935031
59,2053791,7217300149587845,281637672470635972196300,120144081,7093566870054425,81545564243323
59,4107580,28868764853354836,2253050368278620743785546,240286349,28373839237170032,326169113985055
60,2160000,8258337570331345,344872886941479764713950,128517217,8119143243595108,91748949567582
60,2160001,8258345216837545,344873365925280592594650,128517277,8119150761529641,91741585803356
60,4320000,33032899139131345,2758926575862222666313950,257032679,32476129573259651,367001357450440
61,2269810,9428477734838545,420889006064859006065200,137320630,9272195010542564,103031272890580
61,2269811,9428486042454775,420889562345290436200145,137320691,9272203180726120,103023260803021
61,4539620,37713412484165545,3367045295345240007695750,274639445,37088289956244026,412134504709645
62,2383280,10741199464414855,511992269321739569116895,146568752,10566060779706704,115471353967648
62,2383281,10741208478097057,511992913793977844455345,146568813,10566069646761379,115480251150098
62,4766560,42964248024949335,4095859529505452403092895,293135627,42263702408777117,461944869820534
63,2500470,12211142755194537,620857484965910292032835,156276311,12015230794723779,129210379856615
63,2500471,12211152522153396,620858229845916251124936,156276374,12015240405026804,129200917463260
63,5000940,48843965471358057,4966767515225562133391325,312550685,48060327384217449,516823310840951
64,2621440,13854179455818576,750578956384637499818496,166458280,13635417055793813,144292235399638
64,2621441,13854190025593680,750579815344091423577600,166458343,13635427458240163,144302571310300
64,5242880,55416051929602896,6004523422888085979480576,332914559,54541012877739158,577199756936086
65,2746250,15687494832918480,904727978378158077343200,177129867,15443634590516796,160871229575481
65,2746251,15687506257453680,904728966690692424044400,177129931,15443645837510932,160882469319353
65,5492500,62749248163718480,7237697323815825746443200,354257669,61773818603937721,643530449273945
66,2874960,17729673121983680,1087417114732497106443600,188306522,17458286333800684,179064818953944
66,2874961,17729685455703650,1087418249431971592415280,188306588,17458298479146056,179052900075664
66,5749920,70917890798577680,8699189407826581372222800,376610915,69832356122090817,716292855023810
67,3007630,20000787191376530,1303371931469871083815280,200003936,19699252452566394,198986731777768
67,3007631,20000800491264527,1303373231521470769625680,200004002,19699265552308104,198999863629468
67,6015260,80002270975489610,10426803845960993646864280,400005677,78796145411271807,795988193037139
68,3144320,22522492449274907,1558010915153412580497670,212238038,22187983465297654,220789259982332
68,3144321,22522506774951731,1558012401638386979951666,212238106,22187997578663378,220775402055076
68,6288640,90089009979500827,12463888133381468291272710,424473815,88750988531143676,883168210073734
69,3285090,25318125125338411,1857534364146291551007876,225024999,24947598243270493,244599363136981
69,3285091,25318140539142565,1857536060461191311094375,225025068,24947613431569729,244584390373336
